lokasi,nama_komoditas,2014-11-01,2014-11-02,2014-11-03,2014-11-04,2014-11-05,2014-11-06,2014-11-07,2014-11-08,2014-11-09,2014-11-10,2014-11-11,2014-11-12,2014-11-13,2014-11-14,2014-11-15,2014-11-16,2014-11-17,2014-11-18,2014-11-19,2014-11-20,2014-11-21,2014-11-22,2014-11-23,2014-11-24,2014-11-25,2014-11-26,2014-11-27,2014-11-28,2014-11-29,2014-11-30
"Pasar Baru","Beras Medium",9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Cabe Merah",50000,50000,0,0,50000,50000,50000,50000,50000,0,0,60000,60000,60000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Bawang Merah",18000,18000,0,0,18000,18000,18000,20000,20000,0,0,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Daging Ayam Ras",28000,28000,0,0,28000,28000,28000,24000,24000,0,0,24000,24000,24000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Telur Ayam Ras",17500,17500,0,0,17500,17500,17500,17500,17500,0,0,17500,17500,17500,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Daging Sapi",100000,100000,0,0,100000,100000,100000,100000,100000,0,0,100000,100000,100000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Minyak Goreng",14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Gula Pasir",11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Kentang,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Kedelai,11000,11000,0,0,11000,11000,11000,13000,13000,0,0,13000,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Tepung Terigu",7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Bawang Putih",16000,16000,0,0,16000,16000,16000,18000,18000,0,0,18000,18000,18000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Cabe Keriting",50000,50000,0,0,50000,50000,50000,50000,50000,0,0,60000,60000,60000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Cabe Rawit",40000,40000,0,0,40000,40000,40000,45000,45000,0,0,60000,60000,60000,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Kacang Tanah",20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ubi Kayu",3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru",Jagung,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Ikan Olahan",50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Minyak Goreng Curah",11500,11500,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Baru","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
