lokasi,nama_komoditas,2015-07-01,2015-07-02,2015-07-03,2015-07-04,2015-07-05,2015-07-06,2015-07-07,2015-07-08,2015-07-09,2015-07-10,2015-07-11,2015-07-12,2015-07-13,2015-07-14,2015-07-15,2015-07-16,2015-07-17,2015-07-18,2015-07-19,2015-07-20,2015-07-21,2015-07-22,2015-07-23,2015-07-24,2015-07-25,2015-07-26,2015-07-27,2015-07-28,2015-07-29,2015-07-30,2015-07-31
"Pasar Kosambi","Beras Medium",9500,9500,9500,0,0,9800,9800,9800,9800,9800,0,0,9800,9800,9800,0,0,0,0,0,0,9800,9800,9800,0,0,9800,9800,9800,9500,0
"Pasar Kosambi","Cabe Merah",25000,25000,25000,0,0,24000,24000,24000,24000,24000,0,0,50000,50000,50000,0,0,0,0,0,0,65000,65000,65000,0,0,30000,30000,30000,30000,0
"Pasar Kosambi","Bawang Merah",28000,28000,28000,0,0,25000,25000,25000,25000,22000,0,0,25000,25000,25000,0,0,0,0,0,0,25000,25000,25000,0,0,25000,25000,25000,25000,0
"Pasar Kosambi","Daging Ayam Ras",30000,30000,30000,0,0,30000,30000,30000,30000,36000,0,0,34000,34000,34000,0,0,0,0,0,0,36000,36000,36000,0,0,36000,38000,38000,38000,0
"Pasar Kosambi","Telur Ayam Ras",21000,21000,21000,0,0,20000,20000,20000,20000,19000,0,0,19000,19000,19000,0,0,0,0,0,0,19000,19000,19000,0,0,18500,18500,18500,18500,0
"Pasar Kosambi","Daging Sapi",105000,105000,105000,0,0,105000,105000,105000,105000,105000,0,0,120000,120000,120000,0,0,0,0,0,0,130000,130000,130000,0,0,130000,130000,130000,130000,0
"Pasar Kosambi","Minyak Goreng",14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,0,0,0,0,0,0,14000,14000,14000,0,0,14000,14000,14000,14000,0
"Pasar Kosambi","Gula Pasir",13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,0,0,0,0,0,0,13000,13000,13000,0,0,13000,13000,13000,13000,0
"Pasar Kosambi",Kentang,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,0,0,0,0,0,0,12000,12000,12000,0,0,12000,12000,12000,12000,0
"Pasar Kosambi",Kedelai,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,0,0,0,0,0,0,11000,11000,11000,0,0,11000,11000,11000,11000,0
