id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1041012,Printer,2500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peralatan dan perlengkapan kantor",Modal,Barang,"1 Unit","Kelurahan Pasirkaliki","Belanja printer",APBD," 2500000",1.20.13.05,"Pengadaan Langsung",03-03-2014,17-03-2014,24-03-2014,21-04-2014
996438,"Belanja bahan bakar minyak",372698000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Pemelihraan rutin/ berkala kendaraan dinas",Barang/jasa,Barang,"4 ","Kec. Cicemndo","Belanja bahan bakar minyak",APBD," 372698000",1.20.1.20.13,"Penunjukan Langsung",24-02-2014,31-03-2014,01-05-2014,31-12-2015
1040344,"Pendingin ruangan/ AC",4500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peralatan dan perlengkapan kantor",Modal,Barang,"1 Unit","Kelurahan Pasirkaliki","Belanja pendingin ruangan/ AC",APBD," 4500000",1.20.13.05,"Pengadaan Langsung",03-03-2014,17-03-2014,24-03-2014,21-04-2014
1051012,"Pemeliharaan jalan lingkungan dan kerb",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peralatan dan perlengkapan kantor",Modal,"Jasa Lainnya","1 Paket","Kelurahan Pamoyanan","Pemeliharaan jalan dan lingkungan kerb",APBD," 15000000",1.20.13.06,"Pengadaan Langsung",04-03-2014,18-03-2014,01-04-2014,15-04-2014
1131274,"Kursi rapat",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"50 Buah","Kelurahan Arjuna","Belanja kursi rapat",APBD," 15000000",1.20.13.03,"Pengadaan Langsung",01-04-2014,15-04-2014,16-04-2014,30-04-2014
999224,"Belanja pelastik sampah",216000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Fasilitasi peningkatan insfratuktur dan lingkungan hidup",Barang/jasa,Barang,4,"Kec. Cicendo","Belanja pelastik sampah",APBD," 216000000",1.20.1.20.13,"Pengadaan Langsung",01-04-2014,01-05-2014,01-05-2014,31-12-2015
1037025,"Note book/ Tablet",6000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peralatan dan perlengkapan kantor",Modal,Barang,1,"Kelurahan Husein Sastranegara","Belanja Note book/ Tablet",APBD," 6000000",1.20.13.02,"Pengadaan Langsung",03-03-2014,17-03-2014,24-03-2014,30-06-2014
1038155,"Pemeliharaan jalan",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peningkatan infrastruktur dan lingkungan hidup Tk Kelurahan",Barang/jasa,"Jasa Lainnya","1 Paket","Kelurahan Husein Sastranegara","Pemeliharaan jalan",APBD," 20000000",1.20.13.02,"Pengadaan Langsung",03-03-2014,17-03-2014,24-03-2014,30-06-2014
1037492,"Meja rapat",5000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peralatan dan perlengkapan kantor",Modal,Barang,1,"Kelurahan Husein Sastranegara","Belanja meja rapat",APBD," 5000000",1.20.13.02,"Pengadaan Langsung",03-03-2014,17-03-2014,24-03-2014,30-06-2014
1037847,"Lemari kaca",5000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Peralatan dan perlengkapan kantor",Modal,Barang,1,"Kelurahan Husein Sastranegara","Belanja lemari kaca",APBD," 5000000",1.20.13.02,"Pengadaan Langsung",03-03-2014,17-03-2014,24-03-2014,30-06-2014
996203,"Pengadaan perlengkapan aparatur",45000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN CICENDO",2014,"Pengadaan perlengkapan aparatur",Barang/jasa,"Jasa Konsultansi",1,"kec. Cicendo","Belanja jasa konsultasi perencanaan",APBD," 45000000",1.20.1.20.13,"Pengadaan Langsung",24-02-2014,31-03-2014,01-05-2014,30-05-2014
