NO. ,NAMA,JABATAN,NO.SK PENGANGKATAN - TANGGAL
1,RACHMAT ALI,KETUA RW 01,149/01/TAHUN 2012-2015
2,Ir.H.URIP.SAEPUDIN,KETUA RT 01,149/01/TAHUN 2012-2015
3,YANTO DWI YANTONO,KETUA RT 02,149/01/TAHUN 2012-2015
4,WARYA,KETUA RT 03,149/01/TAHUN 2012-2015
5,BAMBANG WIJARNAKO,KETUA RT 04,149/01/TAHUN 2012-2015
6,ASEP SAEPULOH,KETUA RT  05,149/01/TAHUN 2012-2015
7,"Prof.DR, H.DULATIF.MSI",KETUA RT 06,149/01/TAHUN 2012-2015
8,IR. H. URIP SAEPUDIN,KETUA RT 07,149/01/TAHUN 2012-2015
9,Ir. ARIE ACHYAR,KETUA RT 08,149/01/TAHUN 2012-2015
10,"Drs.H. CHOMSUN FAROCHI, MAB",KETUA RW 02,149/31/TAHUN 2014-2017/TANGGAL 06-12-2014
11,SUGITO,KETUA RT 01,149/30/TAHUN 2014-2017/TANGGAL 06-12-2014
12,TRIDO RUBIALTO,KETUA RT 02,149/30/TAHUN 2014-2017/TANGGAL 06-12-2014
13,WAWAN SETIAWAN,KETUA RT 03,149/30/TAHUN 2014-2017/TANGGAL 06-12-2014
14,SUSWANTO SPd,KETUA RT 04,149/30/TAHUN 2014-2017/TANGGAL 06-12-2014
15,KUSWANTO,KETUA RT 05,149/30/TAHUN 2014-2017/TANGGAL 06-12-2014
16,H.IR SARTONO,KETUA RW 03,149/08/TAHUN 2013-2016/
17,Drs. MADHARI MPD,KETUA RT 01,149/08/TAHUN 2013-2016/
18,MAMAN MANDU,KETUA RT 02,149/08/TAHUN 2013-2016/
19,HERRY SUSANTO,KETUA RT 03,149/08/TAHUN 2013-2016/
20,TURSIKIN,KETUA RT 04,149/08/TAHUN 2013-2016/
21,SUKIRMAN,KETUA RT 05,149/08/TAHUN 2013-2016/
22,Drs. ATING SUGANDA,KETUA RW 04,149/04/TAHUN.2014-2017/TANGGAL.06-02-2014
