indikator,kecamatan,kelurahan_desa,milik_sendiri,kontrak__sewa,bebas_sewa,lainnya,total_krt
"Status Bangunan","BANDUNG KULON","GEMPOL SARI",511,114,20,0,645
"Status Bangunan","BANDUNG KULON","CIGONDEWAH KALER",1028,208,303,9,1548
"Status Bangunan","BANDUNG KULON","CIGONDEWAH KIDUL",359,32,31,0,422
"Status Bangunan","BANDUNG KULON","CIGONDEWAH RAHAYU",441,79,117,0,638
"Status Bangunan","BANDUNG KULON",CARINGIN,150,92,6,0,248
"Status Bangunan","BANDUNG KULON","WARUNG MUNCANG",695,602,406,53,1756
"Status Bangunan","BANDUNG KULON",CIBUNTU,404,238,198,26,866
"Status Bangunan","BANDUNG KULON",CIJERAH,551,422,444,3,1420
"Status Bangunan","BABAKAN CIPARAY",MARGASUKA,369,161,55,77,662
"Status Bangunan","BABAKAN CIPARAY",CIRANGRANG,378,145,59,68,650
"Status Bangunan","BABAKAN CIPARAY","MARGAHAYU UTARA",609,310,127,79,1125
"Status Bangunan","BABAKAN CIPARAY","BABAKAN CIPARAY",759,675,426,25,1885
"Status Bangunan","BABAKAN CIPARAY",BABAKAN,998,669,468,27,2162
"Status Bangunan","BABAKAN CIPARAY",SUKAHAJI,923,552,284,361,2120
"Status Bangunan","BOJONGLOA KALER",KOPO,989,579,239,21,1828
"Status Bangunan","BOJONGLOA KALER","SUKA ASIH",674,568,585,8,1835
"Status Bangunan","BOJONGLOA KALER","BABAKAN ASIH",598,419,401,3,1421
"Status Bangunan","BOJONGLOA KALER","BABAKAN TAROGONG",1047,853,513,35,2448
"Status Bangunan","BOJONGLOA KALER",JAMIKA,1026,809,585,103,2523
"Status Bangunan","BOJONGLOA KIDUL","CIBADUYUT KIDUL",367,91,167,2,627
"Status Bangunan","BOJONGLOA KIDUL","CIBADUYUT WETAN",285,69,76,1,431
"Status Bangunan","BOJONGLOA KIDUL","MEKAR WANGI",434,223,147,0,804
"Status Bangunan","BOJONGLOA KIDUL",CIBADUYUT,531,183,204,3,921
