Kecamatan,< 18 Tahun,18 - 25 Tahun,26 - 45 Tahun,46 - 60 Tahun,> 60 Tahun,KRT Perempuan,Total KRT
BANDUNG KULON,1,11,289,614,699,"1,614","7,543"
BABAKAN CIPARAY,2,12,318,682,697,"1,711","8,604"
BOJONGLOA KALER,2,15,381,761,908,"2,067","10,055"
BOJONGLOA KIDUL,1,7,209,384,435,"1,036","5,136"
ASTANAANYAR,1,6,123,288,318,736,"3,101"
REGOL,0,7,155,292,379,833,"3,479"
LENGKONG,2,2,81,171,178,434,"1,904"
BANDUNG KIDUL,1,7,147,267,293,715,"3,392"
BUAHBATU,2,7,165,296,303,773,"4,551"
RANCASARI,0,8,105,210,249,572,"2,834"
GEDEBAGE,0,7,59,98,77,241,"1,546"
CIBIRU,5,8,156,266,313,748,"3,852"
PANYILEUKAN,0,1,36,91,84,212,"1,285"
UJUNG BERUNG,3,3,171,368,448,993,"4,813"
CINAMBO,0,4,52,93,103,252,"1,290"
ARCAMANIK,2,7,131,250,305,695,"3,515"
ANTAPANI,1,2,104,165,215,487,"2,300"
MANDALAJATI,6,3,132,284,368,793,"3,338"
KIARACONDONG,1,6,289,573,633,"1,502","7,042"
BATUNUNGGAL,3,11,362,601,693,"1,670","7,188"
SUMUR BANDUNG,0,5,43,88,99,235,719
ANDIR,1,5,166,389,455,"1,016","4,515"
CICENDO,3,5,137,335,429,909,"3,535"
BANDUNG WETAN,0,0,61,92,105,258,845
CIBEUNYING KIDUL,4,6,208,586,647,"1,451","5,261"
CIBEUNYING KALER,1,2,93,226,286,608,"2,422"
COBLONG,2,10,232,480,591,"1,315","4,806"
SUKAJADI,0,9,203,443,555,"1,210","4,822"
SUKASARI,1,5,90,187,228,511,"1,939"
CIDADAP,1,4,76,168,249,498,"1,602"
JUMLAH,46,185,"4,774","9,748","11,342","26,095","117,234"
