KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.15 . 00 . 00 . 5,BELANJA,24037005649,
1.20 . 1.20.15 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,5940553261,
1.20 . 1.20.15 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,5940553261,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.15 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,18096452388,
1.20 . 1.20.15 . 01,Program Pelayanan Administrasi Perkantoran,1634262388,
1.20 . 1.20.15 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,293662388,
1.20 . 1.20.15 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,293662388,
1.20 . 1.20.15 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,44000000,
1.20 . 1.20.15 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,44000000,
1.20 . 1.20.15 . 01 . 10,Penyediaan alat tulis kantor,90000000,
1.20 . 1.20.15 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,90000000,
1.20 . 1.20.15 . 01 . 11,Penyediaan barang cetakan dan penggandaan,83400000,
1.20 . 1.20.15 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,81400000,
1.20 . 1.20.15 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,317000000,
1.20 . 1.20.15 . 01 . 13 . 5 . 2 . 1,Belanja Pegawai,14000000,
1.20 . 1.20.15 . 01 . 13 . 5 . 2 . 3,Belanja Modal,303000000,
1.20 . 1.20.15 . 01 . 14,Penyediaan peralatan rumah tangga,37600000,
1.20 . 1.20.15 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,33600000,
1.20 . 1.20.15 . 01 . 14 . 5 . 2 . 3,Belanja Modal,4000000,
1.20 . 1.20.15 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,27600000,
1.20 . 1.20.15 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,27600000,
1.20 . 1.20.15 . 01 . 17,Penyediaan makanan dan minuman,77000000,
1.20 . 1.20.15 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,77000000,
1.20 . 1.20.15 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,80000000,
1.20 . 1.20.15 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,80000000,
1.20 . 1.20.15 . 01 . 19,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,402000000,
1.20 . 1.20.15 . 01 . 19 . 5 . 2 . 1,Belanja Pegawai,42000000,
1.20 . 1.20.15 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,360000000,
1.20 . 1.20.15 . 01 . 20,Penyediaan Jasa Pengamanan Kantor,182000000,
1.20 . 1.20.15 . 01 . 20 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 01 . 20 . 5 . 2 . 2,Belanja Barang dan Jasa,180000000,
1.20 . 1.20.15 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1269000000,
1.20 . 1.20.15 . 02 . 03,Pembangunan gedung kantor,370000000,
1.20 . 1.20.15 . 02 . 03 . 5 . 2 . 1,Belanja Pegawai,10000000,
1.20 . 1.20.15 . 02 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,60000000,
1.20 . 1.20.15 . 02 . 03 . 5 . 2 . 3,Belanja Modal,300000000,
1.20 . 1.20.15 . 02 . 10,Pengadaan mebeleur,194000000,
1.20 . 1.20.15 . 02 . 10 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 02 . 10 . 5 . 2 . 3,Belanja Modal,192000000,
1.20 . 1.20.15 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,210000000,
1.20 . 1.20.15 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,208000000,
1.20 . 1.20.15 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,495000000,
1.20 . 1.20.15 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,495000000,
1.20 . 1.20.15 . 03,Program peningkatan disiplin aparatur,75000000,
1.20 . 1.20.15 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,55000000,
1.20 . 1.20.15 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,53000000,
1.20 . 1.20.15 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,20000000,
1.20 . 1.20.15 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,18000000,
1.20 . 1.20.15 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,60000000,
1.20 . 1.20.15 . 05 . 04,Pembinaan Kinerja Aparatur,60000000,
1.20 . 1.20.15 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,58000000,
1.20 . 1.20.15 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,30000000,
1.20 . 1.20.15 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,18000000,
1.20 . 1.20.15 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,6000000,
1.20 . 1.20.15 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,12000000,
1.20 . 1.20.15 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,12000000,
1.20 . 1.20.15 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,10000000,
1.20 . 1.20.15 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,2000000,
1.22 . 1.20.15 . 22,Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan,9300000000,
1.22 . 1.20.15 . 22 . 01,Fasilitasi Pemberdayaan lingkup RW,7500000000,
1.22 . 1.20.15 . 22 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,7500000000,
1.22 . 1.20.15 . 22 . 02,Fasilitasi Pemberdayaan lingkup PKK,600000000,
1.22 . 1.20.15 . 22 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,600000000,
1.22 . 1.20.15 . 22 . 03,Fasilitasi Pemberdayaan Lingkup Karang Taruna,600000000,
1.22 . 1.20.15 . 22 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,600000000,
1.22 . 1.20.15 . 22 . 04,Fasilitasi Pemberdayaan Lingkup LPM,600000000,
1.22 . 1.20.15 . 22 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,600000000,
1.20 . 1.20.15 . 30,Program Peningkatan Peran Kecamatan dan Kelurahan,5728190000,
1.20 . 1.20.15 . 30 . 01,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan,48000000,
1.20 . 1.20.15 . 30 . 01 . 5 . 2 . 1,Belanja Pegawai,2000000,
1.20 . 1.20.15 . 30 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,46000000,
1.20 . 1.20.15 . 30 . 02,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan,726400000,
1.20 . 1.20.15 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,5000000,
1.20 . 1.20.15 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,721400000,
1.20 . 1.20.15 . 30 . 03,Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan,2413990000,
1.20 . 1.20.15 . 30 . 03 . 5 . 2 . 1,Belanja Pegawai,10000000,
1.20 . 1.20.15 . 30 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,2403990000,
1.20 . 1.20.15 . 30 . 04,Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,1026000000,
1.20 . 1.20.15 . 30 . 04 . 5 . 2 . 1,Belanja Pegawai,3000000,
1.20 . 1.20.15 . 30 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,1023000000,
1.20 . 1.20.15 . 30 . 05,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan,1464800000,
1.20 . 1.20.15 . 30 . 05 . 5 . 2 . 1,Belanja Pegawai,45000000,
1.20 . 1.20.15 . 30 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,1419800000,
1.20 . 1.20.15 . 30 . 07,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,49000000,
1.20 . 1.20.15 . 30 . 07 . 5 . 2 . 1,Belanja Pegawai,0,
1.20 . 1.20.15 . 30 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,49000000,
,SURPLUS / (DEFISIT),24037005649,
