id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1095692,"Belanja Pakaian Olahraga",19712000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pengadaan Pakaian Khusus Hari-hari Tertentu",Barang/jasa,Barang,"32 stel","Bagian Kesra dan Kemasyarakatan",-,APBD," 19712000",1.20.1.20.03.08.03.05,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,30-04-2014
1125035,"Belanja Alat Tulis Kantor",19640000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Penyusunan Data Base Guru Keagamaan",Barang/jasa,Barang,"1 paket","Kota Bandung",-,APBD," 19640000",1.13.1.20.03.23.01,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1095622,"Belanja Pakaian Batik Tradisional",19200000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pengadaan Pakaian Khusus Hari-hari Tertentu",Barang/jasa,Barang,"32 stel","Bagian Kesra dan Kemasyarakatan",-,APBD," 19200000",1.20.1.20.03.08.03.05,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,30-04-2014
1122246,"Belanja Batik Tradisional",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pelaksanaan kegiatan UKS Kota Bandung",Barang/jasa,Barang,"1 paket","Kota Bandung",-,APBD," 25000000",1.02.1.20.03.16.19,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1125449,"Belanja Alat Tulis Kantor",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Safari Ramadhan",Barang/jasa,Barang,"1 paket","Kota Bandung",-,APBD," 10000000",1.13.1.20.03.23.03,"Pengadaan Langsung",02-06-2014,09-06-2014,10-06-2014,10-12-2014
1123429,"Belanja Alat Tulis Kantor",16500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Peningkatan Toleransi dan Kerukunan antar Kehidupan Beragama",Barang/jasa,Barang,"1 paket","Kota Bandung",-,APBD," 16500000",1.19.120.03.17.01,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1124106,"Belanja Cetak",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Peningkatan Rasa Solidaritas dan Ikatan Sosial di Kalangan Masyarakat",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 20000000",1.19.120.03.17.02,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1097520,"Belanja Alat Tulis Kantor",23566000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Koordinasi Perumusan Kebijakan dan Sinkronisasi Pelaksanaan Upaya-Upaya penanggulangan kemiskinan dan penurunan kesenjangan",Barang/jasa,Barang,"1 paket","Kota Bandung",-,APBD," 23566000",1.13.1.20.03.08.16.09,"Pengadaan Langsung",04-04-2014,11-04-2014,14-04-2014,31-12-2015
1123317,"Belanja Pakaian Dinas Harian (PDH) Warna Bebas",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pelaksanaan Kegiatan UKS Kota Bandung",Barang/jasa,Barang,"1 paket","Kota Bandung",-,APBD," 25000000",1.02.1.20.03.16.19,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
906869,"Belanja Internet",30250000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Penyediaan Jasa Komunikasi, Air dan Listrik",Barang/jasa,"Jasa Lainnya","1 paket","Bagian Kesra dan Kemasyarakatan","Pengadaan dari bulan Februari 2014",APBD," 30250000", 1.20.1.20.03.08.01.02,"Pengadaan Langsung",14-03-2014,17-03-2014,14-03-2014,31-12-2015
1099875,"Belanja Perjalanan Dinas Luar Daerah",175000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Koordinasi Perumusan Kebijakan dan Sinkronisasi Pelaksanaan Upaya-Upaya penanggulangan kemiskinan dan penurunan kesenjangan",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 175000000",1.13.1.20.03.08.16.09,"Pengadaan Langsung",04-04-2014,11-04-2014,14-04-2014,10-12-2014
1123990,"Belanja Makanan dan Minuman ",105000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Peningkatan Toleransi dan Kerukunan dalam Kehidupan Beragama",Barang/jasa,"Jasa Lainnya","3 paket","Kota Bandung",-,APBD," 105000000",1.19.120.03.17.01,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1097195,"Belanja Sewa Peralatan Panggung dan Upacara",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pemantauan dan Evaluasi Pelaksanaan Program Pengembangan Nilai Budaya",Barang/jasa,"Jasa Lainnya","5 paket","Kota Bandung",-,APBD," 40000000", 1.17.1.20.03.08.15.04,"Pengadaan Langsung",04-04-2014,11-04-2014,14-04-2014,29-08-2014
1124235,"Belanja Makan dan Minum kegiatan",225000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Peningkatan Rasa Solidaritas dan Ikatan Sosial di Kalangan Masyarakat",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 225000000",1.19.120.03.17.02,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1100942,"Belanja Jasa Konsultasi Penelitian",350000000,"Lelang Umum",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Koordinasi Perumusan Kebijakan dan Sinkronisasi Pelaksanaan Upaya-Upaya penanggulangan kemiskinan dan penurunan kesenjangan",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung",-,APBD," 350000000", 1.13.1.20.03.08.16.09,"Lelang Umum",02-06-2014,30-06-2014,01-07-2014,10-12-2014
1102298,"Belanja Alat Tulis Kantor",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pelaksanaan Kegiatan UKS Kota Bandung",Barang/jasa,Barang,"1 paket","Bagian Kesra dan Kemasyarakatan",-,APBD," 25000000",1.02.1.20.03.08.16.19,"Pengadaan Langsung",04-04-2014,11-04-2014,14-04-2014,10-12-2014
1096995,"Belanja Sewa Meja Kursi",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pemantauan dan Evaluasi Pelaksanaan Program Pengembangan Nilai Budaya",Barang/jasa,"Jasa Lainnya","5 paket","Kota Bandung",-,APBD," 50000000",1.17.1.20.03.08.15.04,"Pengadaan Langsung",04-04-2014,11-04-2014,14-04-2014,29-08-2014
1096881,"Belanja Cetak",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pemantauan dan Evaluasi Pelaksanaan Program Pengembangan Nilai Budaya",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 15000000", 1.17.1.20.03.08.15.04,"Pengadaan Langsung",04-04-2014,11-04-2014,14-04-2014,30-04-2014
908256,"Belanja Modal Pengadaan Kamera",31000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Kegiatan Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"3 buah","Bagian Kesra dan Kemasyarakatan",-,APBD," 31000000",1.20.1.20.03.08.02.12,"Pengadaan Langsung",01-04-2014,07-04-2014,07-04-2014,30-04-2014
1125514,"Belanja Makanan dan Minuman Kegiatan",111100000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Safari Ramadhan",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 111100000",1.13.1.20.03.23.03,"Pengadaan Langsung",02-06-2014,09-06-2014,10-06-2014,10-12-2014
1122104,"Belanja Makanan dan Minuman Kegiatan",185000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pelaksanaan kegiatan UKS Kota Bandung",Barang/jasa,"Jasa Lainnya","1 paket","ota Bandung",-,APBD," 185000000",1.02.1.20.03.16.19,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
1097315,"Belanja Makanan dan Minuman Kegiatan",200000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Pemantauan dan Evaluasi Pelaksanaan Program Pengembangan Nilai Budaya",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 200000000", 1.17.1.20.03.08.15.04,"Pengadaan Langsung",02-05-2014,09-05-2014,12-05-2014,28-11-2014
1125242,"Belanja Makanan dan Minuman kegiatan",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","BAGIAN KESEJAHTERAAN RAKYAT & KEMASYARAKATAN",2014,"Penyusunan Database Guru Keagamaan",Barang/jasa,"Jasa Lainnya","1 paket","Kota Bandung",-,APBD," 50000000",1.19.120.03.17.02,"Pengadaan Langsung",07-04-2014,14-04-2014,15-04-2014,10-12-2014
