KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.14 . 00 . 00 . 5,BELANJA,22380744989,
1.20 . 1.20.14 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,6055367063,
1.20 . 1.20.14 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,6055367063,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.14 . 01 . 01 . 5 . 2,BELANJA LANGSUNG,16325377926,
1.20 . 1.20.14 . 01,Program Pelayanan Administrasi Perkantoran,2307932532,
1.20 . 1.20.14 . 01 . 01,Penyediaan jasa surat menyurat,6000000,
1.20 . 1.20.14 . 01 . 01 . 5 . 2 . 1,Belanja Pegawai,6000000,
1.20 . 1.20.14 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,202800000,
1.20 . 1.20.14 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,202800000,
1.20 . 1.20.14 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,24200000,
1.20 . 1.20.14 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,24200000,
1.20 . 1.20.14 . 01 . 08,Penyediaan jasa kebersihan kantor,371524880,
1.20 . 1.20.14 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,371524880,
1.20 . 1.20.14 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,0,
1.20 . 1.20.14 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,0,
1.20 . 1.20.14 . 01 . 10,Penyediaan alat tulis kantor,211050000,
1.20 . 1.20.14 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,211050000,
1.20 . 1.20.14 . 01 . 11,Penyediaan barang cetakan dan penggandaan,338582772,
1.20 . 1.20.14 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,338582772,
1.20 . 1.20.14 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,24000000,
1.20 . 1.20.14 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,24000000,
1.20 . 1.20.14 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,297000000,
1.20 . 1.20.14 . 01 . 13 . 5 . 2 . 3,Belanja Modal,297000000,
1.20 . 1.20.14 . 01 . 14,Penyediaan peralatan rumah tangga,37950000,
1.20 . 1.20.14 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,27950000,
1.20 . 1.20.14 . 01 . 14 . 5 . 2 . 3,Belanja Modal,10000000,
1.20 . 1.20.14 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,32200000,
1.20 . 1.20.14 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,32200000,
1.20 . 1.20.14 . 01 . 17,Penyediaan makanan dan minuman,284500000,
1.20 . 1.20.14 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,284500000,
