nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,8886,3465,38.99,0,0.00,0,0.00,0,0.00
Coblong,16798,6760,40.24,56,0.33,45,0.27,101,0.60
Babakan Ciparay,21646,8403,38.82,8219,37.97,13401,61.91,21620,99.88
Bojongloa Kaler,17558,7909,45.04,7642,43.52,9763,55.60,17405,99.13
Andir,14477,10846,74.92,0,0.00,0,0.00,0,0.00
Cicendo,14045,8068,57.44,0,0.00,0,0.00,0,0.00
Sukajadi,16878,14831,87.87,1951,11.56,0,0.00,1951,11.56
Cidadap,8324,2676,32.15,2676,32.15,5548,66.65,8224,98.80
Bandung Wetan,4602,2033,44.18,0,0.00,0,0.00,0,0.00
Astana Anyar,9966,2449,24.57,0,0.00,0,0.00,0,0.00
Regol,12215,3666,30.01,3666,30.01,8549,69.99,12215,100.00
Batununggal,17587,9305,52.91,0,0.00,0,0.00,0,0.00
Lengkong,7429,3179,42.79,413,5.56,7016,94.44,7429,100.00
Cibeunying Kidul,18412,7623,41.40,7131,38.73,8562,46.50,15693,85.23
Bandung Kulon,13921,9809,70.46,6041,43.39,3768,27.07,9809,70.46
Kiaracondong,30268,6625,21.89,0,0.00,0,0.00,0,0.00
Bojongloa Kidul,12183,4927,40.44,2102,17.25,8972,73.64,11074,90.90
Cibeunying Kaler,9727,2973,30.56,1836,18.88,6503,66.86,8339,85.73
Sumur Bandung,3546,1214,34.24,0,0.00,0,0.00,0,0.00
Antapani,10396,1412,13.58,0,0.00,0,0.00,0,0.00
Bandung Kidul,4390,1902,43.33,1881,42.85,2475,56.38,4356,99.23
Buahbatu,12197,2363,19.37,0,0.00,0,0.00,0,0.00
Rancasari,13115,3563,27.17,3236,24.67,327,2.49,3563,27.17
Arcamanik,8782,3267,37.20,0,0.00,0,0.00,0,0.00
Cibiru,9831,3512,35.72,1367,13.90,2403,24.44,3770,38.35
Ujung Berung,24447,7347,30.05,7347,30.05,0,0.00,7347,30.05
Gedebage,7715,2928,37.95,569,7.38,4665,60.47,5234,67.84
Panyileukan,5747,1442,25.09,836,14.55,591,10.28,1427,24.83
Cinambo,4492,1498,33.35,777,17.30,1511,33.64,2288,50.93
Mandalajati,11434,4312,37.71,4312,37.71,7120,62.27,11432,99.98
