id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
2582021,Belanja pakaian dinas harian(PDH)beserta kelengkapannya,32500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,Pengadaan pakaian dinas beserata perlengkapannya,Barang/jasa,Barang,1 Paket,Kecamatan astanaanyar,Belanja pakaian dinas harian(PDH)beserta kelengkapannya,APBD,32500000,1.20.1.20.20.03.02.5.2.2.12.04,Pengadaan Langsung,16/03/2015,23/03/2015,24/03/2015,22/04/2015
3621309,pengadaan kendaraan bermotor roda tiga ,231000000,e-Purchasing,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,fasilitasi pemberdayaan lingkup RW,Modal,Barang,1 Paket,kelurahan nyengseret ,belanja pengadaan kendaraan bermotor roda tiga pengangkut sampah ,APBD,231000000,1.22.1.20.20.22.01.5.2.3.17.06,E-Purchasing,23/03/2015,03/04/2015,06/04/2015,05/05/2015
3617544,belanja pemeliharaan gedung dan bangunan ,30000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pemeliharaan rutin/ berkala gedung kantor,Barang/jasa,Pekerjaan Konstruksi,1 Paket,kelurahan karasak ,pemeliharaan gedung dan bangunan kantor,APBD,30000000,1.20.1.20.20.02.22.5.2.2.20.05,Pengadaan Langsung,27/07/2015,07/08/2015,10/08/2015,09/09/2015
3595219,belanja mesin absensi,35000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan peralatan aparatur,Modal,Barang,1 paket,kecamatan astanaanyar,mesin absensi scann wajah,APBD,35000000,1.20.20.20.02.12.5.2.3.27.05,Pengadaan Langsung,02/11/2015,09/11/2015,10/11/2015,20/11/2015
2578782,Belanja pengadaan PC unit/komputer PC,20000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan perlengkapan aparatur,Modal,Barang,1,Kecamatan astanaanyar,Komputer PC untuk pelayanan,APBD,20000000,1.20.1.20.20.02.12.5.2.3.29.02,Pengadaan Langsung,13/04/2015,20/04/2015,21/04/2015,30/04/2015
3601175,Pengadaan pakaian olah raga,18300000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,Pengadaan pakaian khusus hari - hari tertentu,Barang/jasa,Barang,1 paket,Kecamatan Astanaanyar Kota Bandung,Pengadaan pakaian olah raga,APBD,18300000,1.20.1.20.20.03.05.5.2.2.14.04,Pengadaan Langsung,13/04/2015,20/04/2015,21/04/2015,20/05/2015
2582567,Belanja jasa penyelenggara acara,75000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,Pembinaan kerja aparatur,Modal,Jasa Lainnya,1 Paket,Kecamatan Astanaanyar,belanja jasa penyelenggara acara,APBD,75000000,1.20.1.20.20.05.04.5.2.2.03.21,Pengadaan Langsung,01/04/2015,10/04/2015,17/04/2015,19/04/2015
4777156,Belanja Modal Peralatan dan Mesin-Pengadaan Kendaraan Bermotor Beroda Tiga lain-lain,350000000,e-Purchasing,APBDP,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,Pengadaan Kendaraan Dinas / Operasional,Modal,Barang,7 unit,Kecamatan Astanaanyar,Belanja Modal Peralatan dan Mesin-Pengadaan Kendaraan Bermotor Beroda Tiga lain-lain,APBDP,350000000,1.20.1.20.20.02.05.5.2.3.17.06,E-Purchasing,03/11/2015,13/11/2015,13/11/2015,22/12/2015
4906184,Pengadaan Kendaraan Bermotor Beroda Dua (Sepeda Motor),30000000,Pengadaan Langsung,APBDP,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,Pengadaan Kendaraan Dinas / Operasional,Modal,Barang,1 unit,Kecamatan Astanaanyar,Pengadaan Kendaraan Dinas / Operasional Roda dua,APBDP,30000000,1.20.1.20.20.02.05.5.2.3.17.05,Pengadaan Langsung,05/11/2015,12/11/2015,12/11/2015,10/12/2015
3631860,belanja gembok roda mobil besar dan kecil ,64000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan perlengkapan peralatan aparatur,Modal,Barang,1 Paket,kelurahan cibadak ,belanja gembok roda mobil dan truk,APBD,64000000,1.20.1.20.20.02.12.5.2.3.29.02,Pengadaan Langsung,06/04/2015,17/04/2015,20/04/2015,04/05/2015
3592953,jasa konsultasi pengawasan ,49500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pembangunan gedung kantor,Modal,Jasa Konsultansi,1 paket,kecamatan astanaanyar,jasa konsultasi pengawasan pembangunan gedung kantor,APBD,49500000,1.20.1.20.20.02.03.5.2.3.49.01,Pengadaan Langsung,01/04/2015,30/04/2015,01/05/2015,30/11/2015
3630297,belanja pengadaan gembok besar dan kecil kendaraan roda empat,64000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan perlengkapan peralatan aparatur,Modal,Barang,1 Paket,kelurahan panjunan ,belanja pengadaan gembok roda mobil dan truk ,APBD,64000000,1.20.1.20.20.02.12.5.2.3.45.01,Pengadaan Langsung,06/04/2015,16/04/2015,17/04/2015,18/05/2015
2578488,Belanja pengadaan Godyn,10000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,Pengadaan perlengkapan mebeleur,Modal,Barang,1 Paket,Kecamatan astanaanyar,Belanja gordyn untuk banguna gedung kantor,APBD,10000000,1.20.1.20.20.02.10.5.2.3.28.01,Pengadaan Langsung,09/11/2015,16/11/2015,17/11/2015,30/11/2015
3594716,belanja modal pengadaan sistem monitor/pemantau dan video management system ,110000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan perlengkapan gedung kantor,Modal,Barang,1 paket,kecamatan astanaanyar,pengadaan command center,APBD,110000000,1.20.20.20.02.07.5.2.3.31.05,Pengadaan Langsung,06/04/2015,17/04/2015,20/04/2015,19/05/2015
3595928,belanja pakaian batik tradisional ,32500000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan pakaian khusus hari-hari tertentu ,Barang/jasa,Barang,1 paket,kecamatan astanaanyar,belanja pakaian batik bandung ,APBD,32500000,1.20.1.20.20.03.05.5.2.2.14.03,Pengadaan Langsung,16/03/2015,23/03/2015,23/03/2015,22/04/2015
3625836,belanja pengadaan PC unit/komputer PC,10000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,KECAMATAN ASTANAANYAR,2015,pengadaan perlengkapan peralatan aparatur ,Modal,Barang,1 Paket,kelurahan karanganyar ,belanja komputer PC untuk pelayanan ,APBD,10000000,1.20.1.20.20.02.12.5.2.3.45.01,Pengadaan Langsung,01/04/2015,08/04/2015,09/04/2015,16/04/2015
