id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
1099387,"BELANJA MODAL PAPAN STRUKTUR ORGANISASI",500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 PAKET",KECAMATAN,"BELANJA ",APBD," 500000",5.2.3.11.15,"Penunjukan Langsung",03-04-2014,31-12-2015,03-04-2014,31-12-2015
1080387,"BELANJA BIOPORI",25000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Barang/jasa,Barang,"1 PAKET",KECAMATAN,"BELANJA ALAT BIOPORI",APBD," 25000000",5.2.2.22.01,"Penunjukan Langsung",02-01-2014,31-12-2015,31-03-2014,31-12-2015
1206838,"Belanja Scaner",2000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Penyediaan Perelatan dan Perlengkapan Kantor",Modal,Barang,"1 Unit",Kecamatan,"belanja ",APBD," 2000000",5.2.3.12.09,"Penunjukan Langsung",16-04-2014,30-04-2014,31-12-2015,31-12-2015
1695715,"PELANJA REHABILITASI RUANG PELAYANAN",694100000,"Lelang Umum",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"REHABILITASI SEDANG/BERAT GEDUNG KANTOR",Barang/jasa,"Pekerjaan Konstruksi","1 PAKET",KECAMATAN,"PEKERJAAN LELANG",APBD," 694100000",5.2.2.02.01,"Lelang Umum",03-02-2014,31-12-2015,01-02-2014,31-12-2015
1206332,"Belanja Pengadaan Komputer / PC",10000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Penyediaan Peralatan dan Perlengkapan",Modal,Barang,"1 Unit",Kecamatan,"belanja ",APBD," 10000000",5.2.3.12.02,"Penunjukan Langsung",17-04-2014,31-12-2015,17-04-2014,31-12-2015
1799292,"Rehabilitasi Gedung Kantor",687900000,"Lelang Umum",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Rehabilitasi Sedang/Berat",Modal,"Pekerjaan Konstruksi",Paket,"Kelurahan Cisaranten Kidul","Pembangunan Gedung Kantor",APBD," 687900000",1.20.1.20.36.02.42,"Lelang Umum",17-02-2014,31-12-2015,17-02-2014,31-12-2015
1206978,"Belanja Kelengkapan Komputer",5000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket",Kecamatan,"Belanja ",APBD," 5000000",5.2.3.12.09,"Penunjukan Langsung",16-04-2014,31-12-2015,16-04-2014,30-11-2014
1206411,"Belanja Pengadaan Komputer Note Book",11000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 Unit",Kecamatan,BELANJA,APBD," 11000000",5.2.3.12.03,"Penunjukan Langsung",16-04-2014,31-12-2015,16-04-2014,31-12-2015
1206657,"Belanja Printer",2500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"5 unit",Kecamatan,"belanja printer",APBD," 2500000",5.2.3.12.04,"Penunjukan Langsung",16-04-2014,31-12-2015,16-04-2014,31-12-2015
1209378,"Belanja Sepeda Motor roda 2 ",20000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Pengandaan Kendaraan Dinas /Operasional",Modal,Barang,"1 Unit",Kecamatan,Belanja,APBD," 20000000",5.2.3.03.12,"Penunjukan Langsung",16-04-2014,31-12-2015,16-04-2014,31-12-2015
1099287,"bELANJA RADIO TAPE",3500000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"PENYEDIAAN PERALATAN DAN PERELENGKAPAN KANTOR ",Modal,Barang,"1 PAKET",KECAMATAN,"BELANJA RADIO TAPE",APBD," 3500000",5.2.3.11.13,"Penunjukan Langsung",03-04-2014,31-12-2015,03-04-2014,31-12-2015
1080516,"BELANJA PENGADAAN PENDINGIN RUANGAN/AC",5000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 PAKET",KECAMATAN,"BELANJA AC",APBD," 5000000",5.2.3.11.12,"Penunjukan Langsung",03-01-2014,31-12-2015,31-03-2014,31-12-2015
1206708,"Belanja printer",1000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN GEDEBAGE",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 Unit",Kecamatan,"Belanja Printer",APBD," 1000000",5.2.3.12.04,"Penunjukan Langsung",16-04-2014,31-12-2015,16-04-2014,31-12-2015
