lokasi,nama_komoditas,2016-08-05,2016-08-01,2016-08-03,2016-08-04,2016-08-08,2016-08-09,2016-08-10,2016-08-11,2016-08-15,2016-08-16,2016-08-18,2016-08-19,2016-08-22,2016-08-24,2016-08-25,2016-08-26,2016-08-29,2016-08-30,2016-08-31,2016-08-02,2016-08-12,
Pasar Kiaracondong,Beras Medium,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,
Pasar Kiaracondong,Cabe Merah,30000,38000,30000,30000,25000,25000,25000,25000,30000,30000,30000,30000,0,20000,20000,20000,20000,20000,20000,30000,25000,
Pasar Kiaracondong,Bawang Merah,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,34000,34000,34000,32000,32000,32000,38000,45000,
Pasar Kiaracondong,Daging Ayam Ras,34000,35000,34000,34000,30000,30000,30000,30000,34000,34000,34000,34000,34000,32000,32000,32000,32000,32000,32000,22000,30000,
Pasar Kiaracondong,Telur Ayam Ras,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,20000,20000,20000,20000,20000,20000,22000,22000,
Pasar Kiaracondong,Daging Sapi,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,
Pasar Kiaracondong,Minyak Goreng,15000,14000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,
Pasar Kiaracondong,Gula Pasir,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,15000,15000,15000,15000,15000,15000,16000,16,
Pasar Kiaracondong,Kentang,20000,20000,20000,20000,18000,18000,18000,18000,18000,18000,18000,0,18000,20000,20000,20000,18000,18000,18000,20000,18000,
Pasar Kiaracondong,Kedelai,10000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Pasar Kiaracondong,Tepung Terigu,7000,7500,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,7000,7000,7000,7000,7000,
Pasar Kiaracondong,Bawang Putih,38000,38000,0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,35000,35000,35000,33000,33000,33000,38000,38000,
Pasar Kiaracondong,Cabe Keriting,35000,40000,35000,35000,30000,30000,0,30000,25000,0,25000,25000,25000,30000,30000,30000,30000,30000,30000,35000,30000,
Pasar Kiaracondong,Cabe Rawit,60000,58000,60000,60000,50000,50000,50000,50000,60000,60000,60000,60000,60000,60000,60000,60000,55000,55000,55000,60000,50000,
Pasar Kiaracondong,Kacang Tanah,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,
Pasar Kiaracondong,Ubi Kayu,5000,3000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
Pasar Kiaracondong,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pasar Kiaracondong,Jagung,8000,9000,8000,8000,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,0,8000,8000,8000,
Pasar Kiaracondong,Ikan Olahan,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,0,60000,60000,60000,60000,
