nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,11,0,0,0,0,27,1
Coblong,4,0,0,0,0,11,0
Babakan Ciparay,0,0,0,0,0,0,0
Bojongloa Kaler,23,0,0,0,0,0,10
Andir,10,3,0,0,0,6,0
Cicendo,16,0,0,0,0,45,2
Sukajadi,21,0,0,2,1,9,9
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,54,10,0,0,0,2,0
Astana Anyar,0,0,0,0,0,0,0
Regol,20,5,0,9,9,7,2
Batununggal,7,0,0,0,0,47,9
Lengkong,37,0,0,3,0,9,0
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,2,0,0,1,0,46,0
Kiaracondong,37,3,0,1,1,20,4
Bojongloa Kidul,33,14,0,0,3,44,0
Cibeunying Kaler,12,0,0,0,0,18,0
Sumur Bandung,2,2,0,0,0,0,0
Antapani,1,0,0,0,0,0,0
Bandung Kidul,4,0,0,24,0,20,4
Buahbatu,17,1,0,0,0,13,0
Rancasari,24,0,0,0,0,35,3
Arcamanik,0,0,0,0,0,0,0
Cibiru,14,0,0,0,0,1,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
