id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
8449357,"Belanja printer",8000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,2,"Kecamatan Mandalajati","Belanja printer",APBDP," 8000000",1.20.1.20.39.01.01.13,"Pengadaan Langsung",07-12-2016,08-12-2016,08-12-2016,13-12-2016
7144746,"Belanja Pemeliharaan Penerangan Jalan/Lingkungan",340000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,"Jasa Lainnya","17 RW/Tahun","Kelurahan Jatihandap","Belanja Pemeliharaan Penerangan Jalan/Lingkungan",APBD," 340000000",1.22.1.20.39.02.22.01.5.2.2.20.10,"Pengadaan Langsung",28-03-2016,29-03-2016,30-03-2016,31-03-2016
7143382,"Belanja Bahan Minyak dan Gas",125490000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional",Barang/jasa,Barang,"4800 Unit/Liter/Bulan","Kecamatan Mandalajati","Belanja Bahan Minyak dan Gas",APBD," 125490000",1.20.1.20.39.01.02.24.5.2.2.05.03,"Penunjukan Langsung",28-03-2016,28-03-2016,31-03-2016,31-03-2016
8434886,"Belanja Infokus",6000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Fasilitasi Pemberdayaan Lingkup Karang Taruna",Barang/jasa,Barang,1,"Kelurahan Sindangjaya","Belanja Infokus Kelurahan Sindangjaya",APBD," 6000000",1.22.1.20.39.05.22.03,"Pengadaan Langsung",06-12-2016,07-12-2016,07-12-2016,13-12-2016
7145043,"Belanja Modal Peralatan dan Mesin-Pengadaan Mebeulair Kursi Hadap",600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Penyediaan Peralatan dan perlengkapan Kantor",Modal,Barang,"1 Unit","Kelurahan Karang Pamulang","Belanja Modal Peralatan dan Mesin-Pengadaan Mebeulair Kursi Hadap",APBD," 600000",1.20.1.20.39.03.01.13.5.2.3.28.01,"Pengadaan Langsung",28-03-2016,29-03-2016,30-03-2016,31-03-2016
8449309,"Belanja laptop kegiatan pramuka",8000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,1,"Kecamatan Mandalajati","Belanja laptop kegiatan pramuka",APBDP," 8000000",1.20.1.20.39.01.01.13,"Pengadaan Langsung",07-12-2016,08-12-2016,08-12-2016,13-12-2016
7144522,"Belanja Pelumas",10500000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Pemeliharaan Rutin/Berkala Kendaraan Dinas/Operasional",Barang/jasa,"Jasa Lainnya","12 bulan","Kelurahan Jatihandap","Belanja Pelumas",APBD," 10500000",1.20.1.20.39.02.02.24.5.2.2.05.03,"Penunjukan Langsung",28-03-2016,29-03-2016,30-03-2016,31-03-2016
6845065,"Belanja Modal Pengadaan Alat Pendingin/AC",5000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,"1 Paket","Kecamatan Mandalajati","Belanja AC",APBD," 5000000",1.20.39.01.13.5.2.3.28.04,"Pengadaan Langsung",03-03-2016,11-03-2016,11-03-2016,18-03-2016
8425334,"Belanja Modal Mesin Absen",6000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,"1 Unit","Kelurahan Karang Pamulang","Belanja Modal Mesin Absen Kelurahan Karang Pamulang","Pengadaan Langsung",05-12-2016,06-12-2016,06-12-2016,13-12-2016,"Belanja Modal Mesin Absen (8421706) "
8508011,"Belanja Modal PC/Notebook",9000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN MANDALAJATI",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Barang/jasa,Barang,"1 Paket","Kelurahan Pasir Impun","Belanja Laptop Kel. Pasir Impun",APBDP," 9000000",1.20.1.20.39.04.01.13.5.2.3.29.02,"Pengadaan Langsung",13-12-2016,13-12-2016,13-12-2016,19-12-2016
