Lokasi;Kelurahan;Kecamatan
Jl. Maleber Impres Gg. Saluyu RT. 03-04 RW. 04;Maleber;Andir
Jl. Bojong Awi Rw. 03;Cisaranten Bina Harapan;Arcamanik
Jl. Terusan Puskesmas RT. 01-02 & 05-06 RW. 02;Kujang Sari;Bandung Kidul
Jl. Gg. H. Mukti RW. 06;Situsaeur;Bojongloa Kidul
Jl. Sarijati II RT. 07 RW. 05;Margasari;Buahbatu
Jl. Babakan Andir RW. 02;Padasuka;Cibeunying Kidul
Jl. Hegar Budi RW. 04;Hegarmanah;Cidadap
Jl. Pasundan RW. 04-05;Balong Gede;Regol
Jl. Geger Asih RW. 06;Isola;Sukasari
Jl. Alani RT. 03 RW. 10-12;Kebon Pisang ;Sumur Bandung
Jl. Sukarma RW. 03;Babakan Asih;Bojongloa Kaler
Jl. Sukaluyu I RW. 06;Cihaurgeulis;Cibeunying Kaler
Jl. Sekemale RW. 11;Pasanggrahan;Ujung Berung
Jl. Antapani Lama;Antapani Kulon;Antapani
Jl. Galunggung Dalam RW. 04;Lingkar Selatan;Lengkong
Jl. Terusan Venus RW. 06;Gempol Sari;Bandung Kulon
Jl. H. Jakaria RW. 01;Sukahaji;Babakan Ciparay
Jl. H. Kurdi II RW. 01;Karasak ;Astana Anyar
Jl. Gagak IV RW. 15;Cipadung;Cibiru
Jl. Lingkungan RW. 05;Pakemitan;Cinambo
Jl. Bondol RT. 01 RW. 08;Sadang Serang;Coblong
Jl. Waluku V RT. 03-04 RW. 10 & Jl. Garu II RW. 10 ;Babakan Sari;Kiaracondong
Jl. Pasir Impun Barat RW. 09;Karang Pamulang;Mandalajati
Jl. Yudistira RT. 05 RW. 01 & Gg. H. Abdur Rohman RW. 02;Rancabolang;Gedebage
Jl. Lingga Wastu RW. 16 & 17;Tamansari;Bandung Wetan
Jl. Anyelir I RW. 12;Cipadung Kidul;Panyileukan
Jl. Rancaloa RW. 03;Cipamakolan;Rancasari
Jl. Babakan Jeruk I RW. 08;Sukagalih;Sukajadi
Jl. Muhamad Aleh RW. 08;Pasirkaliki;Cicendo
Jl. Binong Jati RT. 01/04;Binong;Batununggal
