lokasi,nama_komoditas,2014-10-01,2014-10-02,2014-10-03,2014-10-04,2014-10-05,2014-10-06,2014-10-07,2014-10-08,2014-10-09,2014-10-10,2014-10-11,2014-10-12,2014-10-13,2014-10-14,2014-10-15,2014-10-16,2014-10-17,2014-10-18,2014-10-19,2014-10-20,2014-10-21,2014-10-22,2014-10-23,2014-10-24,2014-10-25,2014-10-26,2014-10-27,2014-10-28,2014-10-29,2014-10-30,2014-10-31
"Pasar Kiaracondong","Beras Medium",8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8500,8500,8500
"Pasar Kiaracondong","Cabe Merah",35000,35000,35000,50000,50000,0,0,60000,60000,60000,60000,60000,0,0,55000,55000,55000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,50000,50000,50000
"Pasar Kiaracondong","Bawang Merah",18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,16000,16000,16000
"Pasar Kiaracondong","Daging Ayam Ras",33000,33000,33000,33000,33000,0,0,30000,30000,30000,30000,30000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000
"Pasar Kiaracondong","Telur Ayam Ras",18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,17500,17500,17500
"Pasar Kiaracondong","Daging Sapi",98000,98000,98000,98000,98000,0,0,98000,98000,98000,98000,98000,0,0,98000,98000,98000,98000,98000,0,0,98000,98000,98000,98000,98000,0,0,98000,98000,98000
"Pasar Kiaracondong","Minyak Goreng",15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000
"Pasar Kiaracondong","Gula Pasir",11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000
"Pasar Kiaracondong",Kentang,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000
"Pasar Kiaracondong",Kedelai,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,11000,11000,11000
"Pasar Kiaracondong","Tepung Terigu",7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000
