DAFTAR LAHAN FASOS FASUM,,,,,,,,,,,,,,,
DINAS TATA RUANG DAN CIPTA KARYA,,,,,,,,,,,,,,,
WILAYAH TEGALLEGA,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NO,NOMOR REKPER,TANGGAL REKPER,LOKASI PERSIL,WILAYAH,KECAMATAN,KELURAHAN,LUAS LAHAN (m2),LUAS FASOS FASUM,,,,LUAS FASOS (m2),LUAS FASOS & FASUM (m2),LUAS PERSIL (m2),KETERANGAN
,,,,,,,,JALAN (m2),BERM / J. HIJAU / TAMAN / TROTOAR (m2),RIOOL / BRANDGANG (m2),NORMALISASI SUNGAI / SALURAN AIR (m2),,,,
1,503.590/29/VIII/DTK/Rekper/2003,7 Agustus 2003,Jl. Galuh Pakuan Timur,Tegalega,Bojongloa Kidul,Mekarwangi/ Cibaduyut Wetan,34558,10129,2190,926,,,13245,21313,
2,503.640/10/DTK/IV/Rekper/2004,7-Apr-04,JL. Galuh Pakuan Barat,Tegallega,Bojongloa Kidul,Cibaduyut Wetan,12403,,,206,,,206,12197,
3,503.640/22/DTK/VI/Rekper/2004,18 Juni 2004,Jl. Mekar Sari,Tegallega,Bandung Kulon,Cijerah,3264,695,175,121,,,991,2273,
4,503.640/22/DTK/VI/Rekper/2004,18 Juni 2004,Jl. Mekar Sari,Tegallega,Bandung Kulon,Cijerah,3264,695,175,121,,,991,2273,
5,503.640/47/DTK/X/Rekper/2004,12 Oktober 2004,Jl. Mekar Sejahtera,Tegallega,Bojongloa Kidul,Mekarwangi,10070,3334,1716,388,,,5438,4632,
6,503.590/13/III/DTK/Rekper/2005,21 Maret 2005,Jl. Surya Indah,Tegalega,Babakan Ciparay,babakan Ciparay,8518,1766,,900,,,2666,5852,
7,503.590/16/III/DTK/Rekper/2005,31 Maret 2005,Gg. Sukaleueur Dalam,Tegalega,Bojongloa Kaler,babakan Asih,1037,150,,49,23,,222,815,
8,503.590/34/VIII/DTK/Rekper/2005,10 Agustus 2005,Blok Warna Cinta ,Tegalega,Bojongloa Kidul,Mekarwangi,28796,6967,,1371,335,,8673,20123,
9,503.590/05/I/DTK/Rekper/2006,26 Januari 2006,Gg. Madesa Dalam,Tegallega,Bojongloa Kaler,Kopo,1281,45,,103,,,148,1133,
10,503.590/08/II/DTK/Rekper/2006,15 Februari 2006,Jl. Sauyunan Mas,Tegallega,Bojongloa Kidul,Kebonlega,3917,936,425,113,41,,1515,2402,
11,503.590/13/III/DTK/Rekper/2006,2 Maret 2006,Jl. Mekar Harum,Tegallega,Bandung Kulon,Cijerah,2167,312,201,179,,,692,1475,
12,503.590/26/V/DTK/Rekper/2006,5 Mei 2006,Jl. Mekar Hegar,Tegallega,Bandung Kulon,Cijerah,1972,485,,67,,,552,1420,
13,503.590/29/VI/DTK/Rekper/2006,1 Juni 2006,Jl. Mekar Raharja V,Tegallega,Bojongloa Kidul,Mekarwangi,1070,46,,,,,46,1024,
14,503.640/47/VIII/DTK/Rekper/2006,4 Agustus 2006,Jl. Indrayasa,Tegallega,Bojongloa Kidul,Cibaduyut,48186,13371,138,2209,232,,15950,32236,
15,503.590/48/VIII/DTK/Rekper/2006,23 Agustus 2006,Jl. Taman Mekar Agung I,Tegallega,Bojongloa Kidul,Mekarwangi,2119,350,,132,,,482,1637,
16,503.590/76/XII/DTK/Rekper/2006,7 Desember 2006,Jl. Gempol Asri XIII,Tegallega,Bandung Kulon,Gempolsari,5454,1963,224,263,,,2450,3004,
17,503.590/4/DTK/I/Rekper/2007,2 Januari 2007,Jl. Mekar Puspita,Tegallega,Bojongloa Kidul,Mekarwangi,6920,735,,307,,,1042,5878,
18,503.590/5/DTK/I/Rekper/2007,2 Januari 2007,Komp. Mekar Jelita,Tegallega,Bojongloa Kidul,Mekarwangi,7320,1152,,287,,,1439,5881,
19,503.590/608/DTK/III/Rekper/2007,16 Maret 2007,Jl. Gempol Asri,Tegalega,Bandung Kulon,Gempol Sari,3543,558,,227,,,785,2758,
20,503.590/949/DTK/IV/Rekper/2007,,Jl. Paralon No. 7,Tegallega,Bandung Kulon,Cigondewah Kaler,4864,,,84,,,84,4780,
21,503.590/1344/DTK/VI/Rekper/2007,7 Juni 2007,Jl. Gempol Asri VI,Tegalega,Bandung Kulon,Gempol Sari,6872,1801,235,657,,,2693,4179,
22,503.590/1607/DTK/VI/Rekper/2007,27 Juni 2007,Jl.Lapang Tenis,Tegalega,Babakan Ciparay,Babakan Ciparay,2310,599,,148,,,747,1563,
23,503.590/1912/DTK/VII/Rekper/2007,31 Juli 2007,Jl. Mekar Utama,Tegallega,Bojongloa Kidul,Mekarwangi,9098,1895,,98,215,,2208,6890,
24,503.590/2704/DTK/XI/Rekper/2007,1 Nopember 2007,Jl. Gempol Asri V,Tegallega,Bandung Kulon,Jl.Gempol Asri V,5079,1020,406,304,,,1730,3349,
25,503.590/2729/DTK/XI/Rekper/2007,6 Nopember 2007,Jl. Mekar Setia,Tegallega,Bojongloa Kidul,Cibaduyut Wetan,7644,994,608,301,,,1903,5741,
26,503.590/2730/DTK/XI/Rekper/2007,6 Nopember 2007,Jl. Mekar Sejati,Tegallega,Bojongloa Kidul,Mekarwangi,7780,968,1163,320,,,2451,5329,
27,503.590/2855/DTK/XI/Rekper/2007,15 Nopember 2007,Jl. Mekar Utama,Tegallega,Bojongloa Kidul,Mekarwangi,4182,790,120,110,,,1020,3162,
28,503.590/3201/DTK/XII/Rekper/2007,14 Desember 2007,Jl. Mekar Raharja,Tegallega,Bojongloa Kidul,Cibaduyut Wetan,6990,1564,2250,120,,,3934,3056,
29,503.590/3202/DTK/XII/Rekper/2007,14 Desember 2007,Jl. Mekar Raharja,Tegallega,Bojongloa Kidul,Cibaduyut Wetan,9463,2386,778,175,,,3339,6124,
30,503.590/3374/DTK/XII/Rekper/2007,21 Desember 2007,Jl. Melong Asih,Tegallega,Bandung Kulon,Cijerah,5486,1000,102,220,,,1322,4164,
31,620/033-Distarcip,30 Mei 2011,Jl. Cibuntu Tengah,Tegallega,Bandung Kulon,Warung Muncang,3039,1149,260,232,,,1641,1398,
32,620/043-Distarcip,08 Juni 2011,Jl. Bizpark Raya,Tegallega,Babakan Ciparay,Cirangrang,14276,1971,98,339,,,2408,11868,
33,620/077-Distarcip,24 Juni 2011,Jl. Komp.Industri Cibolerang,Tegallega,Babakan Ciparay,Margasuka,2528,,,,,, -   ,2528,
34,620/0196-Distarcip,17 Oktober 2011,Jl. Taman Mekar Utama VI ,Tegallega,Bojongloa Kidul,Kebon Lega,1579,,,,,, -   ,1579,
