KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.39 . 00 . 00 . 5,BELANJA,17761004911,
1.20 . 1.20.39 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,4561862246,
1.20 . 1.20.39 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,4561862246,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.39 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,13199142665,
1.20 . 1.20.39 . 01,Program Pelayanan Administrasi Perkantoran,1096332165,
1.20 . 1.20.39 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,155477594,
1.20 . 1.20.39 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,155477594,
1.20 . 1.20.39 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,25850000,
1.20 . 1.20.39 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,25850000,
1.20 . 1.20.39 . 01 . 08,Penyediaan jasa kebersihan kantor,166800000,
1.20 . 1.20.39 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,166800000,
1.20 . 1.20.39 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,17700000,
1.20 . 1.20.39 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,17700000,
1.20 . 1.20.39 . 01 . 10,Penyediaan alat tulis kantor,52300000,
1.20 . 1.20.39 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,52300000,
1.20 . 1.20.39 . 01 . 11,Penyediaan barang cetakan dan penggandaan,70900000,
1.20 . 1.20.39 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,70900000,
1.20 . 1.20.39 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,14262881,
1.20 . 1.20.39 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,14262881,
1.20 . 1.20.39 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,263575000,
1.20 . 1.20.39 . 01 . 13 . 5 . 2 . 2,Belanja Barang dan Jasa,5000000,
1.20 . 1.20.39 . 01 . 13 . 5 . 2 . 3,Belanja Modal,258575000,
1.20 . 1.20.39 . 01 . 14,Penyediaan peralatan rumah tangga,40000000,
1.20 . 1.20.39 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,40000000,
1.20 . 1.20.39 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,10400000,
1.20 . 1.20.39 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,10400000,
1.20 . 1.20.39 . 01 . 17,Penyediaan makanan dan minuman,47480000,
1.20 . 1.20.39 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,47480000,
1.20 . 1.20.39 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,107814690,
1.20 . 1.20.39 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,107814690,
1.20 . 1.20.39 . 01 . 19,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,123772000,
1.20 . 1.20.39 . 01 . 19 . 5 . 2 . 1,Belanja Pegawai,31200000,
1.20 . 1.20.39 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,92572000,
1.20 . 1.20.39 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,648450000,
1.20 . 1.20.39 . 02 . 05,pengadaan Kendaraan dinas/operasional,50000000,
1.20 . 1.20.39 . 02 . 05 . 5 . 2 . 3,Belanja Modal,50000000,
1.20 . 1.20.39 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,90440000,
1.20 . 1.20.39 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,90440000,
1.20 . 1.20.39 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,508010000,
1.20 . 1.20.39 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,508010000,
1.20 . 1.20.39 . 03,Program peningkatan disiplin aparatur,198550000,
1.20 . 1.20.39 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,198550000,
1.20 . 1.20.39 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,198550000,
1.20 . 1.20.39 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,76050000,
1.20 . 1.20.39 . 05 . 04,Pembinaan Kinerja Aparatur,76050000,
1.20 . 1.20.39 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,76050000,
1.20 . 1.20.39 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,22150000,
1.20 . 1.20.39 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,15075000,
1.20 . 1.20.39 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,3950000,
1.20 . 1.20.39 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,11125000,
1.20 . 1.20.39 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,7075000,
1.20 . 1.20.39 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,1475000,
1.20 . 1.20.39 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,5600000,
1.06 . 1.20.39 . 21,Program perencanaan pembangunan daerah,8000000,
1.06 . 1.20.39 . 21 . 16,Penyusunan Renstra dan Renja SKPD,8000000,
1.06 . 1.20.39 . 21 . 16 . 5 . 2 . 1,Belanja Pegawai,2950000,
1.06 . 1.20.39 . 21 . 16 . 5 . 2 . 2,Belanja Barang dan Jasa,5050000,
1.22 . 1.20.39 . 22,Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan,7247200000,
1.22 . 1.20.39 . 22 . 01,Fasilitasi Pemberdayaan Lingkup RW,6047200000,
1.22 . 1.20.39 . 22 . 01 . 5 . 2 . 1,Belanja Pegawai,1240800000,
1.22 . 1.20.39 . 22 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,4686400000,
1.22 . 1.20.39 . 22 . 01 . 5 . 2 . 3,Belanja Modal,120000000,
1.22 . 1.20.39 . 22 . 02,Fasilitasi Pemberdayaan Lingkup PKK,400000000,
1.22 . 1.20.39 . 22 . 02 . 5 . 2 . 1,Belanja Pegawai,60150000,
1.22 . 1.20.39 . 22 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,291250000,
1.22 . 1.20.39 . 22 . 02 . 5 . 2 . 3,Belanja Modal,48600000,
1.22 . 1.20.39 . 22 . 03,Fasilitasi Pemberdayaan Lingkup Karang Taruna,400000000,
1.22 . 1.20.39 . 22 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,363500000,
1.22 . 1.20.39 . 22 . 03 . 5 . 2 . 3,Belanja Modal,36500000,
1.22 . 1.20.39 . 22 . 04,Fasilitasi Pemberdayaan Lingkup LPM,400000000,
1.22 . 1.20.39 . 22 . 04 . 5 . 2 . 1,Belanja Pegawai,20000000,
1.22 . 1.20.39 . 22 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,380000000,
1.20 . 1.20.39 . 30,Program Peningkatan Peran Kecamatan dan Kelurahan,3902410500,
1.20 . 1.20.39 . 30 . 01,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan,49675000,
1.20 . 1.20.39 . 30 . 01 . 5 . 2 . 1,Belanja Pegawai,11950000,
1.20 . 1.20.39 . 30 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,37725000,
1.20 . 1.20.39 . 30 . 02,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan,439518000,
1.20 . 1.20.39 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,201200000,
1.20 . 1.20.39 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,238318000,
1.20 . 1.20.39 . 30 . 03,Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan,2086875000,
1.20 . 1.20.39 . 30 . 03 . 5 . 2 . 1,Belanja Pegawai,1676775000,
1.20 . 1.20.39 . 30 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,410100000,
1.20 . 1.20.39 . 30 . 04,Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan,254050000,
1.20 . 1.20.39 . 30 . 04 . 5 . 2 . 1,Belanja Pegawai,5000000,
1.20 . 1.20.39 . 30 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,197050000,
1.20 . 1.20.39 . 30 . 04 . 5 . 2 . 3,Belanja Modal,52000000,
1.20 . 1.20.39 . 30 . 05,Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan,860325000,
1.20 . 1.20.39 . 30 . 05 . 5 . 2 . 1,Belanja Pegawai,745950000,
1.20 . 1.20.39 . 30 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,114375000,
1.20 . 1.20.39 . 30 . 07,Fasilitasi Peningkatan Pelayanan Kepada Masyarakat,211967500,
1.20 . 1.20.39 . 30 . 07 . 5 . 2 . 1,Belanja Pegawai,69950000,
1.20 . 1.20.39 . 30 . 07 . 5 . 2 . 2,Belanja Barang dan Jasa,129787500,
1.20 . 1.20.39 . 30 . 07 . 5 . 2 . 3,Belanja Modal,12230000,
,SURPLUS / (DEFISIT),17761004911,
