kecamatan,jumlah_laki_laki,jumlah_perempuan
Bandung Kulon,71864,70547
Babakan Ciparay,7562,71476
Bojongloa Kaler,61962,58443
Bojongloa Kidul,44317,41351
Astana Anyar,34576,34254
Regol,408,40667
Lengkong,35344,35843
Bandung Kidul,2959,29367
Buah Batu,47836,47272
Rancasari,38607,38288
Gedebage,18533,18549
Cibiru,36716,35300
Panyileukan,20355,19893
Ujung Berung,39089,37813
Cinambo,12925,12306
Arcamanik,35198,34115
Antapani,37449,37012
Mandalajati,32357,31221
Kiara Condong,66384,65588
Batununggal,61766,59161
Sumur Bandung,18457,18122
Andir,49628,47925
Cicendo,50262,49490
Bandung Wetan,15423,15701
Cibeunying Kidul,54657,53149
Cibeunying Kaler,36387,34537
Coblong,69116,62414
Sukajadi,54452,53923
Sukasari,40947,40961
Cidadap,29948,28724
Kota Bandung,1260565,1223412
