id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6008118,"Belanja Kursus-kursus Singkat / Pelatihan Kinerja",112275000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Pembinaan Kinerja Aparatur",Barang/jasa,"Jasa Lainnya","12 Bulan","Kantor Kecamatan Buahbatu","Deskripsi Belanja Kursus-kursus Singkat / Pelatihan Kinerja",APBD," 112275000",1.20.1.20.34.01.05.04.5.2.2.17.01,"Pengadaan Langsung",04-04-2016,08-04-2016,11-04-2016,14-11-2016
6456455,"Belanja Jasa Pengamanan Kantor",99650000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Jasa Pengamanan Kantor",Barang/jasa,"Jasa Lainnya","3 org/ 12 Bln","Kantor Kecamatan Buahbatu","Deskripsi Belanja Jasa Pengamanan Kantor selama 12 Bulan",APBD," 99650000",1.20.1.20.34.01.01.20.5.2.2.03.17,"Pengadaan Langsung",22-01-2016,25-01-2016,26-01-2016,05-12-2016,"Belanja Jasa Pengamanan Kantor (6005228) "
6006378,"Pengadaan Pintu dan Pagar Kelurahan Cijawura",24425000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Pengadaan perlengkapan Gedung kantor",Barang/jasa,"Pekerjaan Konstruksi","1 Paket","Kelurahan Cijawura Kecamatan Buahbatu","Deskripsi Pengadaan Pintu dan Pagar Kelurahan Cijawura",APBD," 24425000",1.20.1.20.34.01.02.07.5.2.3.49.01,"Pengadaan Langsung",11-07-2016,15-07-2016,18-07-2016,15-08-2016
6723564,"Belanja Modal Pengadaan Komputer/FC,Laptop, Pada Kelurahan Margasari",35000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Pada Kelurahan Margasari",Modal,Barang,"2 Unit","Kelurahan Margasari","Komputer 3 Unit 21.000.000 Lapto 2 Unit 14.000.000",APBD," 35000000",1.20.1.20.34.03.01.13.5.2.3.29.02,"Pengadaan Langsung",23-02-2016,29-02-2016,01-03-2016,08-03-2016
6963180,"Belanja Pengadaan Mesin Potong Rumput Lingkup RW, Alat Kerja  Bakti Lingkup LPM Pada Kelurahan Margasari",54300000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Peralatan Perlengkapan Kantor Pada Kelurahan Margasari",Modal,Barang,"1 Paket","Kelurahan Margasari","Mesin Potong Rumput 1 Paket untuk 16 RW 54.300.000 untuk 16 RW",APBD," 54300000",1.20.1.20.34.03.01.13.5.2.3.26.01,"Pengadaan Langsung",23-02-2016,26-02-2016,29-02-2016,07-03-2016,"Belanja Pengadaan Mesin Potong Rumput Lingkup RW, Alat Kerja Bakti Lingkup LPM Pada Kelurahan Margasari (6723138) "
6766669,"Pengadaan Meja",2500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 unit","Kelurahan Sekejati","Pengadaan Meja 1 unit untuk Lingkup LPM",APBD," 2500000","1.20.1.20.34.02.01.13 5.2.3.28.01","Pengadaan Langsung",01-03-2016,04-03-2016,07-03-2016,14-03-2016
6837876,"Pengadaan Mesin Potong Rumput Pada kelurahan Jatisari",21000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan peralatan dan Perlengkapan Kantor Pada kelurahan Jatisari",Modal,Barang,"7 Unit","Kelurahan Jatisari","Deskripsi Pengadaan Mesin Potong Rumput Pada kelurahan Jatisari",APBD," 21000000",1.20.1.20.34.05.01.13.5.2.3.28.03,"Pengadaan Langsung",01-03-2016,04-03-2016,07-03-2016,21-03-2016
6791714,"PC/ Komputer Pada Kecamatan Buahbatu",16000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Pada Kecamatan Buahbatu",Modal,Barang,"2 Unit","Kecamatan Buahbatu","Belanja Pengadaan PC/ Komputer Pada Kecamatan Buahbatu",APBD," 16000000",1.20.1.20.34.01.01.13.5.2.3.29.02,"Pengadaan Langsung",26-02-2016,29-02-2016,01-03-2016,08-03-2016
6792061,"Mesin Absensi Pada Kecamatan Buahbatu",40000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Peralatan dan Perlengkapan Kantor Pada Kecamatan Buahbatu",Modal,Barang,"4 Unit","Kecamatan Buahbatu","Belanja Pengadaan Mesin Absensi Pada Kecamatan Buahbatu",APBD," 40000000",1.20.1.20.34.01.01.13.5.2.3.27.05,"Pengadaan Langsung",26-02-2016,29-02-2016,01-03-2016,08-03-2016
6456838,"Belanja Jasa Kebersihan Kantor ",148850000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2016,"Penyediaan Jasa Kebersihan Kantor",Barang/jasa,"Jasa Lainnya","4 org/12Bln","Kantor Kecamatan Buahbatu ","Deskripsi Belanja Jasa Kebersihan Kantor ",APBD," 148850000",1.20.1.20.34.01.01.08.5.2.2.03.15,"Pengadaan Langsung",22-01-2016,25-01-2016,26-01-2016,03-12-2016,"Belanja Jasa Kebersihan Kantor (6001730) "
