id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3645774,"Pengadaan Peralatan Computing - E-Kelurahan",14250000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kelurahan Cigondewah Kidul","Pengadaan Peralatan Computing untuk e-Kelurahan",APBD," 14250000",1.20.1.20.24.01.13.5.2.3.31.05,"Penunjukan Langsung",23-03-2015,30-03-2015,06-04-2015,20-04-2015
3632739,"Pengadaan Alat Kantor Lainnya - Kursi Rapat",40000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Peralatan Aparatur ",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Pengadaan Kursi Rapat",APBD," 40000000",1.20.1.20.24.02.12.5.2.3.27.05,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3631441,"Belanja Modal Peralatan dan Mesin - Pengadaan Kitchen Set",30000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Mebeleur",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Pengadaan Kitchen Set",APBD," 30000000",1.20.1.20.24.02.10.5.2.3.28.05,"Penunjukan Langsung",16-03-2015,19-03-2015,23-03-2015,06-04-2015
3637270,"Pengadaan Bangunan Gedung Kantor",158200000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Rehabilitasi sedang/berat gedung kantor",Modal,"Pekerjaan Konstruksi","1 paket","Kelurahan Caringin","Konstruksi Gedung Kantor",APBD," 158200000",1.20.1.20.24.02.42.5.2.3.49.01,"Penunjukan Langsung",23-03-2015,30-03-2015,06-04-2015,06-07-2015
3634499,"Pengadaan Peralatan Computing - E-Kelurahan",14250000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kelurahan Cijerah","Pengadaan Computing untuk E-Kelurahan",APBD," 14250000",1.20.1.20.24.01.13.5.2.3.31.05,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3628457,"Belanja modal peralatan dan mesin-pengadaan laptop",10000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 paket","Kecamatan Bandung kulon","Belanja modal peralatan dan mesin-pengadaan laptop",APBD," 10000000",1.20.1.20.24.01.10.5.2.3.29.02,"Penunjukan Langsung",12-03-2015,20-03-2015,01-04-2015,08-04-2015
3632881,"Pengadaan Alat Kantor Lainnya - Meja Biro",27000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Peralatan Aparatur ",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Pengadaan meja Biro",APBD," 27000000",1.20.1.20.24.02.12.5.2.3.27.05,"Penunjukan Langsung",16-03-2015,19-03-2015,23-03-2015,27-03-2015
3635302,"Pengadaan Peralatan Computing - E-Kelurahan",14250000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Penyediaan Peralatan dan Perlengkapan Aparatur",Modal,Barang,"1 paket","Kelurahan Warung Muncang","Pengadaan Peralatan Komputer untuk E-Kelurahan",APBD," 14250000",1.20.1.20.24.01.13.5.2.3.31.05,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,30-03-2015
3645271,"Pengadaan Peralatan Computing - E-Kelurahan",14250000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kelurahan Gempolsari","Pengadaan Peralatan Computing untuk e-Kelurahan",APBD," 14250000",1.20.1.20.24.01.13.5.2.3.31.05,"Penunjukan Langsung",23-03-2015,30-03-2015,01-04-2015,15-04-2015
3634840,"Pengadaan Peralatan Computing - E-Kelurahan",14250000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kelurahan Cibuntu","Pengadaan Computing untuk E-Kelurahan",APBD," 14250000",1.20.1.20.24.01.13.5.2.3.31.05,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3630060,"Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Absensi",10000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Gedung Kantor",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Absensi",APBD," 10000000",1.20.1.20.24.02.07.5.2.3.27.05,"Penunjukan Langsung",12-03-2015,17-03-2015,23-03-2015,30-03-2015
3632255,"Pengadaan Peralatan Studio Visual - Proyektor + Attachment",40000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Mebeleur",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Pengadaan Proyektor + Attachment",APBD," 40000000",1.20.1.20.24.02.10.5.2.3.31.01,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,31-03-2015
3632507,"Pengadaan Peralatan Studio Visual - Camera + attachment",7500000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Mebeleur",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Pengadaan Camera + Attachment",APBD," 7500000",1.20.1.20.24.02.10.5.2.3.31.01,"Penunjukan Langsung",16-03-2015,19-03-2015,16-03-2015,20-03-2015
3630698,"Belanja Modal Peralatan dan Mesin - Pengadaan AC Unit",25000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Mebeleur",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Belanja Modal Peralatan dan Mesin - Pengadaan AC Unit",APBD," 25000000",1.20.1.20.24.02.10.5.2.3.28.04,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3635323,"Pengadaan Peralatan Umum - Gembok Besar",8000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Gedung Kantor",Modal,Barang,"2 unit","Kelurahan Warung Muncang","Pengadaan Gembok Besar",APBD," 8000000",1.20.1.20.24.02.07.5.2.3.43.06,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3629667,"Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Antrian",15000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Gedung Kantor",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Belanja Modal Peralatan dan Mesin - Pengadaan Mesin Antrian",APBD," 15000000",1.20.1.20.24.02.07.5.2.3.27.05,"Penunjukan Langsung",12-03-2015,19-03-2015,01-04-2015,10-04-2015
3630597,"Belanja Modal Peralatan dan Mesin - Pengadaan Lemari Es",10000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Mebeleur",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Belanja Modal Peralatan dan Mesin - Pengadaan Lemari Es",APBD," 10000000",1.20.1.20.24.02.10.5.2.3.28.04,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,26-03-2015
3634061,"Pengadaan Bangunan Gedung Kantor Lain-Lain - Canopy",25000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Rehabilitasi Sedang/Berat Gedung Kantor",Modal,Barang,"1 paket","Kecamatan Bandung Kulon","Pengadaan Canopy",APBD," 25000000",1.20.1.20.24.02.42.5.2.3.49.01,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3635336,"Pengadaan Peralatan Umum - Gembok Kecil",4000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Gedung Kantor",Modal,Barang,"5 unit","Kelurahan Warung Muncang","Pengadaan Gembok Kecil",APBD," 4000000",1.20.1.20.24.02.07.5.2.3.43.06,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
3634861,"Pengadaan Peralatan Umum - Gembok Besar",8000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BANDUNG KULON",2015,"Pengadaan Perlengkapan Gedung Kantor",Modal,Barang,"1 paket","Kelurahan Cibuntu","Pengadaan Gembok Besar",APBD," 8000000",1.20.1.20.24.02.07.5.2.3.43.06,"Penunjukan Langsung",16-03-2015,20-03-2015,23-03-2015,27-03-2015
