No. Pendaftaran,,Persil/Lokasi,Izin,Kelurahan,Kecamatan,Wilayah
 01322020194085059800,"PT. CELCO INDUSTRIAL, Ltd. 
",Gang Karees No. 43-A   ,Izin Usaha Industri 2012,Malabar,Lengkong,KAREES
 01323160965062431300,"SINAR INDAH 
",Jalan Rumah  Sakit  No.  118                                                        (  d/h Jl. Gedebage / Ds. Cisaranteun    ),Izin Usaha Industri 2012,Babakan Penghulu,Cinambo,UJUNGBERUNG
 01323407366068125100,"CV. HINANI 
",Jalan Gede Bage No. 110   ,Izin Usaha Industri 2012,Pasir Endah,Ujungberung,UJUNGBERUNG
 01323682696000813400,"PT. SAPUTRA MAKMUR SENTOSA ABADI 
",Jalan Inhoftank No. 15 A,Izin Usaha Industri 2012,Pelindung Hewan,Astana Anyar,TEGALLEGA
 01324955486090440800,"PT. CAHAYA BERLIAN LESTARI 
",Jalan Sukarno Hatta no. 168,Izin Usaha Industri 2012,Kebonlega,Bojongloa Kidul,TEGALLEGA
 01325040085028910300,"PT. BANDUNG MUTIARA SEWU 
",Jalan Gunung Batu No. 107  ,Izin Usaha Industri 2012,Sukaraja,Cicendo,BOJONAGARA
 01325779774056039500,"CV. DIESHA UTAMA 
",Jalan Nyengseret No. 42,Izin Usaha Industri 2012,Nyengseret,Astana Anyar,TEGALLEGA
 01326256787020546600,"BERDIKARI 
",Jalan ters. Rajawali No.101/76,Izin Usaha Industri 2012,Dunguscariang,Andir,BOJONAGARA
 01326266290051276900,"PT. ASTRA INTERNATIONAL, TBK. 
",Jalan Soekarno Hatta No. 751   ,Izin Usaha Industri 2012,Cimincrang,Gedebage,GEDEBAGE
 01326680208065878000,"PT. SYGMA EXAMEDIA ARKANLEEMA 
",Jalan Babakan Sari I No. 71  ,Izin Usaha Industri 2012,Babakansari,Kiaracondong,KAREES
 01326681094076752400,"SARI INTAN MANUNGGAL 
","Jalan Karasak Utara IV No. 23  ",Izin Usaha Industri 2012,Karasak,Astana Anyar,TEGALLEGA
 01326772253023054800,"CV.CAHAYA HARAPAN 
",GG.BABAKAN ASIH NO.4/198 A  ,Izin Usaha Industri 2012,Babakan Asih,Bojongloa Kaler,TEGALLEGA
 01326772660097887500,"CV. CAHAYA KURNIA 
",Jalan Paralon I no. 18,Izin Usaha Industri 2012,Cigondewah Kaler,Bandung Kulon,TEGALLEGA
 01326863917088218900,"PT. BHAKTI GLOBAL 
",Kopo Mas Regency  Blok  99  T   ,Izin Usaha Industri 2012,Margasuka,Babakan Ciparay,TEGALLEGA
 01326942250017425800,"PT. BALI MULTI SHOE FACTORY 
",Jalan Cicukang No. 8,Izin Usaha Industri 2012,Campaka,Andir,BOJONAGARA
 01327928968032896900,"CV. ARTHA MEKAR LESTARI 
",Jalan Rumah Sakit No. 126/112  ,Izin Usaha Industri 2012,Pakemitan,Cinambo,UJUNGBERUNG
