NO,NAMA TK,ALAMAT,KELURAHAN,NO TELP/HP
1,TK. Pertiwi III SMP 18,Jl. SMP 18,Cijawura,818634023
2,TK . Dewi Sartika,Jl. Logam No. 9,Cijawura,7503101
3,TK. Taman Indira,Komp. Pandan Wangi F. 23,Cijawura,7508113
4,TK. Permata Bunda,Jl. Batu Permata No. 5,Cijawura,7564708
5,Tk. Al Iklas,Jl. Margacinta No. 169,Cijawura,7564356
6,TK. Bany Rahman,Jl. Cijawura Hilir,Cijawura,91379917
7,TK. Pertiwi III,Komp. Sawo Endah,Margasari,81322057612
8,TK. Aryandini IV,Jl. Setia Graha No. 26,Margasari,753783
9,TK. Adam Pratama,Jl. Ters. Derwati 34,Margasari,7564128
10,TK. Plus Pelangi,Jl. Margasari No.221,Margasari,7500188
11,TK.Dewi Kania,Jl. Mars Selatan 35,Sekejati,7568520
12,TK. Citra Bunda,Jl. Meteor Utara I No.2,Sekejati,81321423454
13,TK. Aryandini,Jl. Saturnus Utara No. 20,Sekejati,7560591
14,TK. Aryandidni,Jl. Venus Raya No. 28,Sekejati,7560269
15,TK.Aryandini,Jl. Yupiter barat XIX,Sekejati,7507619
16,TK. Asy Syifa,Jl. Saturnus Timur 94,Sekejati,7564156
17,TK. Taman Firdaus,Jl. Neptunus Timur II / 54 G,Sekejati,7514651
18,TK. Inzan Kamil,Jl. Mars Tengah II No. 7,Sekejati,7530487
19,TK. Al Bayan ,Jl. Meteor Raya L. II,Sekejati,818234958
20,TK. Plus Lestari,Jl. Trs. Mars Utara 3 no. 13 M.R,Sekejati,7530554
21,TK. Al Wahab,Jl. Saturnus Utara Blok O RW X,Sekejati,81321441326
22,TK. Amaliah,Jl. Saturnus Utara No. 8,Sekejati,7513815
23,TK. Plus Al Fitrah,Jl. Merkuri Timur No. 1,Sekejati,
24,TK. Al Muhajir,Jl. Yupiter utama Blok E.2,Sekejati,7568878
25,TK. Tadikapuri,Jl.Sk. VI/II Sanggar Hurip,Jatisari,7316090
26,TK. Al Ikhwan,Jl. Kawaluyaan Indah  XIV No. 11,Jatisari,7568878
,,,,
