nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,52,43,66,138,351,10,0,0,140,100,9,7,0,169,100,53,36,66,109,351
Coblong,43,50,40,134,283,25,0,0,160,200,12,3,2,146,7,56,47,38,148,476
Babakan Ciparay,118,46,16,251,231,0,0,0,0,100,0,1,0,39,8,118,45,16,212,323
Bojongloa Kaler,69,46,1,103,102,45,60,10,200,100,45,47,3,182,113,69,59,8,121,89
Andir,156,93,18,396,455,0,0,0,140,0,8,3,1,168,14,148,90,17,368,441
Cicendo,27,439,0,18,227,5,3,0,60,0,7,14,0,47,1,25,428,0,31,226
Sukajadi,87,40,0,50,182,125,0,0,453,200,131,13,0,494,249,81,27,0,9,133
Cidadap,126,40,7,279,357,0,0,0,60,0,7,0,0,101,3,119,40,7,238,354
Bandung Wetan,36,70,12,69,403,0,0,0,120,0,16,10,0,88,10,20,60,12,101,393
Astana Anyar,87,173,10,490,352,136,0,1,247,200,43,9,4,149,101,180,164,7,588,451
Regol,61,89,0,398,285,0,0,0,0,0,20,9,0,115,53,41,80,0,283,232
Batununggal,71,34,9,112,165,25,0,0,200,100,28,1,0,205,52,68,33,9,107,213
Lengkong,116,79,30,267,454,1,0,0,195,0,7,2,1,225,41,110,77,29,237,413
Cibeunying Kidul,52,113,93,32,281,0,0,0,40,0,8,24,0,42,11,44,89,93,30,270
Bandung Kulon,31,32,8,339,326,50,0,0,100,300,2,17,0,149,58,79,15,8,290,568
Kiaracondong,100,38,11,45,91,25,0,0,140,200,2,3,0,64,72,123,35,11,121,219
Bojongloa Kidul,8,6,0,75,163,0,0,0,0,0,5,0,0,10,23,3,6,0,65,140
Cibeunying Kaler,12,12,10,20,88,0,0,0,0,0,0,4,0,18,18,12,8,10,2,70
Sumur Bandung,47,25,0,53,264,0,0,0,149,0,1,5,0,108,6,46,20,0,94,258
Antapani,60,85,13,58,187,0,0,0,100,0,2,0,0,107,34,58,85,13,51,153
Bandung Kidul,80,38,16,9,80,0,0,0,320,500,3,11,1,197,77,77,27,15,132,503
Buahbatu,89,84,23,164,300,0,0,0,70,0,5,7,1,193,89,84,77,22,41,211
Rancasari,29,33,0,97,143,0,0,10,120,100,3,3,0,115,72,26,30,10,102,171
Arcamanik,36,65,6,32,227,0,0,0,40,0,5,2,0,39,2,31,63,6,33,225
Cibiru,43,41,53,159,188,50,0,0,260,200,4,4,13,327,193,89,37,40,92,195
Ujung Berung,20,0,0,30,20,0,0,0,0,0,2,0,0,15,10,18,0,0,15,10
Gedebage,34,36,27,130,374,25,0,0,40,100,15,1,0,34,43,44,35,27,136,431
Panyileukan,60,10,18,127,149,0,0,0,25,0,1,0,0,65,8,59,10,18,87,141
Cinambo,178,18,13,221,239,300,0,50,70,100,92,3,0,47,9,386,15,63,244,330
Mandalajati,48,24,13,124,252,0,0,0,60,0,2,0,0,25,3,46,24,13,159,249
