id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
8416807,"Megaphone kegiatan Pramuka",1000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Unit","Kecamatan Arcamanik",-,APBDP," 1000000","1.20.1.20.30.01.01.13.5.2.3.31.01 ","Pengadaan Langsung",21-11-2016,25-11-2016,29-11-2016,07-12-2016
6964434,"Pemeliharaan jalan RW. 10 Kelurahan Cisaranten Kulon",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi pemberdayaan lingkup RW",Barang/jasa,"Pekerjaan Konstruksi","1 paket","Kelurahan Cisaranten Kulon",-,APBD," 10000000",1.20.1.20.30.04.22.01.5.2.2.20.01,"Pengadaan Langsung",01-06-2016,10-06-2016,13-06-2016,12-07-2016
6964515,"Pemeliharaan gedung RW. 06 Kelurahan Cisaranten Kulon",30500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi pemberdayaan lingkup RW",Barang/jasa,"Pekerjaan Konstruksi","1 paket","Kelurahan Cisaranten Kulon",-,APBD," 30500000",1.20.1.20.30.04.22.01.5.2.2.20.05,"Pengadaan Langsung",01-06-2016,10-06-2016,13-06-2016,12-07-2016
6963420,"Pemeliharaan jalan RW. 03 Kelurahan Sukamiskin",44000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi pemberdayaan lingkup RW",Barang/jasa,"Pekerjaan Konstruksi","1 paket","Kelurahan Sukamiskin",-,APBD," 44000000",1.20.1.20.30.02.22.01.5.2.2.20.01,"Pengadaan Langsung",01-06-2016,10-06-2016,13-06-2016,12-07-2016
6963285,"Pengadaan kamera, handy talky dan infocus",40000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"16 unit","Kelurahan Sukamiskin",-,APBD," 40000000",1.20.1.20.30.02.01.13.5.2.3.31.01,"Pengadaan Langsung",04-04-2016,08-04-2016,11-04-2016,29-04-2016
8445398,"RW. 04",7950000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi Pemberdayaan lingkup RW",Barang/jasa,"Pekerjaan Konstruksi","1 paket","Kelurahan Cisaranten Kulon",-,APBDP," 7950000","1.22.1.20.30.04.22.01.5.2.2.20.05 ","Pengadaan Langsung",22-11-2016,25-11-2016,01-12-2016,07-12-2016
8488972,"Barang cetakan",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",Barang/jasa,Barang,"1 Tahun","Kecamatan Arcamanik",-,APBD," 30000000",1.20.1.20.30.01.30.07.5.2.2.06.01,"Pengadaan Langsung",17-11-2016,24-11-2016,25-11-2016,09-12-2016
6964561,"Pengadaan pendingin ruangan/AC",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"2 unit","Kelurahan Cisaranten Endah",-,APBD," 10000000",1.20.1.20.30.05.01.13.5.2.3.28.04,"Pengadaan Langsung",02-05-2016,06-05-2016,09-05-2016,31-05-2016
6964644,"Pemeliharaan jalan RW. 02 Kelurahan Cisaranten Endah",75000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi pemberdayaan lingkup RW",Barang/jasa,"Pekerjaan Konstruksi","1 paket","Kelurahan Cisaranten Endah",-,APBD," 75000000",1.20.1.20.30.05.22.01.5.2.2.20.01,"Pengadaan Langsung",01-06-2016,10-06-2016,13-06-2016,12-07-2016
8428282,"RW. 06",18500000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2016,"Fasilitasi Pemberdayaan lingkup RW",Barang/jasa,"Pekerjaan Konstruksi","1 Paket","Kelurahan Cisaranten Binaharapan",-,APBDP," 18500000",1.22.1.20.30.03.22.01.5.2.2.20.01,"Pengadaan Langsung",22-11-2016,25-11-2016,28-11-2016,07-12-2016
