BULAN,GOLONGAN TARIF,JUMLAH PELANGGAN
Januari,1A,1662
Januari,1B,235
Januari,2A1,784
Januari,2A2,27875
Januari,2A3,52602
Januari,2A4,41747
Januari,2B,2288
Januari,3A,11862
Januari,3B,13578
Januari,4A,240
Januari,4B,145
Februari,1A,1662
Februari,1B,237
Februari,2A1,783
Februari,2A2,28128
Februari,2A3,52540
Februari,2A4,41812
Februari,2B,2290
Februari,3A,11832
Februari,3B,13551
Februari,4A,239
Februari,4B,144
Maret,1A,1658
Maret,1B,239
Maret,2A1,784
Maret,2A2,28294
Maret,2A3,52408
Maret,2A4,41867
Maret,2B,2288
Maret,3A,11785
Maret,3B,13524
Maret,4A,234
Maret,4B,137
April,1A,1654
April,1B,242
April,2A1,785
April,2A2,28439
April,2A3,52260
April,2A4,41970
April,2B,2289
April,3A,11698
April,3B,13590
April,4A,232
April,4B,137
Mei,1A,1655
Mei,1B,243
Mei,2A1,786
Mei,2A2,28578
Mei,2A3,52235
Mei,2A4,41948
Mei,2B,2287
Mei,3A,11681
Mei,3B,13611
Mei,4A,230
Mei,4B,137
Juni,1A,1655
Juni,1B,239
Juni,2A1,785
Juni,2A2,28747
Juni,2A3,52202
Juni,2A4,41980
Juni,2B,2284
Juni,3A,11663
Juni,3B,13670
Juni,4A,230
Juni,4B,137
Juli,1A,1660
Juli,1B,239
Juli,2A1,787
Juli,2A2,28849
Juli,2A3,52161
Juli,2A4,41992
Juli,2B,2285
Juli,3A,11661
Juli,3B,13695
Juli,4A,229
Juli,4B,136
Agustus,1A,1662
Agustus,1B,243
Agustus,2A1,790
Agustus,2A2,29072
Agustus,2A3,52061
Agustus,2A4,42073
Agustus,2B,2286
Agustus,3A,11630
Agustus,3B,13738
Agustus,4A,226
Agustus,4B,135
September,1A,1661
September,1B,245
September,2A1,788
September,2A2,29310
September,2A3,52008
September,2A4,42054
September,2B,2282
September,3A,11572
September,3B,13771
September,4A,225
September,4B,134
Oktober,1A,1663
Oktober,1B,245
Oktober,2A1,790
Oktober,2A2,29700
Oktober,2A3,51931
Oktober,2A4,42051
Oktober,2B,2282
Oktober,3A,11506
Oktober,3B,13803
Oktober,4A,224
Oktober,4B,134
Nopember,1A,1666
Nopember,1B,248
Nopember,2A1,790
Nopember,2A2,30012
Nopember,2A3,51875
Nopember,2A4,42081
Nopember,2B,2282
Nopember,3A,11502
Nopember,3B,13865
Nopember,4A,222
Nopember,4B,134
Desember,1A,
Desember,1B,
Desember,2A1,
Desember,2A2,
Desember,2A3,
Desember,2A4,
Desember,2B,
Desember,3A,
Desember,3B,
Desember,4A,
Desember,4B,
