id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6774008,"pengadaan alat studio",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kelurahan cijagra kecamatan lengkong","tersedianya alat studio",APBD," 30000000",1.20.1.20.26.02.02.12.5.2.3.31,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6771951,"pengadaan alat studio",33600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kecamatan lengkong","tersedianya perlengkapan kantor",APBD," 33600000",1.20.1.20.26.01.02.12.5.2.3.31,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6771879,"pengadaan komputer",61400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kecamatan lengkong","tersedianya perlengkapan aparatur",APBD," 61400000",1.20.1.20.26.01.02.12.5.2.3.29,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6773797,"pengadaan alat rumah tangga",27000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan aparatur",Modal,Barang,"1 paket","kelurahan cijagra kecamatan lengkong","tersedianya alat rumah tangga",APBD," 27000000",1.20.1.20.26.02.02.12.5.2.3.28,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6778227,"pengadaan alat komunikasi",7500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kelurahan malabar kecamatan lengkong","tersedianya alat komunikasi",APBD," 7500000",1.20.1.20.26.07.02.12.5.2.3.32,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6773270,"pengadaan mebeler",25500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan mebeler",Modal,Barang,"1 paket","kelurahan cijagra kecamatan lengkong","tersedianya mebeler",APBD," 25500000",1.20.1.20.26.02.02.10.5.2.3.28,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6778315,"pengadaan alat olah raga lainya",4000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kelurahan cikawao kecamatan lengkong","tersedianya alat olah raga lainya",APBD," 4000000",1.20.1.20.26.08.02.12.5.2.3.86,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
7438412,"pemberdayaan lingkup karangtaruna",70765000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pemberdayaan lingkup karangtaruna",Barang/jasa,"Jasa Lainnya","12 bulan","kel.lingkarselatan kec.lengkong","program pemberdayaan lingkup kewilayahan",APBD," 70765000",1.20.1.20.26.04.22.01.5.2.2,"Penunjukan Langsung",11-05-2016,30-12-2016,11-05-2016,30-12-2016
6775756,"pengadaan alat kantor",73200000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kelurahan burangrang keacamatan lengkong","tersedianya alat kantor",APBD," 73200000",1.20.1.20.26.04.02.12.5.2.3.27,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
6774385,"pengadaan alat kendaraan bermotor roda tiga",30200000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN LENGKONG",2016,"pengadaan kendaraan dinas/operasional",Modal,Barang,"1 paket","kelurahan lingkar selatan kecamatan lengkong","tersedianya alat kendaraan bermotor",APBD," 30200000",1.20.1.20.26.03.02.05.5.2.3.17,"Pengadaan Langsung",25-02-2016,30-12-2016,25-02-2016,30-12-2016
