id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
749481,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Pencegahan dan Pengendalian Bahaya Kebakaran",10150000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"3 Paket","Kota Bandung","Honorarium PPKm, PPBJ, PPHP dan Tim Pendukung (LS Bendahara)",APBD," 10150000",1.04.1.04.01.19.11,03-03-2014,30-09-2014
755720,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Penyediaan Bahan Bacaan dan Peraturan PerUndang-Undangan",26000000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","Pembayaran Surat Kabar dan bahan bacaan",APBD," 26000000",1.04.1.04.01.01.15,02-01-2014,31-12-2015
755796,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Penyediaan Peralatan Rumah Tangga",2400000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","Pengisian Tabung Gas Elpiji",APBD," 2400000",1.04.1.04.01.01.14,02-01-2014,31-12-2015
756620,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Pengadaan Pakaian Kerja Lapangan",1000000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","Belanja alat tulis kantor",APBD," 1000000",1.04.1.04.01.03.03,02-01-2014,31-12-2015
753869,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Pengadaan Sarana dan Prasarana Pencegahan Bahaya Kebakaran",25000000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","SPPD Luar Daerah",APBD," 25000000",1.04.1.04.01.19.08,02-01-2014,31-12-2015
2313335,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Penyuluhan Pencegahan Bencana Kebakaran",30000000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Kegiatan","Kota Bandung","DPA Perubahan T.A 2014, Belanja Makan Minum Kegiatan",APBD," 30000000",1.04.1.04.01.01.19.07.5.2.2.11.04,01-12-2014,31-12-2015
754443,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Rehabilitasi Sarana dan Prasarana Pencegahan Bahaya Kebakaran",18500000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","SPPD Luar Daerah",APBD," 18500000",1.04.1.04.01.19.10,02-01-2014,31-12-2015
753406,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Pendidikan dan Pelatihan Pertolongan dan Pencegahan Kebakaran",149750000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","ATK, Bahan Baku Bimtek/Pelatihan, Penggandaan, Mamin Kegiatan, Cetak Photo, Cetak Publikasi, ",APBD," 149750000",1.04.1.04.01.19.05,02-01-2014,31-12-2015
2313954,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Peningkatan Pelayanan Penanggulangan Bahaya Kebakaran",110000000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","DPA Perubahan T.A 2014, Biaya Perjalanan DInas Luar Daerah",APBD," 110000000",1.04.1.04.01.01.19.12.5.2.2.15.02,01-12-2014,31-12-2015
755893,"DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN","Penyediaan Bahan Logistik Kantor",24000000,APBD,"Pemerintah Kota Bandung","DINAS PENCEGAHAN DAN PENANGGULANGAN KEBAKARAN",2014,"1 Tahun","Kota Bandung","Belanja Bahan Pangan/Sandang",APBD," 24000000",1.04.1.04.01.01.16,02-01-2014,31-12-2015
