Kecamatan,Beton / Genteng Beton,Genteng,Asbes / Seng,Sirap / Bambu/ Jerami,Lainnya,Total KRT
BANDUNG KULON,104,"6,505",913,1,20,"7,543"
BABAKAN CIPARAY,156,"7,134","1,282",19,12,"8,604"
BOJONGLOA KALER,109,"8,594","1,342",5,4,"10,055"
BOJONGLOA KIDUL,98,"4,602",428,1,7,"5,136"
ASTANAANYAR,30,"2,503",553,1,14,"3,101"
REGOL,54,"2,809",603,1,12,"3,479"
LENGKONG,33,"1,292",575,1,3,"1,904"
BANDUNG KIDUL,69,"2,716",597,1,9,"3,392"
BUAHBATU,75,"4,075",387,7,7,"4,551"
RANCASARI,127,"2,421",277,1,8,"2,834"
GEDEBAGE,94,"1,265",183,1,3,"1,546"
CIBIRU,94,"3,507",241,4,6,"3,852"
PANYILEUKAN,88,"1,116",80,1,0,"1,285"
UJUNG BERUNG,51,"4,526",227,4,5,"4,813"
CINAMBO,54,"1,088",141,6,1,"1,290"
ARCAMANIK,71,"2,912",521,5,5,"3,515"
ANTAPANI,79,"1,519",696,2,4,"2,300"
MANDALAJATI,90,"2,807",426,2,13,"3,338"
KIARACONDONG,136,"5,426","1,456",9,14,"7,042"
BATUNUNGGAL,42,"5,552","1,573",3,18,"7,188"
SUMUR BANDUNG,18,382,309,0,10,719
ANDIR,78,"3,082","1,337",8,10,"4,515"
CICENDO,12,"2,688",819,11,5,"3,535"
BANDUNG WETAN,17,524,275,1,28,845
CIBEUNYING KIDUL,83,"4,059","1,105",5,9,"5,261"
CIBEUNYING KALER,68,"2,034",317,1,2,"2,422"
COBLONG,90,"2,819","1,866",10,21,"4,806"
SUKAJADI,56,"3,603","1,141",4,18,"4,822"
SUKASARI,66,"1,262",601,3,7,"1,939"
CIDADAP,24,"1,078",495,3,2,"1,602"
JUMLAH,"2,166","93,900","20,766",121,277,"117,234"
