lokasi,nama_komoditas,2015-08-01,2015-08-02,2015-08-03,2015-08-04,2015-08-05,2015-08-06,2015-08-07,2015-08-08,2015-08-09,2015-08-10,2015-08-11,2015-08-12,2015-08-13,2015-08-14,2015-08-15,2015-08-16,2015-08-17,2015-08-18,2015-08-19,2015-08-20,2015-08-21,2015-08-22,2015-08-23,2015-08-24,2015-08-25,2015-08-26,2015-08-27,2015-08-28,2015-08-29,2015-08-30,2015-08-31
"Pasar Andir","Beras Medium",0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,0,0,9500,9500,9500,0,0,9500,0,9500,9500,0,0,0,0
"Pasar Andir","Cabe Merah",0,0,30000,30000,30000,30000,30000,0,0,35000,35000,35000,33000,33000,0,0,0,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,0
"Pasar Andir","Bawang Merah",0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,0,17000,17000,17000,17000,0,0,17000,17000,17000,17000,17000,0,0,0
"Pasar Andir","Daging Ayam Ras",0,0,35000,35000,35000,35000,35000,0,0,37000,37000,37000,37000,38000,0,0,0,40000,40000,40000,40000,0,0,40000,40000,40000,40000,37000,0,0,0
"Pasar Andir","Telur Ayam Ras",0,0,20000,20000,20500,20500,20500,0,0,21000,21000,21000,22000,22000,0,0,0,22000,22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,0
"Pasar Andir","Daging Sapi",0,0,120000,120000,120000,120000,120000,0,0,130000,130000,130000,130000,130000,0,0,0,130000,130000,130000,130000,0,0,130000,130000,130000,130000,130000,0,0,0
"Pasar Andir","Minyak Goreng",0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,0,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,0
"Pasar Andir","Gula Pasir",0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,0,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,0
"Pasar Andir",Kentang,0,0,11500,11500,11500,11500,11500,0,0,11500,11500,11500,11000,11000,0,0,0,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,0
"Pasar Andir",Kedelai,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,0
"Pasar Andir","Tepung Terigu",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,0,0,7500,7500,7500,0,0,7500,0,7500,7500,0,0,0,0
"Pasar Andir","Bawang Putih",0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,0,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,0
"Pasar Andir","Cabe Keriting",0,0,25000,25000,25000,25000,25000,0,0,35000,35000,35000,35000,35000,0,0,0,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,0
"Pasar Andir","Cabe Rawit",0,0,60000,60000,65000,65000,65000,0,0,75000,75000,75000,75000,75000,0,0,0,80000,80000,80000,80000,0,0,75000,75000,75000,75000,75000,0,0,0
"Pasar Andir","Kacang Tanah",0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,0,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,0
"Pasar Andir","Ubi Kayu",0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,0,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0
"Pasar Andir","Ikan Olahan",0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,0,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,0,0,10500,10500,10500,10500,10500,0,0,0
"Pasar Andir","Daging Ayam Kampung",0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,0,60000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,0
"Pasar Andir","Telur Ayam Kampung",0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,0
"Pasar Andir","Susu Kental Manis Merk Bendera",0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,0,9500,9500,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,0,8000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,0
"Pasar Andir","Garam Beryodium Bata",0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,0,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,0
"Pasar Andir","Garam Beryodium Halus",0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,0,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,0
"Pasar Andir","Tepung Terigu Cakra Kembar",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,0
"Pasar Andir","Tepung Terigu Kunci",0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0
