lokasi,nama_komoditas,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-27,2014-09-28,2014-09-29,2014-09-30
"Pasar Kiaracondong","Beras Medium",0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0
"Pasar Kiaracondong","Cabe Merah",0,0,20000,28000,28000,28000,30000,0,0,38000,38000,38000,38000,38000,0,0,40000,40000,40000,40000,40000,0,0,35000,35000,35000,35000,35000,0,0
"Pasar Kiaracondong","Bawang Merah",0,0,20000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,18000,0,0
"Pasar Kiaracondong","Daging Ayam Ras",0,0,38000,36000,36000,36000,36000,0,0,36000,36000,36000,36000,36000,0,0,35000,35000,35000,35000,35000,0,0,33000,33000,33000,33000,33000,0,0
"Pasar Kiaracondong","Telur Ayam Ras",0,0,19500,19000,19000,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0
"Pasar Kiaracondong","Daging Sapi",0,0,98000,98000,98000,98000,98000,0,0,98000,98000,98000,98000,98000,0,0,98000,98000,98000,98000,98000,0,0,98000,98000,98000,98000,98000,0,0
"Pasar Kiaracondong","Minyak Goreng",0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,14000,14000,14000,14000,14000,0,0,15000,15000,15000,15000,15000,0,0
"Pasar Kiaracondong","Gula Pasir",0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0
"Pasar Kiaracondong",Kentang,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0
"Pasar Kiaracondong",Kedelai,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0
"Pasar Kiaracondong","Tepung Terigu",0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0
"Pasar Kiaracondong","Bawang Putih",0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0
"Pasar Kiaracondong","Cabe Keriting",0,0,15000,15000,15000,15000,15000,0,0,25000,25000,25000,25000,25000,0,0,25000,25000,25000,25000,25000,0,0,20000,20000,20000,20000,20000,0,0
"Pasar Kiaracondong","Cabe Rawit",0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0
"Pasar Kiaracondong","Kacang Tanah",0,0,20000,23000,23000,23000,23000,0,0,23000,23000,23000,23000,23000,0,0,21000,21000,21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0
"Pasar Kiaracondong","Ubi Kayu",0,0,2500,2500,2500,2500,2500,0,0,2500,2500,2500,2500,2500,0,0,2500,2500,2500,2500,2500,0,0,2500,2500,2500,2500,2500,0,0
"Pasar Kiaracondong","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong",Jagung,0,0,6000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0
"Pasar Kiaracondong","Ikan Olahan",0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0
"Pasar Kiaracondong","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Minyak Goreng Curah",0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,10500,10500,10500,10500,10500,0,0,10500,10500,10500,10500,10500,0,0
"Pasar Kiaracondong","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Telur Ayam Kampung",0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0
"Pasar Kiaracondong","Susu Kental Manis Merk Bendera",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0
"Pasar Kiaracondong","Susu Kental Manis Merk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Garam Beryodium Bata",0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0
"Pasar Kiaracondong","Garam Beryodium Halus",0,0,3300,3300,3300,3300,3300,0,0,3300,3300,3300,3300,3300,0,0,3300,3300,3300,3300,3300,0,0,3300,3300,3300,3300,3300,0,0
"Pasar Kiaracondong","Tepung Terigu Cakra Kembar",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0
"Pasar Kiaracondong","Tepung Terigu Kunci",0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0
"Pasar Kiaracondong","Mie Instan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Cabe Rawit Hijau",0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0
"Pasar Kiaracondong","Kacang Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Susu Bubuk Dancow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
