nama_kecamatan,jumlah_pus,jml_pus_kps_ksi,persentase_pus_kps_ks1,jml_pus_jkn_penerima_bantuan,persentase_pus_jkn_terima_bantuan,jml_pus_jkn_bukan_penerima_bantuan,persentase_pus_jkn_bukan_penerima_bantuan,jml_pus_jkn,persentase_pus_jkn
Sukasari,7835,1388,17.72,0,0.00,0,0.00,0,0.00
Coblong,13606,2971,21.84,0,0.00,0,0.00,0,0.00
Babakan Ciparay,21663,2410,11.12,0,0.00,0,0.00,0,0.00
Bojongloa Kaler,17520,7878,44.97,7539,43.03,9059,51.71,16598,94.74
Andir,14030,3706,26.41,0,0.00,0,0.00,0,0.00
Cicendo,11700,6230,53.25,0,0.00,6230,53.25,6230,53.25
Sukajadi,16294,4899,30.07,0,0.00,0,0.00,0,0.00
Cidadap,7411,2544,34.33,2544,34.33,0,0.00,2544,34.33
Bandung Wetan,5073,1318,25.98,9,0.18,0,0.00,9,0.18
Astana Anyar,9137,4305,47.12,0,0.00,0,0.00,0,0.00
Regol,14838,4868,32.81,0,0.00,0,0.00,0,0.00
Batununggal,16289,9305,57.12,0,0.00,0,0.00,0,0.00
Lengkong,14973,5762,38.48,1979,13.22,12994,86.78,14973,100.00
Cibeunying Kidul,17384,7909,45.50,7519,43.25,9362,53.85,16881,97.11
Bandung Kulon,17246,13977,81.04,6229,36.12,7241,41.99,13470,78.11
Kiaracondong,14815,8732,58.94,3,0.02,7,0.05,10,0.07
Bojongloa Kidul,11926,5419,45.44,2102,17.63,8972,75.23,11074,92.86
Cibeunying Kaler,9624,1991,20.69,4105,42.65,4981,51.76,9086,94.41
Sumur Bandung,5269,2134,40.50,0,0.00,0,0.00,0,0.00
Antapani,9809,1312,13.38,0,0.00,0,0.00,0,0.00
Bandung Kidul,7837,2971,37.91,2971,37.91,4866,62.09,7837,100.00
Buahbatu,11296,2138,18.93,0,0.00,0,0.00,0,0.00
Rancasari,9950,1557,15.65,1417,14.24,138,1.39,1555,15.63
Arcamanik,8472,3217,37.97,0,0.00,0,0.00,0,0.00
Cibiru,9506,3426,36.04,1284,13.51,2308,24.28,3592,37.79
Ujung Berung,17351,15082,86.92,2145,12.36,0,0.00,2145,12.36
Gedebage,7955,2753,34.61,570,7.17,5061,63.62,5631,70.79
Panyileukan,5306,1445,27.23,714,13.46,738,13.91,1452,27.37
Cinambo,4096,1497,36.55,777,18.97,1511,36.89,2288,55.86
Mandalajati,10608,2799,26.39,2799,26.39,7809,73.61,10608,100.00
