satuan_kerja,tahun_2013,tahun_2014,tahun_2015,tahun_2016
Badan Kesatuan Bangsa dan Pemberdayaan Masyarakat,0,1,1,0
Badan Pelayanan Perijinan Terpadu,1,2,2,3
Badan Pemberdayaan Perempuan dan Keluarga Berencana,1,3,0,0
Badan Pengelola Lingkungan Hidup,3,13,10,13
Badan Perencanaan Pembangunan Daerah Kota Bandung,17,14,14,17
Bagian Kesra dan Kemasyarakatan Setda,0,1,0,0
Bagian Organisasi dan Pemberdayaan Aparatur Setda,1,0,0,0
Bagian Umum dan Perlengkapan Setda,5,5,12,14
Dinas Bina Marga dan Pengairan,405,276,282,329
Dinas Kebudayaan dan Pariwisata,1,0,7,7
Dinas Kependudukan dan Pencatatan Sipil,2,2,2,2
Dinas Kesehatan,28,57,42,51
Dinas Komunikasi dan Informatika,3,7,10,10
"Dinas Koperasi, Ukm dan Perindustrian Perdagangan",4,5,7,17
Dinas Pelayanan Pajak,9,16,16,10
Dinas Pemakaman dan Pertamanan,33,26,26,26
Dinas Pemuda dan Olah Raga,4,10,8,10
Dinas Pencegahan dan Penanggulangan Kebakaran,4,9,7,9
Dinas Pendidikan,54,65,32,74
Dinas Pengelolaan Keuangan dan Aset Daerah,1,4,6,3
Dinas Perhubungan,22,27,33,38
Dinas Pertanian dan Ketahanan Pangan,0,8,0,0
Dinas Sosial,2,2,4,2
Dinas Tata Ruang dan Cipta Karya,28,153,80,86
Dinas Tata Ruang dan Ciptakarya,0,0,0,17
Dinas Tenaga Kerja,1,0,1,0
Inspektorat Kota,0,0,0,2
Kecamatan Andir,0,1,1,0
Kecamatan Antapani,1,0,0,0
Kecamatan Arcamanik,1,2,0,0
Kecamatan Astanaanyar,0,1,1,2
Kecamatan Babakan Ciparay,1,1,1,1
Kecamatan Bandung Kidul,0,1,0,0
Kecamatan Bandung Kulon,1,2,0,0
Kecamatan Bandung Wetan,1,0,0,0
Kecamatan Batununggal,0,2,0,0
Kecamatan Bojongloa Kaler,0,2,0,0
Kecamatan Buahbatu,1,0,0,0
Kecamatan Cibeunying Kaler,1,1,0,0
Kecamatan Cibiru,1,2,0,0
Kecamatan Cicendo,2,2,0,0
Kecamatan Cidadap,1,3,2,0
Kecamatan Cinambo,2,0,0,0
Kecamatan Coblong,0,1,1,0
Kecamatan Gedebage,2,2,0,0
Kecamatan Kiaracondong,1,0,1,0
Kecamatan Lengkong,1,1,0,0
Kecamatan Mandalajati,1,0,0,0
Kecamatan Panyileukan,2,1,1,0
Kecamatan Rancasari,2,1,0,0
Kecamatan Regol,1,0,0,0
Kecamatan Sukajadi,1,0,0,0
Kecamatan Sukasari,1,3,0,0
Kecamatan Ujungberung,0,1,0,1
Komisi Pemilihan Umum Kota Bandung,5,0,0,0
KONI Kota Bandung,1,0,0,0
PDAM Tirtawening Kota Bandung,1,0,0,0
Rumah Sakit Khusus Gigi dan Mulut,5,5,5,5
Rumah Sakit Khusus Ibu dan Anak,3,5,8,6
Rumah Sakit Umum Daerah Kota Bandung,8,9,11,2
Satuan Polisi Pamong Praja,1,1,6,4
Sekretariat DPRD,2,6,7,15
