kecamatan,tahun,total_usulan,usulan_diakomodir,dana_diakomodir,usulan_tdk_diakomodir,dana_tdk_diakomodir,total_dana_usulan
Sukasari,2014,40,15,4509660000,25,5687500000,10197160000
Coblong,2014,67,35,8130160000,32,5910500000,14040660000
Babakan Ciparay,2014,49,13,2049400000,36,6541000000,8590400000
Bojongloa Kaler,2014,73,47,11804310000,26,6280000000,18084310000
Andir,2014,136,68,9580900000,68,11713652000,21294552000
Cicendo,2014,123,62,9641850000,61,5079000000,14720850000
Sukajadi,2014,125,35,14177975000,90,27067618000,41245593000
Cidadap,2014,200,86,9863046800,114,10314030000,20177076800
Bandung Wetan,2014,55,17,7351000000,38,3992230000,11343230000
Astana Anyar,2014,103,46,352220015,57,1500000000,1852220015
Regol,2014,98,25,2636000000,73,7151800000,9787800000
Batununggal,2014,227,54,4593065000,173,6673265000,11266330000
Lengkong,2014,100,26,7238350000,74,14094075000,21332425000
Cibeunying Kidul,2014,213,28,2199075020,185,5.08153E+11,510351944020
Bandung Kulon,2014,80,28,2568000000,52,9596000000,12164000000
Kiaracondong,2014,167,38,4479750000,129,13828011149,18307761149
Bojongloa Kidul,2014,81,45,7205795000,36,6643370000,13849165000
Cibeunying Kaler,2014,80,34,2.17202E+11,46,14666775000,231868575000
Sumur Bandung,2014,52,17,1023711000,35,8546077000,9569788000
Antapani,2014,57,44,2251681015,13,1025000015,3276681030
Bandung Kidul,2014,45,32,3518000000,13,2210000000,5728000000
Buah Batu,2014,55,14,15340000000,41,31335210000,46675210000
Rancasari,2014,212,30,1236900000,182,16862248200,18099148200
Arcamanik,2014,53,20,2187625000,33,14628960100,16816585100
Cibiru,2014,318,106,6232039500,212,11184940503,17416980003
Ujung Berung,2014,112,18,3465000000,94,27786030000,31251030000
Gedebage,2014,106,55,924465200,51,26068010000,26992475200
Panyileukan,2014,102,30,7199000000,72,1.29262E+11,136461000000
Cinambo,2014,32,11,427620000,21,19177000000,19604620000
Mandalajati,2014,88,32,1380000000,56,7907500000,9287500000
