NO,NAMA KELURAHAN,JENIS USAHA,ALAMAT,RT,RW,LAMA USAHA(TAHUN),KAPASITAS PRODUKSI,JML TENAGA KERJA(ORANG)
1,Cipadung Kidul,Pembuatan Pot bunga dari semen,BUPA Q 7,6,11,6,60 Buah,2
2,Cipadung Kidul,Souvenir dari karton,BUPA K.5 No.11,2,10,9,150 Buah,5
3,Cipadung Kidul,Penjernih air,BUPA L.4 No.4,3,11,2,30 Buah,2
4,Cipadung Kidul,Telor Asin,BUPA L.3 No.28,3,11,3,600 Buah,2
5,Cipadung Kidul,Telor Asin,Babakan Haji Imron,2,14,3,500 Buah,2
6,Cipadung Kidul,Pembuatan jenang/ Dodol,BUPA L.1 No.1,4,11,3,1500 Buah,2
7,Cipadung Kidul,Pembuatan Tempe,BUPA L.7 No. 7,2,11,6,30 Lempeng,2
8,Cipadung Kidul,Martabak manis dan telor,BUPA G.13 No.11,5,6,8,150 Buah,2
9,Cipadung Kidul,Kerajinan dari bungkus rokok dan kopi,BUPA G.4 No. 23,2,6,6,30 Buah,3
10,Cipadung Kidul,Pembuatan kue kering dan basah,BUPA ,3,8,4,1300 Buah,2
11,Cipadung Kidul,Pembuatan macam-macam kue basah,BUPA ,1,2,5,1500 Buah,2
12,Cipadung Kidul,Pembuatan Kue Bolu,BUPA ,3,5,5,150 Buah,3
13,Cipadung Kidul,Pembuatan bika ambon,BUPA ,2,14,4,1600 Buah,2
14,Cipadung Kidul,Kearajinan dari batok kelapa,Kapling Damri,2,10,3,60 Buah,2
15,Cipadung Kidul,Lukisan ,Blok O.3 No.4,3,9,6,15 Buah,1
16,Cipadung Kidul,Pigura,Blok K.5 No.10,2,10,7,30 Buah,1
17,Cipadung Kulon,Baso/Sosis,Cinambo ,1,1,12,4000 kg,70
18,Cipadung Kulon,Sepatu,Jl. Panutan III ,7,9,10,1200 pasang,30
19,Cipadung Kulon,Baso/Sosis,Jl. Pakuan Raya ,2,8,7,2500 kg,10
20,Cipadung Kulon,Dendeng Sapi,-,,,-,-,-
21,Cipadung Kulon,Olahan Ikan,-,,,-,-,-
22,Cipadung Kulon,Angklung,Sindangsari ,3,4,5,-,-
23,Cipadung Wetan,Orog-orog,Lio Selatan,3,1,6,10 kg,3
