KODE REKENING,URAIAN,JUMLAH,DASAR HUKUM
1.20 . 1.20.37 . 00 . 00 . 5,BELANJA,17157325103,
1.20 . 1.20.37 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,4856826403,
1.20 . 1.20.37 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,4856826403,PP 12 Tahun 2006 ttg Tunjangan Umum bagi PNS
1.20 . 1.20.37 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,12300498700,
1.20 . 1.20.37 . 01,Program Pelayanan Administrasi Perkantoran,1114903300,
1.20 . 1.20.37 . 01 . 02,Penyediaan jasa komunikasi Sumber daya air dan listrik,167160000,
1.20 . 1.20.37 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,167160000,
1.20 . 1.20.37 . 01 . 08,Penyediaan jasa kebersihan kantor,110000000,
1.20 . 1.20.37 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,1400000,
1.20 . 1.20.37 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,108600000,
1.20 . 1.20.37 . 01 . 09,Penyediaan jasa perbaikan peralatan kerja,33900000,
1.20 . 1.20.37 . 01 . 09 . 5 . 2 . 2,Belanja Barang dan Jasa,33900000,
1.20 . 1.20.37 . 01 . 10,Penyediaan alat tulis kantor,59700000,
1.20 . 1.20.37 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,59700000,
1.20 . 1.20.37 . 01 . 11,Penyediaan barang cetakan dan penggandaan,74880000,
1.20 . 1.20.37 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,74880000,
1.20 . 1.20.37 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,21500000,
1.20 . 1.20.37 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,21500000,
1.20 . 1.20.37 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,457520000,
1.20 . 1.20.37 . 01 . 13 . 5 . 2 . 3,Belanja Modal,457520000,
1.20 . 1.20.37 . 01 . 14,Penyediaan peralatan rumah tangga,21150000,
1.20 . 1.20.37 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,21150000,
1.20 . 1.20.37 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,19050000,
1.20 . 1.20.37 . 01 . 15 . 5 . 2 . 2,Belanja Barang dan Jasa,19050000,
1.20 . 1.20.37 . 01 . 17,Penyediaan makanan dan minuman,54680000,
1.20 . 1.20.37 . 01 . 17 . 5 . 2 . 2,Belanja Barang dan Jasa,54680000,
1.20 . 1.20.37 . 01 . 18,Rapat-rapat koordinasi dan konsultasi ke luar daerah,69663300,
1.20 . 1.20.37 . 01 . 18 . 5 . 2 . 2,Belanja Barang dan Jasa,69663300,
1.20 . 1.20.37 . 01 . 19,Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran,25700000,
1.20 . 1.20.37 . 01 . 19 . 5 . 2 . 1,Belanja Pegawai,24000000,
1.20 . 1.20.37 . 01 . 19 . 5 . 2 . 2,Belanja Barang dan Jasa,1700000,
1.20 . 1.20.37 . 02,Program Peningkatan Sarana dan Prasarana Aparatur,1264610400,
1.20 . 1.20.37 . 02 . 03,Pembangunan gedung kantor,154000000,
1.20 . 1.20.37 . 02 . 03 . 5 . 2 . 3,Belanja Modal,154000000,
1.20 . 1.20.37 . 02 . 05,pengadaan Kendaraan dinas/operasional,20000000,
1.20 . 1.20.37 . 02 . 05 . 5 . 2 . 3,Belanja Modal,20000000,
1.20 . 1.20.37 . 02 . 07,Pengadaan perlengkapan gedung kantor,252140000,
1.20 . 1.20.37 . 02 . 07 . 5 . 2 . 3,Belanja Modal,252140000,
1.20 . 1.20.37 . 02 . 10,Pengadaan mebeleur,133750000,
1.20 . 1.20.37 . 02 . 10 . 5 . 2 . 3,Belanja Modal,133750000,
1.20 . 1.20.37 . 02 . 22,Pemeliharaan rutin/berkala gedung kantor,351600000,
1.20 . 1.20.37 . 02 . 22 . 5 . 2 . 1,Belanja Pegawai,5200000,
1.20 . 1.20.37 . 02 . 22 . 5 . 2 . 2,Belanja Barang dan Jasa,346400000,
1.20 . 1.20.37 . 02 . 24,Pemeliharaan rutin/berkala kendaraan dinas/operasional,353120400,
1.20 . 1.20.37 . 02 . 24 . 5 . 2 . 2,Belanja Barang dan Jasa,353120400,
1.20 . 1.20.37 . 03,Program peningkatan disiplin aparatur,122200000,
1.20 . 1.20.37 . 03 . 02,Pengadaan pakaian dinas beserta perlengkapannya,71100000,
1.20 . 1.20.37 . 03 . 02 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.20 . 1.20.37 . 03 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,70000000,
1.20 . 1.20.37 . 03 . 05,Pengadaan pakaian khusus hari-hari tertentu,51100000,
1.20 . 1.20.37 . 03 . 05 . 5 . 2 . 1,Belanja Pegawai,1100000,
1.20 . 1.20.37 . 03 . 05 . 5 . 2 . 2,Belanja Barang dan Jasa,50000000,
1.20 . 1.20.37 . 05,Program Peningkatan Kapasitas Sumber Daya Aparatur,56010000,
1.20 . 1.20.37 . 05 . 04,Pembinaan Kinerja Aparatur,56010000,
1.20 . 1.20.37 . 05 . 04 . 5 . 2 . 1,Belanja Pegawai,4600000,
1.20 . 1.20.37 . 05 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,51410000,
1.20 . 1.20.37 . 06,Program peningkatan pengembangan sistem pelaporan capaian kinerja dan keuangan,34700000,
1.20 . 1.20.37 . 06 . 01,Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD,13700000,
1.20 . 1.20.37 . 06 . 01 . 5 . 2 . 1,Belanja Pegawai,7200000,
1.20 . 1.20.37 . 06 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,6500000,
1.20 . 1.20.37 . 06 . 04,penyusunan pelaporan keuangan akhir tahun,21000000,
1.20 . 1.20.37 . 06 . 04 . 5 . 2 . 1,Belanja Pegawai,4000000,
1.20 . 1.20.37 . 06 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,17000000,
1.22 . 1.20.37 . 22,Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan,4900000000,
1.22 . 1.20.37 . 22 . 01,Fasilitasi Pemberdayaan lingkup RW,3700000000,
1.22 . 1.20.37 . 22 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,3522150000,
1.22 . 1.20.37 . 22 . 01 . 5 . 2 . 3,Belanja Modal,177850000,
1.22 . 1.20.37 . 22 . 02,Fasilitasi Pemberdayaan lingkup PKK,400000000,
1.22 . 1.20.37 . 22 . 02 . 5 . 2 . 1,Belanja Pegawai,72200000,
1.22 . 1.20.37 . 22 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,302800000,
1.22 . 1.20.37 . 22 . 02 . 5 . 2 . 3,Belanja Modal,25000000,
1.22 . 1.20.37 . 22 . 03,Fasilitasi Pemberdayaan Lingkup Karang Taruna,400000000,
1.22 . 1.20.37 . 22 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,387000000,
1.22 . 1.20.37 . 22 . 03 . 5 . 2 . 3,Belanja Modal,13000000,
1.22 . 1.20.37 . 22 . 04,Fasilitasi Pemberdayaan Lingkup LPM,400000000,
1.22 . 1.20.37 . 22 . 04 . 5 . 2 . 1,Belanja Pegawai,24000000,
1.22 . 1.20.37 . 22 . 04 . 5 . 2 . 2,Belanja Barang dan Jasa,335000000,
1.22 . 1.20.37 . 22 . 04 . 5 . 2 . 3,Belanja Modal,41000000,
1.20 . 1.20.37 . 30,Program Peningkatan Peran Kecamatan dan Kelurahan,4808075000,
1.20 . 1.20.37 . 30 . 01,Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan,76875000,
1.20 . 1.20.37 . 30 . 01 . 5 . 2 . 1,Belanja Pegawai,26875000,
1.20 . 1.20.37 . 30 . 01 . 5 . 2 . 2,Belanja Barang dan Jasa,50000000,
1.20 . 1.20.37 . 30 . 02,Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan,462500000,
1.20 . 1.20.37 . 30 . 02 . 5 . 2 . 1,Belanja Pegawai,193650000,
1.20 . 1.20.37 . 30 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,268850000,
1.20 . 1.20.37 . 30 . 03,Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan,2215230000,
