lokasi,nama_komoditas,2017-04-01,2017-04-02,2017-04-03,2017-04-04,2017-04-05,2017-04-06,2017-04-07,2017-04-08,2017-04-09,2017-04-10,2017-04-11,2017-04-12,2017-04-13,2017-04-14,2017-04-15,2017-04-16,2017-04-17,2017-04-18,2017-04-19,2017-04-20,2017-04-21,2017-04-22,2017-04-23,2017-04-24,2017-04-25,2017-04-26,2017-04-27,2017-04-28,2017-04-29,2017-04-30
"Pasar Andir","Beras Medium",0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,0,0,0,10000,10000,10000,10000,10000,0,0,0,10000,10000,10000,10000,0,0
"Pasar Andir","Cabe Merah",0,0,25000,25000,25000,25000,25000,0,0,50000,50000,50000,50000,0,0,0,50000,50000,50000,50000,50000,0,0,0,50000,40000,40000,40000,0,0
"Pasar Andir","Bawang Merah",0,0,28000,28000,28000,28000,28000,0,0,30000,30000,30000,30000,0,0,0,30000,30000,30000,30000,30000,0,0,0,30000,30000,30000,30000,0,0
"Pasar Andir","Daging Ayam Ras",0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,0,0,0,32000,32000,32000,32000,32000,0,0,0,32000,30000,30000,30000,0,0
"Pasar Andir","Telur Ayam Ras",0,0,18000,18000,18000,18000,18000,0,0,18000,18000,18000,18000,0,0,0,18000,18000,18000,18000,18000,0,0,0,18000,18000,18000,18000,0,0
"Pasar Andir","Daging Sapi",0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,0,0,0,120000,120000,120000,120000,120000,0,0,0,120000,120000,120000,120000,0,0
"Pasar Andir","Minyak Goreng",0,0,14500,14500,14500,14500,14500,0,0,14500,14500,14500,14500,0,0,0,14500,14500,14500,14500,14500,0,0,0,14500,14500,14500,14500,0,0
"Pasar Andir","Gula Pasir",0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,0,0
"Pasar Andir",Kentang,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0
"Pasar Andir",Kedelai,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,0,0
"Pasar Andir","Tepung Terigu",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,0,0
"Pasar Andir","Bawang Putih",0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,0,0,0,35000,35000,35000,35000,35000,0,0,0,35000,50000,50000,50000,0,0
"Pasar Andir","Cabe Keriting",0,0,25000,25000,25000,25000,25000,0,0,45000,45000,45000,45000,0,0,0,45000,45000,45000,45000,45000,0,0,0,45000,30000,30000,30000,0,0
"Pasar Andir","Cabe Rawit",0,0,70000,70000,70000,70000,70000,0,0,50000,50000,50000,50000,0,0,0,50000,50000,50000,50000,50000,0,0,0,50000,50000,50000,50000,0,0
"Pasar Andir","Kacang Tanah",0,0,25000,25000,25000,25000,25000,0,0,25000,25000,25000,25000,0,0,0,25000,25000,25000,25000,25000,0,0,0,25000,25000,25000,25000,0,0
"Pasar Andir","Ubi Kayu",0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,0,0,0,3000,3000,3000,3000,3000,0,0,0,3000,3000,3000,3000,0,0
"Pasar Andir","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir",Jagung,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,0,0,0,9000,9000,9000,9000,9000,0,0,0,9000,9000,9000,9000,0,0
"Pasar Andir","Ikan Olahan",0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60000,60000,0,0,0,60000,60000,60000,60000,60000,0,0,0,60000,60000,60000,60000,0,0
"Pasar Andir","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Andir","Minyak Goreng Curah",0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0
"Pasar Andir","Daging Ayam Kampung",0,0,70000,70000,70000,70000,70000,0,0,70000,70000,70000,70000,0,0,0,70000,70000,70000,70000,70000,0,0,0,70000,70000,70000,70000,0,0
"Pasar Andir","Telur Ayam Kampung",0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,0,0
"Pasar Andir","Susu Kental Manis Merk Bendera",0,0,9500,9500,9500,9500,9500,0,0,9500,9500,9500,9500,0,0,0,9500,9500,9500,9500,9500,0,0,0,9500,9500,9500,9500,0,0
"Pasar Andir","Susu Kental Manis Merk Indomilk",0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,0,0,0,9000,9000,9000,9000,32000,0,0,0,32000,9000,9000,9000,0,0
"Pasar Andir","Garam Beryodium Bata",0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,0,0,0,1000,1000,0,1000,0,0,0,0,0,1000,0,1000,0,0
"Pasar Andir","Garam Beryodium Halus",0,0,5000,5000,5000,5000,5000,0,0,5000,5000,5000,5000,0,0,0,5000,5000,5000,5000,5000,0,0,0,5000,5000,5000,5000,0,0
"Pasar Andir","Tepung Terigu Cakra Kembar",0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,7500,0,0,0,7500,7500,7500,7500,0,0
"Pasar Andir","Tepung Terigu Kunci",0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,0,0,0,0,7000,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,0,0
"Pasar Andir","Mie Instan",0,0,2000,2000,2000,2000,2000,0,0,2000,2000,2000,2000,0,0,0,2000,2000,2000,2000,2000,0,0,0,2000,2000,2000,2000,0,0
"Pasar Andir","Cabe Rawit Hijau",0,0,55000,55000,55000,55000,55000,0,0,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,40000,0,0,0,40000,40000,40000,40000,0,0
"Pasar Andir","Kacang Hijau",0,0,21000,21000,21000,21000,21000,0,0,21000,21000,21000,21000,0,0,0,21000,21000,21000,21000,21000,0,0,0,21000,21000,21000,21000,0,0
"Pasar Andir","Susu Bubuk Dancow",0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,0,0,0,35000,35000,35000,35000,35000,0,0,0,35000,35000,35000,35000,0,0
"Pasar Andir","Susu Bubuk Indomilk",0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,0,0,0,32000,32000,32000,32000,32000,0,0,0,32000,32000,32000,32000,0,0
"Pasar Andir","Ikan Kembung",0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32000,32000,0,0,0,0,0,32000,0,32000,0,0,0,32000,0,32000,32000,0,0
