NO,PENDIDIKAN UMUM DAN MATA PENCAHARIAN TETAP,WNI PRIA,WNI WANITA,WNI  KETURUNAN PRIA,WNI KETURUNAN WANITA,WNA PRIA,WNA WANITA,KELURAHAN
A,PENDIDIKAN,,,,,,,
1,Tidak / belum sekolah,1729,1848,0,0,0,0,CIJERAH
2,Tidak tamat SD,201,592,0,0,0,0,CIJERAH
3,Belum tamat SD,1321,1300,0,0,0,0,CIJERAH
4,Tamat  SD,1299,1295,0,0,0,0,CIJERAH
5,S  L  P,1786,1950,0,0,0,0,CIJERAH
6,S  L  A,1739,2106,0,0,0,0,CIJERAH
7,Akademi / Sarjana Muda,1367,1661,0,0,0,0,CIJERAH
8,Sarjana,1420,1447,0,0,0,0,CIJERAH
B,MATA  PENCAHARIAN,,,,,,,
1,Pegawai Negeri,1155,1148,0,0,0,0,CIJERAH
2,A. B. R. I.,78,6,0,0,0,0,CIJERAH
3,Pegawai Swasta,2724,2797,0,0,0,0,CIJERAH
4,Tani,9,2,0,0,0,0,CIJERAH
5,Dagang,1612,1451,0,0,0,0,CIJERAH
6,Pelajar,2344,2484,0,0,0,0,CIJERAH
7,Mahasiswa,1565,1360,0,0,0,0,CIJERAH
8,Pensiunan,654,704,0,0,0,0,CIJERAH
9,Lain-lain,721,2247,0,0,0,0,CIJERAH
