NO,KECAMATAN,LAKI-LAKI,PEREMPUAN,JUMLAH 
,,,,
1,SUKASARI,"18,695","4,222","22,917"
2,COBLONG,"29,347","6,822","36,169"
3,BABAKAN CIPARAY,"33,086","5,683","38,769"
4,BOJONGLOA KALER,"29,955","5,837","35,792"
5,ANDIR,"26,395","6,156","32,551"
6,CICENDO,"23,928","5,503","29,431"
7,SUKAJADI,"25,339","4,990","30,329"
8,CIDADAP,"13,673","2,486","16,159"
9,BANDUNG WETAN,"8,271","2,548","10,819"
10,ASTANA ANYAR,"18,285","4,233","22,518"
11,REGOL,"21,186","4,809","25,995"
12,BATUNUNGGAL,"29,750","6,548","36,298"
13,LENGKONG,"18,346","4,749","23,095"
14,CIBEUNYING KIDUL,"27,899","5,940","33,839"
15,BANDUNG KULON,"32,577","5,312","37,889"
16,KIARACONDONG,"31,461","6,153","37,614"
17,BOJONGLOA KIDUL,"20,668","3,749","24,417"
18,CIBEUNYING KALER,"17,281","3,690","20,971"
19,SUMUR BANDUNG,"8,915","2,182","11,097"
20,ANTAPANI,"19,155","3,062","22,217"
21,BANDUNG KIDUL,"14,398","2,767","17,165"
22,BUAH BATU,"24,938","4,602","29,540"
23,RANCASARI,"20,563","3,629","24,192"
24,ARCAMANIK,"18,191","2,999","21,190"
25,CIBIRU,"18,283","3,074","21,357"
26,UJUNGBERUNG,"20,417","3,560","23,977"
27,GEDEBAGE,"9,680","1,545","11,225"
28,PANYILEUKAN,"9,561","1,372","10,933"
29,CINAMBO,"6,346",983,"7,329"
30,MANDALAJATI,"17,259","3,081","20,340"
