kecamatan,luas_wilayah_km2,jumlah_penduduk,penduduk_per_km2
Bandung Kulon ,6.46,142411,22045
Babakan Ciparay ,7.45,147096,19744
Bojong Loa Kaler ,3.03,120405,39738
Bojong Loa Kidul ,6.26,85668,13685
Astana Anyar ,2.89,6883,23817
Regol,4.3,81467,18946
Lengkong,5.9,71187,12066
Bandung Kidul ,6.06,58957,9729
Buah Batu ,7.93,95108,11993
Rancasari ,7.33,76895,1049
Gede Bage ,9.58,37082,3871
Cibiru,6.32,72016,11395
Panyileukan ,5.1,40248,7892
Ujung Berung ,6.4,76902,12016
Cinambo,3.68,25231,6856
Arcamanik ,5.87,69313,11808
Antapani ,3.79,74461,19647
Mandalajati ,6.67,63578,9532
Kiara Condong ,6.12,131972,21564
Batununggal ,5.03,120927,24041
Sumur Bandung ,3.4,36579,10759
Andir,3.71,97553,26295
Cicendo ,6.86,99752,14541
Bandung Wetan ,3.39,31124,9181
Cibeunying Kidul ,5.25,107806,20534
Cibeunying Kaler ,4.5,70924,15761
Coblong,7.35,13153,17895
Sukajadi ,4.3,108375,25203
Sukasari ,6.27,81908,13063
Cidadap ,6.11,58672,9603
