NO,NAMA JALAN,JUMLAH POHON,LOKASI
1,JL. A.H Nasution No. 10,1,Depan polsek
2,JL. A.H Nasution No. 10,1,depan gapura sinsar
3,JL. A.H Nasution No. 10,1,depan gapura jamaras
4,JL. A.H Nasution No. 10,4,depan BMK
5,JL. A.H Nasution No. 10,2,Sebrang BMK
6,JL. Ahmad Yani ,4,depan BTM
7,JL. Ahmad Yani ,9,belokan cicabe 
8,JL. Ahmad Yani ,1,depan jamaras
9,JL. Ahmad Yani ,17,cicabe
10,JL. Ahmad Yani ,4,gang jibjab
11,JL. Ahmad Yani ,30,cicaheum
12,Jl. Antapani Lama,2,pohon mati
13,Jl. Antapani lama ,25,
14,Jl. Sukapura ,3,
15,Jl. Sukaras,10,
16,Jl. Terusan Jakarta,20,
17,Jl. Indramayu ,1,pohon mati
18,Jl. Indramayu ,9,
19,sepanjang jalan kuningan ,7,
20,sepanjang jalan cibatu,17,terminal
JUMLAH,,168,
