NO.,KECAMATAN,0-4,5-8,9-12,13-16,17-20,21-24,25-28,29-32,33-36,37-40,41-44,45-48,49-52,53-56,57-60,61-64,65-68,69-72,73-76,77-80,81-84,85-88,89-92,93-96,97-100,>100
1,SUKASARI,"4,928","5,048","5,254","5,376","2,710","3,961","4,052","4,285","4,877","4,666","4,430","4,223","3,490","3,016","2,508","2,116","1,628","1,300","1,089",573,314,190,77,18,4,4
2,COBLONG,"7,893","7,728","8,128","8,538","6,987","7,369","7,405","8,264","9,583","8,883","8,498","7,934","6,551","5,342","4,642","3,721","2,718","2,221","2,206","1,392",883,661,379,165,90,58
3,BABAKAN CIPARAY,"9,825","9,706","10,362","10,239","4,749","7,594","7,299","8,320","8,993","8,105","6,808","6,277","5,146","4,721","3,918","3,004","1,799","1,312",940,420,203,97,29,15,3,3
4,BOJONGLOA KALER,"8,594","9,119","9,273","9,175","4,205","6,714","6,409","7,405","8,149","7,295","6,672","6,062","5,137","4,659","3,824","2,888","1,874","1,417","1,011",564,282,115,32,11,0,3
5,ANDIR,"6,668","6,948","7,411","7,722","4,454","5,969","5,553","6,378","7,572","7,378","6,857","6,452","5,391","4,548","3,975","3,142","2,382","1,874","1,646","1,037",596,408,227,114,59,47
6,CICENDO,"6,303","6,365","6,994","7,132","3,855","5,545","5,096","5,711","6,667","6,229","5,844","5,480","4,926","4,172","3,450","2,807","1,929","1,496","1,315",805,485,276,156,62,23,10
7,SUKAJADI,"7,096","7,074","7,113","7,386","3,654","5,404","5,282","5,992","6,562","5,969","5,631","5,059","4,422","3,870","3,283","2,606","1,782","1,339","1,062",639,326,204,92,32,11,4
8,CIDADAP,"3,775","3,692","3,637","3,877","1,475","2,881","2,729","3,064","3,374","2,976","2,981","2,744","2,431","2,064","1,734","1,308",900,666,614,306,143,86,29,12,0,0
9,BANDUNG WETAN,"1,749","1,820","1,915","2,115","2,150","2,032","2,104","2,465","2,806","2,702","2,493","2,506","2,114","1,824","1,653","1,383",936,703,784,607,404,369,215,133,55,40
10,ASTANA ANYAR,"5,126","5,174","5,411","5,389","2,119","3,957","3,717","4,194","4,820","4,281","4,041","3,753","3,389","2,985","2,689","2,149","1,647","1,194",931,563,305,143,52,14,3,2
11,REGOL,"5,140","5,318","5,825","6,240","4,816","5,270","5,023","5,987","7,079","6,762","6,152","5,858","4,980","4,315","3,650","3,131","2,408","1,884","1,546","1,080",601,443,242,102,49,26
12,BATUNUNGGAL,"8,080","7,869","8,642","9,063","5,105","6,865","6,279","6,923","8,073","7,642","7,444","7,133","6,039","4,859","4,056","3,126","2,125","1,719","1,586",878,466,300,131,57,17,10
13,LENGKONG,"4,383","4,508","4,927","5,330","4,308","4,426","4,439","4,823","5,419","5,156","5,107","5,228","4,548","3,711","3,034","2,458","1,880","1,617","1,420","1,028",663,435,221,75,43,19
14,CIBEUNYING KIDUL,"7,775","7,603","7,880","7,855","3,695","5,863","5,698","6,172","7,302","6,717","6,376","6,066","5,138","4,490","4,019","2,896","1,854","1,437","1,323",744,391,230,101,13,7,2
15,BANDUNG KULON,"9,474","10,260","10,639","10,879","4,222","7,587","7,208","7,999","9,159","8,269","7,399","6,513","5,369","4,623","3,474","2,596","1,749","1,279",914,507,212,118,31,16,2,4
16,KIARACONDONG,"9,038","8,843","8,831","9,463","5,891","7,368","7,049","7,636","9,088","8,387","7,968","7,418","6,454","5,216","4,480","3,504","2,221","1,738","1,511",848,388,264,106,46,15,7
17,BOJONGLOA KIDUL,"6,224","6,380","6,321","6,406","2,973","4,765","4,567","5,221","6,003","5,516","4,890","4,230","3,514","2,993","2,537","1,865","1,326",956,768,378,197,106,28,6,2,1
18,CIBEUNYING KALER,"4,463","4,572","4,772","5,038","2,861","3,929","3,930","4,232","4,964","4,704","4,392","4,197","3,530","3,007","2,465","1,960","1,311","1,137","1,006",591,328,208,71,41,13,5
19,SUMUR BANDUNG,"2,276","2,304","2,427","2,828","2,560","2,379","2,405","2,721","2,904","2,825","2,676","2,557","2,310","1,895","1,679","1,260",911,696,636,480,271,211,116,51,16,12
20,ANTAPANI,"5,415","4,862","4,801","4,947","2,542","4,435","4,559","4,718","5,036","4,255","3,641","3,463","3,404","3,669","3,367","2,460","1,308",781,509,274,140,80,30,5,0,4
21,BANDUNG KIDUL,"4,157","4,040","4,323","4,368","1,798","3,107","2,817","3,055","3,665","3,537","3,192","2,909","2,606","2,086","1,668","1,293",901,666,506,274,111,70,18,5,1,0
22,BUAH BATU,"7,011","6,765","7,131","7,662","5,308","6,144","6,119","6,448","7,340","6,634","6,223","5,830","5,240","4,520","3,684","2,910","1,974","1,417","1,099",614,318,194,90,27,5,4
23,RANCASARI,"5,664","5,537","5,833","6,489","3,696","4,858","4,887","5,280","6,128","5,575","5,132","4,749","3,981","3,403","2,959","2,590","1,743","1,308",998,550,287,167,83,38,10,5
24,ARCAMANIK,"5,208","5,088","5,278","5,374","2,648","3,999","3,935","4,269","4,562","4,026","3,896","3,731","3,262","2,872","2,402","1,793","1,127",744,595,342,186,106,31,10,7,3
25,CIBIRU,"5,160","5,241","5,770","6,137","5,198","5,246","4,951","5,211","6,320","5,794","5,545","5,075","4,104","3,254","2,482","1,948","1,230",957,861,477,265,201,99,49,23,16
26,UJUNGBERUNG,"6,096","6,129","6,236","6,387","2,799","4,548","4,110","4,636","5,464","4,895","4,741","4,444","3,522","3,019","2,424","1,844","1,175",891,681,359,207,129,39,17,6,3
27,GEDEBAGE,"2,771","2,999","3,026","3,063","1,425","1,999","1,908","2,028","2,624","2,576","2,384","2,081","1,683","1,390","1,095",835,505,403,277,146,107,71,19,8,2,0
28,PANYILEUKAN,"2,481","2,234","2,498","2,874","1,736","2,721","2,416","2,184","2,188","1,990","1,969","2,181","2,366","2,255","1,461",914,469,321,254,132,72,35,18,5,2,2
29,CINAMBO,"1,903","1,850","1,740","1,894",877,"1,320","1,326","1,498","1,691","1,628","1,504","1,231","1,005",852,659,479,307,221,214,100,45,28,9,4,0,0
30,MANDALAJATI,"5,123","4,936","5,096","5,037","3,238","4,008","3,894","4,228","5,226","4,532","4,136","3,901","3,270","2,832","2,407","1,806","1,040",839,714,382,234,145,64,16,15,9
