NAMA TRAYEK,KODE TRAYEK,JUMLAH ARMADA,JARAK (Km),WARNA KENDARAAN
ABDUL MUIS - CICAHEUM VIA BINONG,01.A,355,16.3,HIJAU KUNING
ABDUL MUIS - CICAHEUM VIA ACEH,01.B,100,11.55,HIJAU MERAH HATI
ABDUL MUIS - DAGO,02,271,9.3,HIJAU ORANGE
ABDUL MUIS - LEDENG,03,245,16,HIJAU BIRU
ABDUL MUIS - ELANG,04,101,9.75,ORANGE HIJAU STRIP PUTIH
CICAHEUM - LEDENG,05,214,14.25,HIJAU HITAM
CICAHEUM - CIROYOM,06,206,17,HIJAU ORANGE
CICAHEUM - CIWASTRA - DERWATI,07,200,17,COKLAT CREAM
CICAHEUM - CIBADUYUT,08,150,16.1,MERAH PUTIH
STASIUN HALL - DAGO,09,52,10,HIJAU ORANGE
SADANG SERANG - CIROYOM,10,150,11,HIJAU KUNING
STASIUN HALL - CIUMBULEUIT VIA EYCKMAN,11.A,53,9.8,HIJAU BIRU STRIP PUTIH
STASIUN HALL - CIUMBULEUIT VIA CIHAMPELAS,11.B,30,8.3,HIJAU BIRU
STASIUN HALL - GEDE BAGE,12,200,21,HIJAU MUDA HIJAU STRIP MERAH
STASIUN HALL - SARIJADI,13,80,10.2,BIRU MUDA HIJAU STRIP BIRU
STASIUN HALL - GUNUNG BATU,14,53,8.5,BIRU MUDA HIJAU STRIP ORANGE
MARGAHAYU RAYA - LEDENG,15,125,19.8,BIRU MUDA KUNING
DAGO - RIUNG BANDUNG,16,201,20.6,PUTIH HIJAU STRIP KUNING
PASAR INDUK CARINGIN - DAGO,17,140,19.85,ORANGE PUTIH HIJAU
PANGHEGAR PERMAI - DIPATI UKUR,18,155,19.35,PUTIH KUNING HIJAU STRIP ORANGE
CIROYOM - SARIJADI VIA SUKAJADI,19.A,88,11.75,HIJAU CREAM
CIROYOM - SARIJADI VIA SETRASARI MALL,19.B,31,10.75,HIJAU CREAM
CIROYOM - BUMI ASRI,20,115,8.35,HIJAU STRIP CREAM
CIROYOM - CIKUDAPATEUH,21,140,12.9,KUNING PUTIH HIJAU
SEDERHANA - CIPAGALO,22,276,16.05,BIRU HIJAU STRIP PUTIH
SEDERHANA - CIJERAH,23,63,8.9,HIJAU STRIP ORANGE
SEDERHANA - CIMINDI,24,55,9,BIRU MUDA HIJAU STRIP BIRU
CIWASTRA - UJUNG BERUNG,25,32,13.4,ABU-ABU CREAM
CISITU - TEGALLEGA,26,82,13.95,UNGU HIJAU STRIP PUTIH
CIJERAH - CIWASTRA - DERWATI,27,200,22.3,ABU-ABU HIJAU STRIP PUTIH
ELANG - GEDE BAGE - UJUNG BERUNG,28,115,22.45,BIRU CREAM HIJAU
ABDUL MUIS - MENGGER,29,25,10.55,ORANGE HIJAU STRIP PUTIH
CICADAS - ELANG,30,300,18.05,MERAH HIJAU STRIP PUTIH
ANTAPANI - CIROYOM,31,160,13.7,CREAM HIJAU STRIP ORANGE
CICADAS - CIBIRU - PANYILEUKAN,32,200,13.65,HIJAU STRIP BIRU
BUMI PANYILEUKAN - SEKEMIRUNG,33,125,24.35,MERAH MUDA HIJAU STRIP PUTIH
SADANG SERANG - CARINGIN,34,200,18.1,BIRU HIJAU STRIP KUNING
CIBADUYUT - KARANG SETRA,35,201,16.6,KUNING HIJAU STRIP PUTIH
