id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
935450,"Pengadaan Printer
",11000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"3 unit","Kecamatan Sukasari ","Kecamatan Sukasari ",APBD," 11000000","1. 20. 10. 01. 13. 5. 2. 3. 12. 04","Pengadaan Langsung",01-04-2014,08-04-2014,14-04-2014,28-04-2014
2033292,"sumur resapan",99000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan kelurahan",Barang/jasa,"Pekerjaan Konstruksi","1 paket","kecamatan sukasari","sumur resapan",APBDP," 99000000",1.20.10.01.30.03.5.2.2.25.01,"Pengadaan Langsung",09-12-2014,12-12-2014,09-12-2014,12-12-2014
939737,"Pengadaan Komputer / PC
",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"1 unit","Kelurahan Sukarasa ","Kelurahan Sukarasa ",APBD," 10000000","1. 20. 10. 01. 13. 5. 2. 3. 12. 02","Pengadaan Langsung",01-04-2014,08-04-2014,14-04-2014,28-04-2014
935678,"Pengadaan Lukisan
",12000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"4 Unit","Kecamatan Sukasari ","Kecamatan Sukasari ",APBD," 12000000","1. 20. 10. 01. 13. 5. 2. 3. 28. 01","Pengadaan Langsung",01-04-2014,08-04-2014,14-04-2014,28-04-2014
942448,"Pengadaan Note Book / PC Tab
",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"1 unit","Kelurahan Sarijadi ","Kelurahan Sarijadi ",APBD," 10000000","1. 20. 10. 01. 13. 5. 2. 3. 12. 03","Pengadaan Langsung",01-04-2014,08-04-2014,14-04-2014,28-04-2014
2033063,"Mesin Tik",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,2,"Kecamatan Sukasari","Mesin Tik Elektrik",APBDP," 10000000",1.20.10.01.01.13.5.2.3.10.01,"Pengadaan Langsung",09-12-2014,12-12-2014,09-12-2014,12-12-2014
2033267,"Pakaian kerja lapangan",22500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan kelurahan",Barang/jasa,Barang,"1 paket","kecamatan sukasari","wearpack/sepatu boot/kaos",APBDP," 22500000",1.20.10.01.30.03.5.2.2.13.01,"Pengadaan Langsung",09-12-2014,12-12-2014,09-12-2014,12-12-2014
942573,"Pengadaan Kursi Kerja
",8000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Pengadaan Mebeulair ",Modal,Barang,"4 Unit","Kelurahan Sarijadi ","Kelurahan Sarijadi ",APBD," 8000000","1. 20. 10. 02. 10. 5. 2. 3. 13. 04","Pengadaan Langsung",01-04-2014,08-04-2014,14-04-2014,28-04-2014
2033137,Microphone+kabel,5000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 ","Kecamatan Sukasari",Microphone+kabel,APBDP," 5000000",1.20.10.01.01.13.5.2.3.16.04,"Pengadaan Langsung",09-12-2014,12-12-2014,09-12-2014,12-12-2014
2033171,Smartphone,10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","KECAMATAN SUKASARI",2014,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,1,"Kelurahan sarijadi",smartphone,APBDP," 10000000",1.20.10.01.01.13.5.2.3.17.01,"Pengadaan Langsung",09-12-2014,12-12-2014,09-12-2014,12-12-2014
