kecamatan,laki_laki_0_14,laki_laki_15_64,laki_laki_lebih_64,perempuan_0_14,perempuan_15_64,perempuan_lebih_64
Bandung Kulon,22382,47496,1986,1912,48693,2734
Babakan Ciparay,2077,51781,307,20063,47651,3762
Bojongloa Kaler,13353,46054,2555,12172,43479,2793
Bojongloa Kidul,12407,29846,2064,10661,27884,2806
Astana Anyar,6974,25469,2133,8036,23028,319
Regol,7561,30427,2813,6723,29035,4909
Lengkong,8871,23636,2836,8884,24321,2638
Bandung Kidul,7401,21177,1012,8085,19707,1575
Buah Batu,13622,329,1314,13374,32712,1186
Rancasari,9348,27642,1618,8638,2775,1901
Gedebage,6154,11761,618,6283,10896,137
Cibiru,11,23756,196,10908,22612,1779
Panyileukan,4889,14766,700,4638,14763,493
Ujung Berung,10218,27312,1559,10024,25526,2263
Cinambo,3259,8773,892,2118,10014,174
Arcamanik,8375,25198,1624,10023,22487,1605
Antapani,6846,29018,1585,8781,26456,1774
Mandalajati,10462,19845,205,8235,20833,2153
Kiara Condong,15164,46895,4325,17243,45704,2641
Batununggal,9964,49742,2061,6342,49596,3223
Sumur Bandung,4419,11808,223,2846,13262,2014
Andir,10518,36157,2954,12143,32525,3258
Cicendo,11062,37001,22,9096,36435,3959
Bandung Wetan,3717,11443,263,2084,12099,1517
Cibeunying Kidul,12521,38042,4094,7271,43254,2624
Cibeunying Kaler,6804,27516,2067,7456,23538,3542
Coblong,13815,52545,2756,12376,47305,2733
Sukajadi,9194,41503,3754,9755,41813,2355
Sukasari,11718,282,1029,8756,29732,2473
Cidadap,773,19663,2554,5774,18409,4541
