NO,NAMA PERUSAHAAN,ALAMAT,KET
1,ARDEN CAFE,Jalan Sukajadi No. 228,
2,90 GOURMENT,Jalan R.E. Martadinata No. 90,Juli 2010
3,ABUBA STEAK,Jl. Prabudimuntur No. 12,
4,B.M.C.,Jalan Aceh No. 30,
5,BANDUNG SUKI,Jl. Braga No. 70,
6,BAR & GRILL ROSESS RESTOURANT,Jalan Burangrang No. 39,
7,BELLAIR CAFE AND LOUNGE,Jl. Pasirkaliki,
8,BLEND CAFE,Jalan Lombok No. 43,
9,BRAGA  HUIS,Jl. Braga No. 47,
10,BRAGA AVENUE,Jl. Braga No. 14,
11,C F C.,Jalan Kepatihan No. 11-17,
12,C F C.,Jalan Sumber Sari Indah T1 + T2,
13,CAFE  LOVEBIRD,Jl. A. Yani No. 134-136,
14,C F C.,Jalan Terusan Jakarta No. 53,
15,C F C.,Jalan Kepatihan No. 18,
16,C.F.C.,Jalan Jenderal Gatot Subroto No. 289,
17,C.F.C.,Jalan Raya Ujung Berung No. 209,
18,CAFE BALI,Jalan R.E. Martadinata No. 815,P.A. 2006
19,CAFE PASAR CISANGKUY,Jl. Cusangkuy No. 6,
20,CAFE BARAYA,Jalan Gandapura No. 56-58,
21,CAFE HALAMAN,Jalan Taman Sari No. 92,
22,CAFE HALAMAN,Jl. Sukajadi No. 137-139,
23,CAFE PISA,Jl. Cihampelas No. 160,
24,CHILLI PADI,Jl. Cihampelas No. 121-C,
25,CITRA SARI,Jalan Soka No. 3,
26,CLICK ON,Jl. Cisangkuy No. 64,Baru Juni 2011
27,CV. BINTANG MEGA SEJATI,Jl. Merdeka No. 2,Baru Oktober 2011
28,CV. BOGA MANDIRI/ GAMBRINUS,Jalan Prof.Drg.Suria Somantri No. 59,P.A. 2007
29,CV. Fresnan Jaya Abadi/TAN YANG SUKI,Ruko Paskal HyperSquare No. A/18,
30,CV. MIKAWA,Jalan Sukaraja II No. 32,
31,CV. PIRANTI RASA INDONESIA,Jalan Pelajar Pejuang ?45 No. 91,
32,CV. HIDUP JAYA SELARAS/ PLATE FOR ME,Jl. R.E. Martadinata No. 172,
33,CV. VANDEVENTER,Jl. Van de venter No. 10,
34,CV. RUMAH KEBOEN/FAMILY RESTO,Jl. RE. Martadinata No. 156,
35,D'LUMBOENK,Jl. Ciumbuleuit No. 42,
36,D KOTA CAFE & LOUNGE,Jl. Jend. A. Yani No. 134 ? 136,
37,FABRIK CAFE,Jl. R.E Martadinata No. 107,
38,GIGGLE BOX,Jl. Karangsari No. 1 A,
39,GADING,Jl. Sukajadi No. 228A,
40,GELATO BAR,Jl. Sukajadi No. 137-139,
41,GOKANA TEPPAN,Jl. Kepatihan No. 11-17 Lt.IV Bdg,
42,GOOD SUKI RESTORANT,Jl. Braga No. 39,
43,GRAND EASTERN,Jalan Pasirkaliki No. 18,
44,GRANDIA,Jalan Cihampelas No. 90-92,
45,GREEN CAFE,Jl. Diponegoro No.26,Baru
46,HAN KOOK GWAN,Jl. Karangsari No. 21,
47,HOKA HOKA BENTO,Jalan DR. Setiabudhi No. 302 A,
48,HOKA HOKA BENTO,Jalan Merdeka No. 47,
49,HOKA HOKA BENTO,Jalan Buah Batu No. 273,
50,HOKA HOKA BENTO,Jalan Kepatihan No. 11-17,
51,HOKA HOKA BENTO,Jl. Soekarno Hatta No. 590 MTC,
52,HONGKONG,Jalan Jenderal Sudirman No.,
53,HOTIN,Jalan Jenderal Sudirman No. 178,
54,IMPERIAL,Jalan Braga No. 125,
55,ISTANA GADING,Jl. Abduracman Saleh No. 9,
56,INUL VISTA,Jl. Sukajadi No. 137-139 Paris Van Java G-A-16,
57,KARNIFOR,Jl. R.E. Martadinata No. 127,
58,KATJAPIRING,Jl. Sukajadi No. 137-139,
59,KITCHEN WANG,Jl. Cicendo No. 12,
60,KWANGYUNG,Jl. Ir. H. Juanda No. 61-63,
61,LE MARLY CREPERIE,Jl. Citarum No. 10,
62,MADAME SARI,Jalan IR. H. Juanda No. 85,P.A. 2006
63,MANAJEMEN QOLBU/ MQ CAFE,Jalan Citarum No. 4,
64,MIDORI,Jalan Sultan Tirtayasa No. 31,P. A. 2011
65,MOMIJI,Jalan Braga No. 64,P. A. 2011
66,MY EONG GA,Jl. Prof. Dr. Ir. Sutami No. 52A,
67,NEO AMSTERDAM RESTO,Jl. Merdeka No. 27,
68,NEWS PAPER KITCHEN AND LOUNGE,Jl. Sukajadi No. 137-139,
69,NORTH SEA,Jl. Braga No. 82,
70,PT. CAWAN ARTHA(PANCIOUSE,Jl. Sukajadi No. 137-139,
71,PT. HALINDO NUSANTARA,Jl. Sukajadi PVJ No. 137-139,
72,PINO PIZZA,Jl. Buah Batu No. 140,
73,PAGODA,Jalan Trunojoyo No. 32,
74,PURI SUKI,Jl. Peta No. 241 (Gdg City Link)lt.3,
75,PARIT 9 SEA FOOD,Jl. Anggrek No. 61,
76,PAWON BISTRO / BANCAKAN,Jl. Trunojoyo No. 62,
77,PHOENIX,Jalan Jenderal Sudirman No. 58,
78,PRAOE SEAFOOD,Jl. Sumatra No. 31,
79,PT. TJANDRAPUTRA PRATAMA KENCANA,Jl. Sukaresmi No. 4-6,
80,PT. SIETE KULINER INDONESIA,Jl. Sumur Bandung No. 20,
81,PT. ADI BOGA CIPTA / HANAMASA,Jalan IR. H. Juanda No. 48,
82,PT. ADI BOGA CIPTA/ HANAMASA,Jalan Pasirkaliki No. 121-123(IP),
83,PT. APRILASTA RAJABOGA/RAFFELS,Jl. Sukajadi No. 137-139,
84,PT. ARTRINDO BAHANA SENTRA/PAPRIKA,Jl. Sukajadi No. 137-139,
85,PT. BRAGA RESTO UTAMA/AUTO CAFE,Jl. Cihampelas No. 266,
86,PT. CAHAYA SAKTI/ TAMANI CAFE,Jalan IR. H. Juanda No. 7-9,
87,PT. CARREFOUR INDONESIA,Jl. Sukajadi No. 137-139,
88,PT. CENTRIN FOOD / THE DUCK KING,Jl. Sukajadi No. 137-139,
89,PT. CHAMP GROUP / RAJARASA,"Jl. Setraria RT.04/RW,03",P.A. 2008
90,PT. CITRA ATRIA PRIMA/MOCHA BLENDS,Jl.Sukajadi No. 137-139,
91,PT. CONTIMAS UTAMA IND/CARREFOUR,Jalan Peta No. 241 (Mollis),
92,PT. DEWATA GILANG TRI KENCANA,Jalan IR. H. Juanda No. 345 B,
93,PT. EVENA MERCINDO/SHIN MEN JAPANESE RESTO,Jl. Sukajadi No. 137-139,
94,PT. GANIUS FATIMA,Jl. Gamelan No. 2A,
95,PT. GUNAPARI SEJAHTERA/HARTZ CHICKEN BUFFET,Jalan Sukajadi No. 225,
96,PT. ISMAYA SUSHIGROOVE / SUSHIGROOVE,Jl. Sukajadi No. 137-139(ParisPanJava),
