lokasi,nama_komoditas,2015-10-01,2015-10-02,2015-10-03,2015-10-04,2015-10-05,2015-10-06,2015-10-07,2015-10-08,2015-10-09,2015-10-10,2015-10-11,2015-10-12,2015-10-13,2015-10-14,2015-10-15,2015-10-16,2015-10-17,2015-10-18,2015-10-19,2015-10-20,2015-10-21,2015-10-22,2015-10-23,2015-10-24,2015-10-25,2015-10-26,2015-10-27,2015-10-28,2015-10-29,2015-10-30,2015-10-31
"Pasar Sederhana","Beras Medium",10000,10000,0,0,10000,10000,10000,0,10000,0,0,10500,10500,0,10500,10500,0,0,10500,10500,10500,10500,10500,0,0,10500,10500,11,10500,10500,0
"Pasar Sederhana","Cabe Merah",20000,20000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,0,30000,30000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20,20,0,0
"Pasar Sederhana","Bawang Merah",20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,0,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20,20000,20000,0
"Pasar Sederhana","Daging Ayam Ras",28000,28000,0,0,30000,30000,30000,30000,30000,0,0,32000,32000,0,32000,32000,0,0,0,32000,32000,32000,32000,0,0,34000,34000,34,34000,34000,0
"Pasar Sederhana","Telur Ayam Ras",22000,22000,0,0,22000,22000,22000,22000,22000,0,0,19000,19000,0,19000,19000,0,0,19000,19000,19000,19000,19000,0,0,19000,19000,19,19000,19000,0
"Pasar Sederhana","Daging Sapi",110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000,110000,0,110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000,110000,110,110000,110000,0
"Pasar Sederhana","Minyak Goreng",14500,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500,0,14500,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500,15,14500,14500,0
"Pasar Sederhana","Gula Pasir",12500,12500,0,0,12500,12500,12500,12000,12500,0,0,12500,12500,0,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,13,12500,12500,0
"Pasar Sederhana",Kentang,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12,12000,12000,0
"Pasar Sederhana",Kedelai,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,0,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12,12000,12000,0
"Pasar Sederhana","Tepung Terigu",7500,7500,0,0,7500,7500,7500,0,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7,7500,7500,0
"Pasar Sederhana","Bawang Putih",23000,23000,0,0,23000,23000,23000,23000,23000,0,0,24000,24000,0,24000,24000,0,0,24000,0,24000,24000,24000,0,0,24000,24000,24,24000,24000,0
"Pasar Sederhana","Cabe Keriting",25000,25000,0,0,30000,30000,30000,30000,30000,0,0,0,30000,0,30000,30000,0,0,20000,20000,20000,0,20000,0,0,20000,20000,20,20000,20000,0
"Pasar Sederhana","Cabe Rawit",50000,50000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,0,40000,40000,0,0,30000,30000,30000,30000,30000,0,0,20000,20000,20,18000,20000,0
"Pasar Sederhana","Kacang Tanah",26000,26000,0,0,26000,26000,26000,26000,26000,0,0,26000,26000,0,26000,26000,0,0,26000,26000,26000,26000,26000,0,0,26000,26000,26,26000,26000,0
"Pasar Sederhana","Ubi Kayu",4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,0,4000,4000,0,0,4000,4000,4000,4000,0,0,0,4000,4000,4,4000,4000,0
"Pasar Sederhana","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana",Jagung,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,0,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7,7000,7000,0
"Pasar Sederhana","Ikan Olahan",0,70000,0,0,70000,70000,70000,70000,70000,0,0,70000,70000,0,70000,70000,0,0,70000,70000,0,70000,70000,0,0,70000,70000,70,70000,70000,0
"Pasar Sederhana","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana","Minyak Goreng Curah",13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,0,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,11000,11000,11,11000,11000,0
"Pasar Sederhana","Daging Ayam Kampung",60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,0,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0
"Pasar Sederhana","Telur Ayam Kampung",44000,44000,0,0,44000,44000,44000,44000,44000,0,0,44000,44000,0,44000,44000,0,0,44000,44000,44000,44000,44000,0,0,44000,44000,44,44000,44000,0
"Pasar Sederhana","Susu Kental Manis Merk Bendera",10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,0,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10,9500,10000,0
"Pasar Sederhana","Susu Kental Manis Merk Indomilk",9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,0,9500,9500,0,0,9500,9500,9500,9500,9500,0,0,9500,9500,10,9500,9500,0
"Pasar Sederhana","Garam Beryodium Bata",1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,0,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1,1000,1000,0
"Pasar Sederhana","Garam Beryodium Halus",4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,0,4000,4000,0,0,4000,4000,4000,4000,4000,0,0,4000,4000,4,4000,4000,0
"Pasar Sederhana","Tepung Terigu Cakra Kembar",8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,0,8500,8500,0,0,8500,8500,8500,8500,8500,0,0,8500,8500,9,8500,8500,0
"Pasar Sederhana","Tepung Terigu Kunci",7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,0,0,8,7500,7500,0
"Pasar Sederhana","Mie Instan",2000,2000,0,0,2000,2000,2000,0,2000,0,0,2000,2000,0,2000,2000,0,0,2000,2000,2000,2000,2000,0,0,2000,2000,2,2000,2000,0
"Pasar Sederhana","Cabe Rawit Hijau",20000,20000,0,0,30000,0,30000,30000,30000,0,0,30000,30000,0,30000,30000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20,20000,20000,0
"Pasar Sederhana","Kacang Hijau",22000,22000,0,0,22000,22000,22000,22000,0,0,0,22000,22000,0,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,22000,22000,22,22000,22000,0
"Pasar Sederhana","Susu Bubuk Dancow",38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300,38300,0,38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300,38300,38,38300,38300,0
"Pasar Sederhana","Susu Bubuk Indomilk",36500,36500,0,0,36500,36500,36500,36500,36500,0,0,36500,36500,0,36500,36500,0,0,36500,36500,36500,36500,36500,0,0,36500,36500,37,36500,36500,0
"Pasar Sederhana","Ikan Kembung",32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,0,32000,32000,0,0,32000,32000,32000,32000,32000,0,0,32000,32000,32,32000,32000,0
