id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
8368404,"Belanja Alat Tulis Kantor RW 11",915700,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cicadas","Belanja Alat Tulis Kantor RW 11 pada Fasilitasi Pemberdayaan Lingkup RW",APBD," 915700","1.20.1.20.18.04.22.01.5.2.2.01.01 ","Pengadaan Langsung",30-11-2016,05-12-2016,05-12-2016,31-12-2016
7483557,"Tenda Lingkup LPM PIPPK",6000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersedianya tenda lingkup LPM PIPPK pada belanja modal pengadaan peralatan dan mesin",APBD," 6000000","1.20.1.20.18.04.01.13.5.2.3.28.01 ","Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
7128198,"Perbaikan Lapang Olahraga",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya Lapang Olahraga",APBD," 30000000",1.20.1.20.18.06.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
7127815,"Belanja Seragam dan Sepatu Petugas Kebersihan, Pasukan Gorong2, dan Petugas Penyiraman",12500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",Barang/jasa,Barang,25,"Kelurahan Sukapada","Tersedianya seragam dan sepatu Petugas Kebersihan, Pasukan Gorong-gorong dan Petugas Penyiraman",APBD," 12500000",1.20.1.20.18.06.30.03.5.2.2.13.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
6891220,"Belanja Hotmix Jalan dan Gang RW 15",48438000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Padasuka","tersedianya Hotmix Jalan pada Belanja Bahan baku Bangunan",APBD," 48438000",1.20.18.01,"Pengadaan Langsung",01-01-2016,02-01-2016,01-03-2016,01-06-2016
7128114,"Pembuatan Gapura RW.06",14400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cikutra","Tersedianya Pembuatan Gapura rw 06 pada Belanja Bahan baku bangunan",APBD," 14400000",1.20.1.20.18.03.22.01.5.2.2.02.01,"Pengadaan Langsung",01-02-2016,29-02-2016,01-03-2016,01-11-2016,"Belanja Pembuatan Gapura rw 06 (6912718) "
8368175,"Belanja Cetak Rapot warga RW 08 Kelurahan Cicadas",1290000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersedianya Raport RW 08 Kelurahan Cicadas",APBD," 1290000",1.20.1.20.18.04.22.01.5.2.2.06.01,"Pengadaan Langsung",30-11-2016,05-12-2016,05-12-2016,31-12-2016
7120984,"Sound System Lingkup RW PIPPK",12250000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,1,"Kelurahan Cikutra","Tersedianya Modal Sound System RW 09/Hasil Reses Dewan pada Program Pelayanan Administrasi Perkantoran",APBD," 12250000",1.20.1.20.18.03.01.13.5.2.3.32.01,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,01-08-2016,"Belanja Modal Sound System RW 09/Hasil Reses Dewan (Lingkup RW/PIPPK) (6910562) "
6890803,"Belanja Drainase RW 12",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Padasuka","Tersedianya Drainase pada Belanja Bahan Baku Bangunan",APBD," 10000000",1.20.18.01,"Pengadaan Langsung",01-01-2016,02-01-2016,01-03-2016,01-06-2016
8365893,"Rehab Jembatan RW 08",14000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersedianya Rehab Jembatan RW 08 pada Belanja Bahan Baku Bangunan",APBD," 14000000",1.20.1.20.18.04.22.01.5.2.2.02.01,"Pengadaan Langsung",30-11-2016,05-12-2016,05-12-2016,31-12-2016
7123967,"Sound System Lingkup RW PIPPK (RW 08)",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan peralatan dan perlengkapan",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersedianya sound system pada belanja modal pengadaan peralatan dan mesin",APBD," 10000000",1.20.1.20.18.04.01.13.5.2.3.28.06,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Sound System Lingkup RW PIPPK (RW 08) (7122431) "
7128064,"Perbaikan Mesjid RW.03",13600000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"kelurahan cikutra","Tersedianya Perbaikan masjid rw 03 pada belanja bahan baku bangunan",APBD," 13600000",1.20.1.20.18.03.22.01.5.2.2.02.01,"Pengadaan Langsung",01-02-2016,29-02-2016,01-03-2016,01-11-2016,"Belanja Perbaikan mesjid rw 03 (6912401) "
7127551,"Belanja Modal Pengadaan kursi Rapat",6000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Pengadaan mebeleur",Barang/jasa,Barang,3,"Kelurahan Cicadas","Tersedianya kursi rapat pada belanja modal peralatan dan mesin",APBD," 6000000",1.20.1.20.18.04.02.10.5.2.3.28.01,E-Purchasing,01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Modal Pengadaan kursi Rapat (7127511) "
6968977,"Belanja Perbaikan Saluran Air Hujan RW 14",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Padasuka","Tersedianya perbaikan saluran air hujan pada Belanja Bahan Baku Bangunan",APBD," 10000000",1.20.18.02,"Pengadaan Langsung",01-01-2016,02-01-2016,01-03-2016,01-06-2016,"Belanja Perbaikan Saluran Air Hujan RW 14 (6891000) "
7128028,"Belanja Bahan/Bibit Tanaman dan Pot RW 13",2000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya Bahan/Bibit Tanaman",APBD," 2000000",1.20.1.20.18.06.22.01.5.2.2.02.02,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
6889847,"Belanja perbaikan Saluran Air/Drainase RW 08",13500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"kelurahan Padasuka","Tersedianya Perbaikan Saluran/Air Drainase pada Bahan Baku Bangunan",APBD," 13500000",1.20.18.01,"Pengadaan Langsung",01-01-2016,02-01-2016,01-03-2016,01-06-2016
7128324,"Perbaikan Jalan/Gang /saluran RW.11",14400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"kelurahan cikutra","tersedianya perbaikan jalan/gang/saluran rw 11 pada belanja bahan baku bangunan",APBD," 14400000",1.20.1.20.18.03.22.01.5.2.2.02.01,"Pengadaan Langsung",01-02-2016,29-02-2016,01-03-2016,01-11-2016,"Belanja perbaikan jalan/gang/saluran rw 11 (6913407) "
7129267,"Pembuatan Gapura",3000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Modal,Barang,1,"Kelurahan Sukamaju","Tersedianya pembuatan gapura pada belanja bahan baku bangunan",APBD," 3000000",1.20.1.20.18.05.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Pembuatan Gapura (6956203) "
8286460,"Belanja Modal Pengadaan Lemari",10120000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Barang/jasa,Barang,1,"Jl. Sukasenang No. 11 Bandung","Tersedianya Lemari",APBD," 10120000",1.20.1.20.18.01.01.13.5.2.3.30.07,E-Purchasing,28-11-2016,30-11-2016,06-12-2016,13-12-2016
7126842,"Tenda Lingkup LPM PIPPK",6000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan peralatan dan perlengkapan kantor",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya tenda lingkup LPM Kelurahan Sukapada",APBD," 6000000",1.20.1.20.18.06.01.13.5.2.3.28.01,E-Purchasing,01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Tenda Lingkup LPM PIPPK (7122240) "
7127938,"Belanja Bahan/Bibit Tanaman dan Pot RW 03",3570000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya Bahan/Bibit Tanaman",APBD," 3570000",1.20.1.20.18.06.22.01.5.2.2.02.02,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
7127967,"Pembuatan Gapura RW. 01",9400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,"Jasa Lainnya",1,"kelurahan cikutra","Tersedianya Pembuatan gapura rw 01 pada belanja bahan baku bangunan",APBD," 9400000",1.20.1.20.18.03.22.01.5.2.2.02.01,"Pengadaan Langsung",01-02-2016,29-02-2016,01-03-2016,01-11-2016,"Belanja Pembuatan gapura rw 01 (6911675) "
7181342,"Belanja Jasa Penyelenggaraan Acara",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitas Pemberdayaan Lingkup PKK",Barang/jasa,"Jasa Lainnya",1,"kelurahan sukamaju","Tersedianya jasa penyelenggaraan acara pada program inovasi pembangunan dan pemberdayaan kewilayahan",APBD," 20000000",1.20.1.20.18.05.22.02.5.2.2.03.21,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Jasa Penyelenggaraan Acara (6968562) "
8368421,"Belanja Modal Pengadaan Sepeda Motor ",29500000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"pengadaan Kendaraan dinas/operasional",Barang/jasa,Barang,1,"Kelurahan Cikutra","Tersedianya Modal Pengadaan Sepeda Motor pada Profgram Peningkatan Sarana dan Prasaran Aparatur",APBD," 29500000",1.20.1.20.18.03.02.05.5.2.3.17.05,E-Purchasing,30-11-2016,30-11-2016,30-11-2016,30-11-2016,"Belanja Modal Pengadaan Sepeda Motor (7127259) "
7128285,"Perbaikan Gorong-gorong",27830000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Sukapada","Tersedianya Gorong-gorong",APBD," 27830000",1.20.1.20.18.06.22.01.5.2.2.02.01,"Pengadaan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
7127980,"Penerangan Jalan / gang RW.02",4400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cikutra","Tersedianya Penerangan jalan/gang rw 02 pada belanja bahan baku bangunan",APBD," 4400000",1.20.1.20.18.03.22.01.5.2.2.02.01,"Pengadaan Langsung",01-02-2016,29-02-2016,01-03-2016,01-11-2016,"Belanja Penerangan Jalan/gang rw02 (6911801) "
7127539,"Meja Rapat",3000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Pengadaan mebeleur",Barang/jasa,Barang,1,"Kelurahan Cicadas","Tersediahnya Pengadaan Meja Rapat pada Belanja Peralatan dan Mesin Pengadaan Meubelair",APBD," 3000000",1.20.1.20.18.04.02.10.5.2.3.28.01,E-Purchasing,01-01-2016,31-12-2016,01-01-2016,31-12-2016,"Belanja Pengadaan Meja Rapat (6899059) "
7120296,"Alat Pembersih Lain-lain /Pengadaan Kontainer Mini beroda Lingkup rw PIPPK RW 05",9750000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,10,"Kelurahan Pasirlayung","Tersedianya Kontainer Mini Beroda (Lingkup RW/PIPPK) RW 05 pada Belanja Modal Peralatan dan Mesin Pengadaan Alat Pembersih di Kelurahan Pasirlayung",APBD," 9750000",1.20.1.20.18.07.01.13.5.2.3.28.03,"Pengadaan Langsung",01-01-2016,02-01-2016,10-01-2016,11-01-2016,"Belanja Pengadaan Kontainer Mini Beroda (Lingkup RW/PIPPK) RW 05 (6936283) "
7127608,"Belanja Modal Pengadaan Komputer PC",6250000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Pengadaan Perlengkapan Peralatan Aparatur",Barang/jasa,Barang,1,"Kelurahan Cikutra","Tersedianya Modal Pengadaan Komputer PC pada Belanja Modal Peralatan Mesin Pengadaan Personal Komputer",APBD," 6250000",1.20.1.20.18.03.02.12.5.2.3.29.02,"Pengadaan Langsung",01-05-2016,31-05-2016,01-05-2016,01-10-2016,"Belanja Modal Pengadaan Komputer PC (6910885) "
6889585,"Belanja Rabat Beton RW 06",5000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Padasuka","Tersedianya Rabat Beton pada Bahan Baku Bangunan",APBD," 5000000",1.20.18.01,"Pengadaan Langsung",01-01-2016,02-01-2016,01-03-2016,01-06-2016
8368400,"Belanja Alat Tulis Kantor RW 10",506000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Fasilitasi Pemberdayaan Lingkup RW",Barang/jasa,Barang,1,"Kelurahan Cicadas","Belanja Alat Tulis Kantor RW 10 pada Fasilitasi Pemberdayaan Lingkup RW",APBD," 506000","1.20.1.20.18.04.22.01.5.2.2.01.01 ","Pengadaan Langsung",30-11-2016,05-12-2016,05-12-2016,31-12-2016
8286480,"Belanja Modal Pengadaan Meja Kerja",4000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBEUNYING KIDUL",2016,"Pengadaan Mebeulair",Barang/jasa,Barang,1,"Jl. Sukasenang No. 11 Bandung","Tersedianya Meja kerja",APBD," 4000000",1.20.1.20.18.01.02.10.5.2.3.30.01,E-Purchasing,28-11-2016,30-11-2016,06-12-2016,13-12-2016
