id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
8370199,"Belanja Cetak",135000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan dan Pemutakhiran Database Aset",Barang/jasa,Barang,"1 Paket","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH","Belanja Cetak pada kegiatan Penyusunan dan Pemutakhiran Database Aset ",APBDP," 135000000",1.20.1.20.05.06.17.33.5.2.2.06.01,"Pengadaan Langsung",30-11-2016,05-12-2016,06-12-2016,13-12-2016
6243036,"Belanja Jasa Konsultansi Penelitian",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Peningkatan manajemen aset/barang daerah",Barang/jasa,"Jasa Konsultansi","1 Paket",DPKAD,"Belanja Jasa Konsultansi Penelitian kegiatan Peningkatan manajemen aset/barang daerah",APBD," 50000000",1.20.1.20.05.06.17.16.5.2.2.21.01,"Pengadaan Langsung",01-02-2016,12-02-2016,15-02-2016,31-03-2016
6127890,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpan (Rak Arsip)",40000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penataan Arsip SKPD",Modal,Barang,"1 Paket",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Penyimpan (Rak Arsip) Kegiatan Penataan Arsip SKPD",APBD," 40000000",1.24.1.20.05.04.15.08.5.2.3.26.03,"Pengadaan Langsung",28-01-2016,04-02-2016,05-02-2016,31-03-2016
6245469,"Belanja Jasa Konsultasi Perencanaan",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Pematangan Tanah Milik Daerah",Barang/jasa,"Jasa Konsultansi","1 Paket",DPKAD,"Belanja Jasa Konsultasi Perencanaan kegiatan Pematangan Tanah Milik Daerah",APBD," 30000000",'1.09.1.20.05.06.16.22.5.2.2.21.02,"Pengadaan Langsung",01-02-2016,15-02-2016,16-02-2016,31-03-2016
7145469,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan Server Jaringan ",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan/Pemutakhiran Sistem dan Prosedur Pengelolaan Aset Daerah (*)",Modal,Barang,"1 Paket",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan Server Jaringan kegiatan Penyusunan/Pemutakhiran Sistem dan Prosedur Pengelolaan Aset Daerah",APBD," 25000000",1.20.1.20.05.17.40.5.2.3.29.06,"Pengadaan Langsung",03-02-2016,10-02-2016,11-02-2016,31-03-2016,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan Server Jaringan (6291213) "
8370212,"Belanja Makan dan Minum Kegiatan",148000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan dan Pemutakhiran Database Aset",Barang/jasa,"Jasa Lainnya","1 Paket","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH","Belanja Makan dan Minum Kegiatan pada kegiatan Penyusunan dan Pemutakhiran Database Aset ",APBDP," 148000000",1.20.1.20.05.06.17.33.5.2.2.11.05,"Pengadaan Langsung",30-11-2016,05-12-2016,06-12-2016,12-12-2016
6127281,"Belanja Pemeliharaan Gedung dan Bangunan",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penataan Arsip SKPD",Barang/jasa,"Jasa Lainnya","1 Paket",DPKAD,"Belanja Pemeliharaan Gedung dan Bangunan kegiatan Penataan Arsip SKPD",APBD," 50000000",1.24.1.20.05.04.15.08.5.2.2.20.05,"Pengadaan Langsung",28-01-2016,04-02-2016,05-02-2016,31-03-2016
5982528,"Belanja Pengadaan Pakaian Adat Daerah Struktural Eselon 2 dan 3",9000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Pengadaan pakaian khusus hari-hari tertentu",Barang/jasa,Barang,"1 Paket",DPKAD,"Belanja Pengadaan Pakaian Adat Daerah Struktural Eselon 2 dan 3 di Lingkungan DPKAD",APBD," 9000000",1.20.1.20.05.02.03.05.5.2.2.14.02.,"Pengadaan Langsung",04-04-2016,11-04-2016,12-04-2016,30-06-2016
5980940,"Belanja Jasa Konsultansi Pengawasan (Gedung dan Bangunan Bidang Aset)",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Pemeliharaan rutin/berkala gedung kantor",Barang/jasa,"Jasa Konsultansi","1 Paket",DPKAD,"Belanja Jasa Konsultansi Pengawasan (Gedung dan Bangunan Bidang Aset)",APBD," 10000000",1.20.1.20.05.02.02.22.5.2.2.21.03.,"Pengadaan Langsung",21-01-2016,28-01-2016,29-01-2016,31-03-2016
6244210,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga Lainnya (Home Use)-Kamera",8000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan dan Pemutakhiran Database Aset",Modal,Barang,"1 Paket",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Rumah Tangga Lainnya (Home Use)-Kamera kegiatan Penyusunan dan Pemutakhiran Database Aset",APBD," 8000000",1.20.1.20.05.06.17.33.5.2.3.28.06,"Pengadaan Langsung",01-02-2016,15-02-2016,16-02-2016,31-03-2016
6245335,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual-Digital Voice Recorder",1500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan dan Pemutakhiran Database Aset",Modal,Barang,"1 Paket",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Studio Visual-Digital Voice Recorder kegiatan Penyusunan dan Pemutakhiran Database Aset",APBD," 1500000",1.20.1.20.05.06.17.33.5.2.3.31.01,"Pengadaan Langsung",01-02-2016,15-02-2016,16-02-2016,31-03-2016
5980846,"Belanja Jasa Konsultansi Pengawasan (Gedung dan Bangunan DPKAD)",9000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Pemeliharaan rutin/berkala gedung kantor",Barang/jasa,"Jasa Konsultansi","1 Paket",DPKAD,"Belanja Jasa Konsultansi Pengawasan (Gedung dan Bangunan DPKAD)",APBD," 9000000",1.20.1.20.05.02.02.22.5.2.2.21.03.,"Pengadaan Langsung",21-01-2016,28-01-2016,29-01-2016,31-03-2016
7524448,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan-Server",211400000,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan dan Pemutakhiran Database Aset",Modal,Barang,"1 Paket",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan-Server kegiatan Penyusunan dan Pemutakhiran Database Aset",APBD," 211400000",1.20.1.20.05.06.17.33.5.2.3.29.06,"Lelang Umum",01-02-2016,02-03-2016,03-03-2016,31-03-2016,"Belanja Modal Peralatan dan Mesin - Pengadaan Peralatan Jaringan-Server (6245242) "
5978485,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor Lainnya (Alat Penghancur Kertas)",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Pengadaan Perlengkapan Peralatan Aparatur",Modal,Barang,"1 Tahun",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Alat Kantor Lainnya (Alat Penghancur Kertas)di Lingkungan DPKAD",APBD," 30000000",1.20.1.20.05.02.02.12.5.2.3.27.05.,"Pengadaan Langsung",21-01-2016,28-01-2016,29-01-2016,31-03-2016
6126480,"Belanja Peralatan Kebersihan Dan Bahan Pembersih",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penataan Arsip SKPD",Barang/jasa,Barang,"1 Paket",DPKAD,"Belanja Peralatan Kebersihan Dan Bahan Pembersih Kegiatan Penataan Arsip SKPD",APBD," 25000000",1.24.1.20.05.04.15.08.5.2.2.01.05,"Pengadaan Langsung",28-01-2016,04-02-2016,05-02-2016,31-03-2016
7145550,"Belanja Modal Peralatan dan Mesin - Pengadaan Lemari dan Arsip Pejabat (Lemari Arsip)",41500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Penyusunan/Pemutakhiran Sistem dan Prosedur Pengelolaan Aset Daerah (*)",Modal,Barang,"1 Paket",DPKAD,"Belanja Modal Peralatan dan Mesin - Pengadaan Lemari dan arsip Pejabat (Lemari Arsip) kegiatan Penyusunan/Pemutakhiran Sistem dan Prosedur Pengelolaan Aset Daerah",APBD," 41500000",1.20.1.20.05.17.40.5.2.3.30.07,"Pengadaan Langsung",03-02-2016,10-02-2016,11-02-2016,31-03-2016,"Belanja Modal Peralatan dan Mesin - Pengadaan Meja dan arsip Pejabat (Lemari )arsip (6291474) "
8370186,"Belanja Cetak SOTK Baru",33050000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH",2016,"Peningkatan Pelayanan Perbendaharaan",Barang/jasa,Barang,"1 Paket","DINAS PENGELOLAAN KEUANGAN DAN ASET DAERAH","Belanja Cetak SOTK Baru pada kegiatan Peningkatan Pelayanan Perbendaharaan",APBD," 33050000",1.20.1.20.05.04.17.37.5.2.2.06.01,"Pengadaan Langsung",30-11-2016,05-12-2016,06-12-2016,14-12-2016
