NO.,KECAMATAN,0-4,5-8,9-12,13-16,17-20,21-24,25-28,29-32,33-36,37-40,41-44,45-48,49-52,53-56,57-60,61-64,65-68,69-72,73-76,77-80,81-84,85-88,89-92,93-96,97-100,>100
1,SUKASARI,"4,920","4,841","5,138","4,960","4,712","4,479","4,605","5,507","6,119","5,949","5,808","5,129","4,209","3,535","2,982","2,497","1,895","1,874","1,415","1,035",864,699,450,346,310,491
2,COBLONG,"7,842","6,677","7,431","7,556","7,368","7,226","7,424","9,285","10,389","10,019","9,818","8,347","7,011","5,567","4,801","3,815","2,648","2,901","2,279","1,789","1,443","1,162",932,610,437,877
3,BABAKAN CIPARAY,"9,390","8,883","9,926","9,344","8,746","8,818","8,761","11,016","10,847","9,757","8,385","7,047","6,134","5,365","4,476","3,540","2,145","2,138","1,534","1,142","1,034",759,610,638,418,913
4,BOJONGLOA KALER,"8,631","8,765","9,044","8,643","8,463","8,221","8,159","10,220","10,105","9,076","8,323","7,115","6,183","5,214","4,308","3,207","2,000","1,934","1,288",903,534,235,134,58,13,10
5,ANDIR,"6,924","6,888","7,510","7,372","7,298","7,033","6,849","8,640","9,724","9,207","8,709","7,797","6,464","5,328","4,573","3,561","2,429","2,466","1,746","1,142",815,454,275,131,56,42
6,CICENDO,"6,473","6,292","7,036","6,797","6,573","6,384","6,387","8,097","8,583","8,138","7,659","6,670","5,952","4,819","4,025","3,169","2,179","2,044","1,481","1,008",674,375,247,103,28,24
7,SUKAJADI,"7,151","6,716","7,140","7,043","6,570","6,696","6,709","8,419","8,494","8,031","7,355","6,180","5,440","4,527","3,900","2,958","1,913","1,839","1,231",828,582,317,180,71,24,18
8,CIDADAP,"3,882","3,589","3,626","3,674","3,476","3,307","3,486","4,370","4,513","3,946","3,854","3,270","2,928","2,366","2,038","1,536",972,"1,040",740,452,299,162,89,40,5,6
9,BANDUNG WETAN,"1,806","1,735","1,905","2,025","2,225","2,164","2,325","2,931","3,285","3,042","2,881","2,724","2,316","1,914","1,760","1,335",908,830,715,563,437,298,201,110,43,34
10,ASTANA ANYAR,"5,376","5,186","5,477","5,248","5,215","5,229","5,112","6,293","6,472","5,981","5,493","4,869","4,402","3,679","3,280","2,494","1,784","1,484","1,107",755,508,255,127,61,28,8
11,REGOL,"5,197","5,192","5,908","6,061","6,038","5,765","5,903","7,307","8,377","7,850","7,300","6,432","5,623","4,536","3,883","3,304","2,299","2,086","1,551","1,074",676,424,230,100,47,27
12,BATUNUNGGAL,"7,787","6,904","8,320","8,163","7,749","7,247","7,012","8,535","9,534","9,252","9,069","8,143","7,015","5,378","4,626","3,590","2,422","2,640","2,109","1,683","1,307","1,012",808,793,481,"1,014"
13,LENGKONG,"3,795","4,301","4,839","4,963","5,077","4,809","5,063","5,836","6,360","6,002","6,160","5,946","4,932","3,924","3,158","2,623","1,868","1,832","1,360","1,024",728,419,244,93,43,25
14,CIBEUNYING KIDUL,"7,471","7,088","7,333","7,062","6,852","6,796","6,805","8,246","9,394","8,492","8,199","7,185","6,148","5,270","4,495","3,299","1,996","2,268","1,801","1,439","1,177",902,654,564,377,749
15,BANDUNG KULON,"9,407","9,842","10,525","10,141","9,595","9,285","9,169","11,251","11,588","10,402","9,232","7,406","6,430","5,189","4,093","2,984","2,110","2,089","1,424","1,214",952,713,614,586,326,746
16,KIARACONDONG,"8,748","8,270","8,603","8,750","8,313","7,662","7,595","9,346","10,392","9,712","9,331","8,339","7,115","5,697","4,751","3,762","2,427","2,425","1,924","1,405","1,087",863,699,622,443,738
17,BOJONGLOA KIDUL,"5,974","5,550","5,990","5,661","5,289","5,175","5,029","6,788","7,158","6,747","5,887","4,761","4,181","3,412","2,865","2,220","1,516","1,532","1,119",865,801,605,472,356,284,800
18,CIBEUNYING KALER,"4,430","4,469","4,673","4,763","4,507","4,441","4,647","5,632","6,242","5,747","5,429","4,640","3,915","3,325","2,747","2,057","1,320","1,530","1,044",711,488,255,139,50,21,7
