id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3809026,"KECAMATAN REGOL","Peningkatan Kualitas Penanganan Ketentraman dan Ketertiban Tingkat Kecamatan dan Kelurahan",4220000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ancol","Kegiatan Penanganan Ketentraman dan Ketertiban pada Kelurahan Ancol",APBD," 4220000",1.20.25.30.04,05-01-2015,30-10-2015
3809205,"KECAMATAN REGOL","Pengadaan Pakaian Khusus Hari-Hari Tertentu",9700000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kelurahan Ciateul","Pengadaan pakaian khusus pada Kelurahan Ciateul",APBD," 9700000",1.20.25.03.05,05-01-2015,31-12-2016
3460662,"KECAMATAN REGOL","Penyusunan Pelaporan Keuangan Semester",13000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kecamatan Regol","Kegiatan penyusunan laporan semesteran",APBD," 13000000",1.20.1.20.25.06.02,01-07-2015,30-07-2015
3809224,"KECAMATAN REGOL","Fasilitasi Pemberdayaan Lingkup PKK",91500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ciateul","Fasilitasi Pemberdayaan Lingkup PKK di Kelurahan Ciateul",APBD," 91500000",1.22.25.22.02,05-01-2015,31-12-2016
3743584,"KECAMATAN REGOL","Penyediaan makanan dan minuman",4800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ancol","Penyediaan makananan dan minuman rapat dan tamu",APBD," 4800000",1.20.1.20.25.01.17,02-01-2015,30-12-2016
3808471,"KECAMATAN REGOL","Rapat-rapat koordinasi dan konsultasi ke luar daerah",28000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kecamatan Regol","Perjalanan Dinas Luar Daerah ",APBD," 28000000",1.20.1.20.25.01.18,02-01-2015,30-12-2016
3809100,"KECAMATAN REGOL","Pendidikan dan Pelatihan Formal",6000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Balonggede","Penyediaan dana untuk kegiatan pelatihan/ kursus pada Kelurahan Balonggede",APBD," 6000000",1.20.25.05.01,05-01-2015,31-12-2016
3438278,"KECAMATAN REGOL","Penyediaan Peralatan Rumah Tangga",8400000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kecamatan Regol","Pembelian peralatan kebersihan dan bahan pembersih",APBD," 8400000",1.20.1.20.25.01.14,02-03-2015,31-12-2016
3809025,"KECAMATAN REGOL","Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",200640000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ancol","Kegiatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan pada Kelurahan Ancol",APBD," 200640000",1.20.25.30.03,05-01-2015,30-12-2016
3808999,"KECAMATAN REGOL","Fasilitasi Pemberdayaan Lingkup RW",964400000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Cigereleng","Fasilitasi Pemberdayaan Lingkup RW pada Kelurahan Cigereleng",APBD," 964400000",1.22.22.01,31-03-2015,30-12-2016
3809201,"KECAMATAN REGOL","Pengadaan Pakaian Dinas beserta Perlengkapannya",3200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kelurahan Ciateul","Pengadaan pakaian dinas pada Kelurahan Ciateul",APBD," 3200000",1.20.25.03.02,05-01-2015,31-12-2016
3809002,"KECAMATAN REGOL","Penyediana Komponen Instalasi Listrik/Penerangan Bangunan Kantor",6000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kecamatan Regol","Penyediaan komponen listrik pada Kecamatan Regol",APBD," 6000000",1.20.25.01.12.,05-01-2015,30-12-2016
3809213,"KECAMATAN REGOL","Pendidikan dan Pelatihan Formal",8000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ciateul","Kegiatan pelatihan dan pendidikan formal di Kelurahan Ciateul",APBD," 8000000",1.20.25.05.01,01-04-2015,31-12-2016
3698106,"KECAMATAN REGOL","Pengadaan pakaian Dinas beserta kelengkapannya",3200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kelurahan Ciseureuh","Pengadaan pakaian dinas Harian ",APBD," 3200000",1.20.1.20.25.03.02,01-04-2015,30-04-2015
3809051,"KECAMATAN REGOL","Penyediaan Komponen Instalasi Listrik / Penerangan Bangunan Kantor ",1200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Balonggede","Pembelian alat listrik pada Kelurahan Balonggede",APBD," 1200000",1.20.25.01.12.,05-01-2015,30-12-2016
3670675,"KECAMATAN REGOL","Penyediaan alat tulis kantor",3870000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ciseureuh","Pengadaan alat tulis kantor",APBD," 3870000",1.20.1.20.25.01.10,17-03-2015,31-12-2016
3809275,"KECAMATAN REGOL","Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",5060000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Kegiatan","Kelurahan Ciateul","Kegiatan pemum untuk Kelurahan Ciateul",APBD," 5060000",1.20.25.30.05,05-01-2015,31-12-2016
3657093,"KECAMATAN REGOL","Penyediaan barang cetakan dan penggandaan",4400000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Pungkur","Penyediaan dana untuk barang cetakan dan penggandaan",APBD," 4400000",1.20.1.20.25.01.11,16-03-2015,31-12-2016
3809124,"KECAMATAN REGOL","Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",2990000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Kegiatan","Kelurahan Balonggede","Anggaran untuk kegiatan pelayanan kepada masyarakat Kelurahan Balonggede",APBD," 2990000",1.20.25.30.07,05-01-2015,31-12-2016
3809028,"KECAMATAN REGOL","Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",4150000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ancol","Kegiatan Peningkatan Pemerintahan Umum pada Kelurahan Ancol",APBD," 4150000",1.20.25.30.05,05-01-2015,30-12-2016
3703558,"KECAMATAN REGOL","Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan ",198155000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ciseureuh","Kegiatan infrastruktur dan LH pada kelurahan Ciseureuh",APBD," 198155000",1.20.1.20.25.30.03,02-01-2015,31-12-2016
3549833,"KECAMATAN REGOL","Fasilitasi Pemberdayaan Lingkup LPM",100000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kelurahan Cigereleng","Fasiliasi Pemberdayaan Lingkup LPM",APBD," 100000000",1.20.1.20.25.22.04,10-03-2015,31-12-2016
3539587,"KECAMATAN REGOL","Penyediaan jasa perbaikan peralatan kerja",1800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Cigereleng","Penyediaan jasa perbaikan peralatan kerja",APBD," 1800000",1.20.1.20.25.01.09,09-03-2015,31-12-2016
3742796,"KECAMATAN REGOL","Penyediaan jasa kebersihan kantor",900000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ancol","Penyediaan dana untuk retribusi kebersihan ",APBD," 900000",1.20.1.20.25.01.08,02-01-2015,30-12-2016
3607424,"KECAMATAN REGOL","Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan ",3125000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan pasirluyu","Kegiatan Pemerintahan Umum ",APBD," 3125000",1.20.1.20.25.30.05,11-03-2015,31-03-2015
3657219,"KECAMATAN REGOL","Penyediaan peralatan dan perlengkapan kantor",1100000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kelurahan Pungkur","Honorarium PPBJ untuk pengadaan kursi rapat, komputer dan kursi tunggu/pelayanan",APBD," 1100000",1.20.1.20.25.01.13.5.2.3.30.04,01-04-2015,30-06-2015
3670631,"KECAMATAN REGOL","Penyediaan Jasa Pemeliharaan dan Perizinan Kendaraan Dinas/Operasional",600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Ciseureuh","Penyediaan dana untuk perpanjangan stnk",APBD," 600000",1.20.1.20.25.01.06,17-03-2015,31-12-2016
3541323,"KECAMATAN REGOL","Pengadaan meubeulair",1100000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Paket","Kelurahan Cigereleng","Honorarium PPBJ untuk pengadaan meubeulair",APBD," 1100000",1.20.1.20.25.02.10.5.2.3.30.01,01-04-2015,07-04-2015
3809066,"KECAMATAN REGOL","Penyediaan Bahan Bacaan dan Peraturan Perundang-Undangan",1800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Balonggede","Pembayaran langganan koran dan iklan pada Kelurahan Balonggede",APBD," 1800000",1.20.25.01.15,05-01-2015,31-12-2016
3607946,"KECAMATAN REGOL","Fasilitasi Pemberdayaan Lingkup RW",723100000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"12 Bulan","Kelurahan Pasirluyu","Kegiatan Fasilitasi Pemberdayaan RW",APBD," 723100000",1.20.1.20.25.22.01,11-03-2015,31-12-2016
3605638,"KECAMATAN REGOL","Pengadaan pakaian-pakaian khusus hari-hari tertentu",6720000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"21 stel","Kelurahan Pasirluyu","Pengadaan pakaian adat daerah, batik tradisional dan pakaian olahraga",APBD," 6720000",1.20.1.20.25.03.05,11-03-2015,30-04-2015
3607828,"KECAMATAN REGOL","Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",2780000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Kegiatan ","Kelurahan Pasirluyu","Kegiatan pemum",APBD," 2780000",1.20.1.20.25.30.07,01-07-2015,30-09-2015
3659349,"KECAMATAN REGOL","Pendidikan dan Pelatihan Formal",7000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN REGOL",2015,"1 Tahun","Kelurahan Pungkur","Biaya kursus dan pelatihan untuk kelurahan pungkur",APBD," 7000000",1.20.1.20.25.05.01.5.2.2.17.01,01-07-2015,30-09-2015
