id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
898717,"Belanja Bahan Kimia",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PEMELIHARAAN RUTIN/BERKALA ARSIP DAERAH",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Belanja Bahan Kimia",APBD," 20000000",1.24.01.17.02.5.2,"Pengadaan Langsung",01-06-2014,01-07-2014,01-06-2014,01-07-2014
746707,"Belanja Cetakan Dus Arsip",40000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN BARANG CETAKAN DAN PENGGANDAAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Dus Arsip Disdukcapil",APBD," 40000000",1.10.01.01.11.5.2,"Pengadaan Langsung",07-03-2014,10-04-2014,15-03-2014,10-04-2014
898405,"Belanja Cetakan",30000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"SOSIALISASI KEBIJAKAN KEPENDUDUKAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Cetakan Perda No.8 Tahun 2012 & Perundang-undangan No.24 tahun 2013",APBD," 30000000",1.10.01.15.12,"Pengadaan Langsung",06-03-2014,19-03-2014,19-03-2014,08-04-2014
898248,"Belanja Spanduk, Brosur Pamplet, Umbul-umbul, dan sarana informasi",187000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"SOSIALISASI KEBIJAKAN KEPENDUDUKAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Cetakan Roll Banner, Leaflet, Spanduk, Baligho, dan Umbul-umbul",APBD," 187000000",1.10.01.15.11.5.2,"Pengadaan Langsung",03-03-2014,14-03-2014,14-03-2014,12-04-2014
894666,"Belanja Pakaian Batik ",27000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENGADAAN PAKAIAN DINAS BESERTA KELENGKAPANNYA",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Pakaian Batik",APBD," 27000000",1.10.01.03.02.5.2,"Pengadaan Langsung",05-04-2014,15-07-2014,05-04-2014,15-07-2014
796107,"Belanja Modal Pengadaan Printer",200000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Pengadaan Printer",APBD," 200000000",1.10.01.01.13.5.2,"Pengadaan Langsung",02-07-2014,02-08-2014,02-07-2014,02-08-2014
897102,"Belanja Cetakan Profil Kependudukan",25000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENGOLAHAN DALAM PENYUSUNAN LAPORAN INFORMASI KEPENDUDUKAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Cetakan Profil Kependudukan",APBD," 25000000",1.10.01.15.06.5.2,"Pengadaan Langsung",05-04-2014,05-05-2014,05-04-2014,05-05-2014
747998,"Belanja Modal Pengadaan Pesawat Televisi",12000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Unit","Disdukcapil Kota Bandung","Pengadaan Televisi",APBD," 12000000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-05-2014,05-06-2014,05-05-2014,05-06-2014
805797,"Belanja Modal Pengadaan Kelengkapan Komputer  ",157000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung ","Toner Cartridge Printer, Smart Card R/W",APBD," 157000000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-06-2014,05-07-2014,05-06-2014,05-07-2014
894500,"Belanja Rehabilitasi Ringan/ sedang Bangunan Kantor",188000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN REHABILITASI SEDANG/BERAT GEDUNG KANTOR",Barang/jasa,"Pekerjaan Konstruksi","1 Paket","Disdukcapil Kota Bandung","Rehabilitasi Gedung",APBD," 188000000",1.10.01.02.42.5.2,"Pengadaan Langsung",15-02-2014,30-03-2014,15-02-2014,30-03-2014
747582,"Belanja Modal Pengadaan Filling Kabinet",49000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Filling Kabinet",APBD," 49000000",1.10.01.01.13.5.2,"Pengadaan Langsung",07-07-2014,07-08-2014,07-07-2014,07-08-2014
796178,"Belanja Modal Pengadaan UPS/Stabilizer",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Pengadaan UPS",APBD," 10000000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-05-2014,05-05-2014,05-05-2014,05-05-2014
894613,"Belanja Pakaian Dinas Harian (PDH)",60000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENGADAAN PAKAIAN DINAS BESERTA KELENGKAPANNYA",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Pakaian Dinas Harian Khaki",APBD," 60000000",1.10.01.03.02.5.2,"Pengadaan Langsung",05-04-2014,15-07-2014,05-04-2014,15-07-2014
896482,"Belanja Alat Tulis Kantor ",200000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN IMPLEMENTASI SISTEM ADMINISTRASI KEPENDUDUKAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Ribbon Personalisasi KTP Elektronik",APBD," 200000000",1.10.01.15.03.5.2,"Pengadaan Langsung",24-02-2014,26-03-2014,26-03-2014,09-04-2014
747146,"Belanja Modal Pengadaan Mesin Penghancur kertas",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Mesin Penghancur Kertas",APBD," 20000000",1.10.01.01.13.5.2,"Pengadaan Langsung",06-05-2014,06-06-2014,06-05-2014,06-06-2014
747451,"Belanja Modal Pengadaan Almari",81000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Pengadaan Lemari Besi Rak Besi, Lemari Besi 4 Ruang, dan Rak Server",APBD," 81000000",1.10.01.01.13.5.2,"Pengadaan Langsung",07-07-2014,07-08-2014,07-07-2014,07-08-2014
808314,"Belanja Modal Pengadaan Meja Rapat",7500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Meja Rapat",APBD," 7500000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-04-2014,05-05-2014,05-04-2014,05-05-2014
746823,"Belanja Cetakan Name Tag Pegawai",6000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN BARANG CETAKAN DAN PENGGANDAAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Name Tag Pegawai Dinas",APBD," 6000000",1.10.01.01.11.5.2,"Pengadaan Langsung",07-03-2014,10-04-2014,15-03-2014,10-03-2014
804510,"Belanja Modal Pengadaan Peralatan Jaringan Komputer",20000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Wireless Hub / Router & Networking",APBD," 20000000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-04-2014,05-05-2014,05-04-2014,05-05-2014
864338," Belanja Modal Pengadaan Kulkas",6000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Pengadaan Kulkas",APBD," 6000000",1.10.01.01.13.5.2,"Pengadaan Langsung",03-03-2014,03-04-2014,03-03-2014,03-04-2014
807669,"Belanja Modal Pengadaan Meja Komputer",10000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Meja Komputer",APBD," 10000000",1.10.01.01.13.5.2,"Pengadaan Langsung",03-04-2014,03-05-2014,03-04-2014,03-05-2014
898310,"Belanja Jasa Pemasangan Iklan",180000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"SOSIALISASI KEBIJAKAN KEPENDUDUKAN",Barang/jasa,"Jasa Lainnya","1 Paket","Disdukcapil Kota Bandung","Pembuatan Film Pendek, Iklan, Penayangan di TV Megatron, Car Free Day, Radio, & Ditempat-tempat umum",APBD," 180000000",1.10.01.15.11.5.2,"Pengadaan Langsung",03-04-2014,11-04-2014,11-04-2014,30-05-2014
746535,"Belanja Cetakan Plakat & Kalender Dinas",90000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN BARANG CETAKAN DAN PENGGANDAAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Belanja Cetakan Plakat & Kalender Dinas",APBD," 90000000",1.10.01.01.11.5.2,"Pengadaan Langsung",04-08-2014,30-10-2014,15-08-2014,30-10-2014
893745,"Belanja Jasa Konsultasi perencanaan",50000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN REHABILITASI SEDANG/BERAT GEDUNG KANTOR",Barang/jasa,"Jasa Konsultansi","1 Paket","Disdukcapil Kota Bandung","Jasa Konsultansi Perencanaan Design Gedung",APBD," 50000000",1.10.01.02.42.5.2,"Pengadaan Langsung",15-02-2014,30-03-2014,15-02-2014,30-03-2014
897863,"Belanja Cetakan",110000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENGEMBANGAN DATABASE KEPENDUDUKAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Cetakan Formulir Kependudukan Surat Pindah Datang",APBD," 110000000",1.10.01.15.09.5.2,"Pengadaan Langsung",15-03-2014,31-03-2014,01-04-2014,01-05-2014
748980,"Belanja Modal Pengadaan Komputer Mainframe/Server",346000000,"Lelang Sederhana",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Pengadaan Server Mini, Server Mirror, dan server Database e-KTP",APBD," 346000000",1.10.01.01.13.5.2,"Lelang Sederhana",03-03-2014,03-05-2014,03-03-2014,03-05-2014
749045,"Belanja Modal Pengadaan Komputer/PC",164500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,164450000,"Disdukcapil Kota Bandung","Pengadaan PC Kecamatan",APBD," 164500000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-04-2014,05-05-2014,05-04-2014,05-05-2014
889010,"Belanja Jasa Tenaga Pengamanan (SATPAM) Kantor",148500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN JASA PENGAMANAN KANTOR",Barang/jasa,"Jasa Lainnya","1 Tahun","Disdukcapil Kota Bandung","Satpam dinas",APBD," 148500000",1.10.01.01.20.5.2,"Pengadaan Langsung",10-02-2014,10-12-2014,10-02-2014,10-12-2014
897315,"Belanja ATK",40750000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENGOLAHAN DALAM PENYUSUNAN LAPORAN INFORMASI KEPENDUDUKAN",Barang/jasa,Barang,"1 Paket","Disdukcapil Kota Bandung","Belanja ATK",APBD," 40750000",1.10.01.15.06.5.2,"Pengadaan Langsung",05-03-2014,05-04-2014,05-03-2014,05-04-2014
864675,"Belanja Modal Pengadaan Mesin PABX",15000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","DINAS KEPENDUDUKAN & PENCATATAN SIPIL",2014,"KEGIATAN PENYEDIAAN PERALATAN DAN PERLENGKAPAN KANTOR",Modal,Barang,"1 Paket","Disdukcapil Kota Bandung","Mesin PABX",APBD," 15000000",1.10.01.01.13.5.2,"Pengadaan Langsung",05-06-2014,05-07-2014,05-06-2014,05-07-2014
