no.,nama_sekolah,kelurahan
1,tk_profita,cibuntu
2,tk_bandung_raya,cibuntu
3,tk_al-furqon,cibuntu
4,sds_bandung_raya,cibuntu
5,sds_citra_cemara,cibuntu
6,mi_assuada,cibuntu
7,mi_ihlasul_jamaah,cibuntu
8,mts_assuada,cibuntu
9,mts_al_istiqomah,cibuntu
10,smp_bppi,cibuntu
11,pontren_bppi,cibuntu
12,smk_dharma_bakti,cibuntu
13,stm_widyadirgantara,cibuntu
14,man_1,cibuntu
15,aliyah_al_istiqomah,cibuntu
16,ra_al_munawar,caringin
17,ra_al_musyawaroh,caringin
18,tk_pelita,caringin
19,tk_bintari,warung_muncang
20,sdn_cibuntu_1,warung_muncang
21,sdn_cibuntu_2,warung_muncang
22,sdn_cibuntu_4,warung_muncang
23,sdn_cibuntu_5,warung_muncang
24,sdn_warung_muncang,warung_muncang
25,sds_dwi_marga,warung_muncang
26,mi_al_ikhlas,warung_muncang
27,mi_at_taufik,warung_muncang
28,mi_al_futuhat,warung_muncang
29,mi_yppi,warung_muncang
30,mts_al_islam,warung_muncang
31,mts_at_taufiq,warung_muncang
