indikator,kecamatan,kelurahan_desa,berusaha_sendiri,buruh_tidak_tetap_tidak_dibayar,buruh_tetap_dibayar,buruh__karyawan_pegawai_swasta,pns__tni_bumd__legislatif,pekerja_bebaspertanian,pekerja_bebasnon_pertanian,pekerja_keluargatidak_dibayar,total_krt
"Status Kedudukan","BANDUNG KULON","GEMPOL SARI",103,0,0,131,1,2,184,21,645
"Status Kedudukan","BANDUNG KULON","CIGONDEWAH KALER",223,23,6,773,1,23,93,0,1548
"Status Kedudukan","BANDUNG KULON","CIGONDEWAH KIDUL",88,0,1,153,0,0,83,2,422
"Status Kedudukan","BANDUNG KULON","CIGONDEWAH RAHAYU",180,0,1,243,1,3,111,0,638
"Status Kedudukan","BANDUNG KULON",CARINGIN,71,0,4,108,0,0,2,1,248
"Status Kedudukan","BANDUNG KULON","WARUNG MUNCANG",380,12,14,577,0,1,348,0,1756
"Status Kedudukan","BANDUNG KULON",CIBUNTU,229,1,8,302,0,2,20,5,866
"Status Kedudukan","BANDUNG KULON",CIJERAH,176,0,1,386,0,0,236,0,1420
"Status Kedudukan","BABAKAN CIPARAY",MARGASUKA,128,0,1,295,0,1,78,2,662
"Status Kedudukan","BABAKAN CIPARAY",CIRANGRANG,140,14,0,347,0,11,29,1,650
"Status Kedudukan","BABAKAN CIPARAY","MARGAHAYU UTARA",264,26,4,461,0,8,94,4,1125
"Status Kedudukan","BABAKAN CIPARAY","BABAKAN CIPARAY",411,3,13,887,0,0,2,0,1885
"Status Kedudukan","BABAKAN CIPARAY",BABAKAN,401,6,18,818,2,6,295,33,2162
"Status Kedudukan","BABAKAN CIPARAY",SUKAHAJI,543,23,3,932,0,2,174,1,2119
"Status Kedudukan","BOJONGLOA KALER",KOPO,311,11,9,839,1,4,197,3,1828
"Status Kedudukan","BOJONGLOA KALER","SUKA ASIH",209,51,8,701,0,0,29,11,1835
"Status Kedudukan","BOJONGLOA KALER","BABAKAN ASIH",563,0,8,505,0,2,32,0,1421
"Status Kedudukan","BOJONGLOA KALER","BABAKAN TAROGONG",503,13,6,1020,2,2,185,3,2448
"Status Kedudukan","BOJONGLOA KALER",JAMIKA,346,26,7,1055,2,0,54,27,2523
"Status Kedudukan","BOJONGLOA KIDUL","CIBADUYUT KIDUL",68,4,5,347,0,1,50,0,627
"Status Kedudukan","BOJONGLOA KIDUL","CIBADUYUT WETAN",38,2,6,159,0,3,40,1,431
"Status Kedudukan","BOJONGLOA KIDUL","MEKAR WANGI",145,7,8,436,0,1,16,0,804
"Status Kedudukan","BOJONGLOA KIDUL",CIBADUYUT,87,6,0,573,2,1,65,0,921
"Status Kedudukan","BOJONGLOA KIDUL","KEBON LEGA",197,13,6,506,0,1,83,1,1150
"Status Kedudukan","BOJONGLOA KIDUL",SITUSAEUR,255,9,3,498,0,0,24,3,1203
"Status Kedudukan",ASTANAANYAR,KARASAK,71,8,1,47,0,0,109,4,442
"Status Kedudukan",ASTANAANYAR,"PELINDUNG HEWAN",203,11,0,98,0,6,156,2,860
"Status Kedudukan",ASTANAANYAR,NYENGSERET,191,6,1,139,7,1,97,2,615
"Status Kedudukan",ASTANAANYAR,PANJUNAN,122,0,0,144,0,1,17,1,425
"Status Kedudukan",ASTANAANYAR,CIBADAK,79,0,2,121,0,0,83,0,583
"Status Kedudukan",ASTANAANYAR,"KARANG ANYAR",22,1,0,28,0,1,18,0,176
"Status Kedudukan",REGOL,CISEUREUH,196,2,1,347,0,1,15,2,918
"Status Kedudukan",REGOL,PASIRLUYU,231,3,14,296,0,2,142,4,1038
"Status Kedudukan",REGOL,ANCOL,74,1,0,215,0,1,3,22,477
"Status Kedudukan",REGOL,CIGERELENG,67,0,2,133,1,0,8,1,371
"Status Kedudukan",REGOL,CIATEUL,51,0,0,41,1,0,39,0,211
"Status Kedudukan",REGOL,PUNGKUR,53,2,28,24,0,0,15,1,233
"Status Kedudukan",REGOL,"BALONG GEDE",49,8,0,62,0,2,22,0,231
"Status Kedudukan",LENGKONG,CIJAGRA,56,0,0,132,1,0,21,0,256
"Status Kedudukan",LENGKONG,TURANGGA,57,3,0,39,0,0,33,3,163
"Status Kedudukan",LENGKONG,"LINGKAR SELATAN",33,0,0,56,0,0,0,0,113
"Status Kedudukan",LENGKONG,MALABAR,70,4,1,106,0,0,52,5,309
"Status Kedudukan",LENGKONG,BURANGRANG,120,0,0,105,1,0,109,0,459
"Status Kedudukan",LENGKONG,CIKAWAO,95,8,0,73,0,0,67,2,354
"Status Kedudukan",LENGKONG,PALEDANG,66,0,0,49,0,0,69,0,250
"Status Kedudukan","BANDUNG KIDUL",WATES,111,1,0,93,0,5,218,0,671
"Status Kedudukan","BANDUNG KIDUL",MENGGER,16,13,0,166,1,4,93,6,465
"Status Kedudukan","BANDUNG KIDUL",BATUNUNGGAL,216,4,2,226,1,1,330,5,1130
"Status Kedudukan","BANDUNG KIDUL",KUJANGSARI,222,0,5,258,1,18,311,0,1126
"Status Kedudukan",BUAHBATU,CIJAURA,284,25,2,443,1,31,285,1,1424
"Status Kedudukan",BUAHBATU,MARGASARI,320,11,7,453,0,114,613,5,1938
"Status Kedudukan",BUAHBATU,SEKEJATI,244,3,16,447,2,5,32,3,893
"Status Kedudukan",BUAHBATU,"JATI SARI",76,2,2,177,0,1,9,0,296
"Status Kedudukan",RANCASARI,DERWATI,128,3,2,113,1,25,361,0,1129
"Status Kedudukan",RANCASARI,CIPAMOKOLAN,105,6,1,324,0,0,21,0,657
"Status Kedudukan",RANCASARI,MANJAHLEGA,88,2,0,44,0,3,160,1,388
"Status Kedudukan",RANCASARI,MEKARJAYA,135,6,0,277,0,4,62,1,660
"Status Kedudukan",GEDEBAGE,RANCABOLANG,72,0,0,114,1,18,75,0,355
"Status Kedudukan",GEDEBAGE,RANCANUMPANG,21,0,1,26,1,18,24,0,124
"Status Kedudukan",GEDEBAGE,"CISARANTEN KIDUL",117,0,0,191,0,77,203,12,818
"Status Kedudukan",GEDEBAGE,CIMINCRANG,62,1,2,54,0,42,47,0,249
"Status Kedudukan",CIBIRU,"PASIR BIRU",172,3,2,185,0,6,260,4,970
"Status Kedudukan",CIBIRU,CIPADUNG,308,106,9,319,0,3,62,0,1140
"Status Kedudukan",CIBIRU,PALASARI,142,2,1,221,0,9,209,5,851
"Status Kedudukan",CIBIRU,CISURUPAN,171,3,4,244,0,10,191,5,891
"Status Kedudukan",PANYILEUKAN,"MEKAR MULYA",21,6,11,50,0,0,0,0,109
"Status Kedudukan",PANYILEUKAN,"CIPADUNG KIDUL",61,0,0,103,0,0,0,0,175
"Status Kedudukan",PANYILEUKAN,"CIPADUNG WETAN",42,1,1,203,0,9,2,1,348
"Status Kedudukan",PANYILEUKAN,"CIPADUNG KULON",195,0,0,315,0,1,0,0,653
"Status Kedudukan","UJUNG BERUNG",PASANGGRAHAN,200,7,5,437,1,36,174,3,1286
"Status Kedudukan","UJUNG BERUNG",PASIRJATI,198,13,2,127,3,17,289,1,1104
"Status Kedudukan","UJUNG BERUNG","PASIR WANGI",228,14,2,246,2,30,325,18,1143
"Status Kedudukan","UJUNG BERUNG",CIGENDING,169,27,2,302,0,4,43,1,914
"Status Kedudukan","UJUNG BERUNG","PASIR ENDAH",48,9,5,162,0,0,32,15,366
"Status Kedudukan",CINAMBO,"CISARANTEN WETAN",99,0,1,55,0,9,83,0,325
"Status Kedudukan",CINAMBO,"BABAKAN PENGHULU",100,0,9,62,0,34,73,0,414
"Status Kedudukan",CINAMBO,PAKEMITAN,50,0,0,49,0,4,39,0,191
"Status Kedudukan",CINAMBO,SUKAMULYA,88,1,0,136,0,2,18,0,360
"Status Kedudukan",ARCAMANIK,"CISARANTEN KULON",109,1,2,485,2,10,133,11,1061
"Status Kedudukan",ARCAMANIK,"CISARANTEN BINA HARAPAN",179,2,1,373,2,2,90,0,926
"Status Kedudukan",ARCAMANIK,SUKAMISKIN,86,1,4,178,0,2,213,11,697
"Status Kedudukan",ARCAMANIK,"CISARANTEN ENDAH",61,3,0,96,0,12,341,0,831
"Status Kedudukan",ANTAPANI,"ANTAPANI KIDUL",39,1,1,76,0,0,6,5,307
