id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3445928,"Belanja Pakaian Dinas Harian (PDH) dan Atribut",56450000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengadaan pakaian dinas beserta perlengkapannya",Barang/jasa,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Pakaian Dinas Harian (PDH) dan Atribut",APBD," 56450000",1.25.1.25.01.03.02.5.2.2.12.04,"Pengadaan Langsung",27-04-2015,01-05-2015,01-05-2015,14-05-2015
3599534,"Belanja Jasa Konsultansi Perencanaan Website PPID",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pelatihan SDM dalam bidang komunikasi dan informasi",Barang/jasa,"Jasa Konsultansi","1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Pelatihan SDM dalam bidang komunikasi dan informasi",APBD," 25000000",1.25.1.25.01.17.01.5.2.2.21.02,"Pengadaan Langsung",01-05-2015,14-05-2015,14-05-2015,15-06-2015
3449063,"Jasa Photography",45000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pembinaan dan pengembangan sumber daya komunikasi dan informasi",Barang/jasa,"Jasa Lainnya","1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Jasa Photography",APBD," 45000000",1.25.1.25.01.15.03.5.2.2.01.10,"Pengadaan Langsung",19-03-2015,24-03-2015,25-03-2015,25-06-2015
3448675,"Belanja Cetak Dalam Rangka Peringatan KAA Tahun 2015",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pembinaan dan pengembangan sumber daya komunikasi dan informasi",Barang/jasa,"Jasa Lainnya","1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Cetak Dalam Rangka Peringatan KAA Tahun 2015",APBD," 200000000",1.25.1.25.01.15.03.5.2.2.06.01,"Pengadaan Langsung",16-03-2015,20-03-2015,20-03-2015,13-04-2015
3446012,"Belanja Pakaian Batik Tradisional",125000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengadaan pakaian dinas beserta perlengkapannya",Barang/jasa,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Pakaian Batik Tradisional",APBD," 125000000",1.25.1.25.01.03.02.5.2.2.14.03,"Pengadaan Langsung",27-04-2015,01-05-2015,01-05-2015,14-05-2015
3585284,"Belanja Pakaian Kerja Lapangan Bandung Command Center",175000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Barang/jasa,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Pengelolaan Bandung Command Center",APBD," 175000000",1.25.1.25.01.15.09.5.2.2.13.01,"Pengadaan Langsung",16-03-2015,20-03-2015,20-03-2015,03-04-2015
3585325,"Belanja Jasa Konsultansi Security System",750000000,"Seleksi Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Barang/jasa,"Jasa Konsultansi","1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Pengelolaan Bandung Command Center",APBD," 750000000",1.25.1.25.01.15.09.5.2.2.21.01,"Seleksi Umum",06-04-2015,20-04-2015,20-04-2015,20-05-2015
3811486,"Belanja Bandwidth untuk Area Publik",1000000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengkajian dan pengembangan sistem informasi",Barang/jasa,Barang,"1 Paket","Kota Bandung","Belanja Bandwidth",APBD," 1000000000",1.25.1.25.01.15.06.5.2.2.03.06,E-Purchasing,30-03-2015,03-04-2015,30-03-2015,31-12-2016
3449566,"Belanja Alat Tulis Kantor KAA",88000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pembinaan dan pengembangan sumber daya komunikasi dan informasi",Barang/jasa,Barang,"1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Belanja Alat Tulis Kantor KAA",APBD," 88000000",1.25.1.25.01.15.03.5.2.2.01.01,"Pengadaan Langsung",23-03-2015,27-03-2015,27-03-2015,10-04-2015
3585686,"Belanja Jasa Konsultansi Video Operation Room / Bandung Command Center",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"Pengelolaan Bandung Command Center",Barang/jasa,"Jasa Konsultansi","1 Paket","Dinas Komunikasi dan Informatika Kota Bandung","Pengelolaan Bandung Command Center",APBD," 50000000",1.25.1.25.01.15.09.5.2.2.21.02,"Pengadaan Langsung",04-05-2015,13-05-2015,13-05-2015,12-06-2015
