id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3714578,"KECAMATAN ANTAPANI","Fasilitasi Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",556300000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"12 bulan","Kecamatan Antapani","Belanja Barang Penunjang kegiatan dan honorarium",APBD," 556300000",1.20.1.20.32.01.30.03,19-03-2015,10-12-2015
3716156,"KECAMATAN ANTAPANI","Fasilitasi Peningkatan Pemerintahann Umum Kecamatan dan kelurahan",42750000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"1 tahun","Kel. Antapani wetan Kec. Antapani","Fasilitasi Peningkatan Pemerintahann Umum Kecamatan dan keurahan",APBD," 42750000",1.20.32.03.30.05,19-03-2015,30-12-2016
3715388,"KECAMATAN ANTAPANI","Penyediaan Komponen Instalasi Listrik/ Penerangan Bangunan Kantor",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"1 tahun","Kel. Antapani wetan Kec. Antapani","Belanja alat Listrik dan Elektronik",APBD," 2500000",1.20.32.03.01.12.5.2.2.01.03,19-03-2015,30-12-2016
3716133,"KECAMATAN ANTAPANI","Peningkatan infrastruktur dan lingkunan hidup Tingkat Kecamatan dan Kelurahan",17220000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"1 tahun","kel. Antapani Wetan Kec. Antapani","Peningkatan infrastruktur dan lingkunan hidup Tingkat Kecamatan dan Kelurahan",APBD," 17220000",1.20.32.03.30.03,19-03-2015,30-12-2016
3752568,"KECAMATAN ANTAPANI","Penyediaan Barang Cetakan dan Penggandaan",6250000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"12 bulan","Kelurahan Antapani Tengah","Belanja Barang Cetakan dan Penggandaan",APBD," 6250000",1.20.1.20.32.04.01.11,24-03-2015,10-12-2015
3715952,"KECAMATAN ANTAPANI","Peningkatan Infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan",172250000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"12 bulan","Kelurahan Antapani kIdul","Belanja barang penunjang kegiatan dan honorarium",APBD," 172250000",1.20.1.20.32.05.30.03,19-03-2015,10-12-2015
3715409,"KECAMATAN ANTAPANI","Peneyediaan Alat Tulis Kantor",7500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,7500000,"Kelurahan Antapani Kidul","Belanja barang penunjang kegiatan ",APBD," 7500000",1.20.1.20.32.05.01.100,19-03-2015,10-12-2015
3715187,"KECAMATAN ANTAPANI","Fasilitasi Peningkatan Infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan",172250000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"12 bulan","Kelurahan Antapani Kulon","Belanja Barang penunjang kegiatan dan honorarium",APBD," 172250000",1.20.1.20.32.02.30.03,19-03-2015,10-12-2015
3714675,"KECAMATAN ANTAPANI","Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",33600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"12 bulan","Kecamatan Antapani","Belanja Barang penunjang kegiatan dan honorarium",APBD," 33600000",1.20.1.20.32.01.30.05,19-03-2015,10-12-2015
3599575,"KECAMATAN ANTAPANI","Penyediaan jasa tenaga pendukung administrasi perkantoran/ teknis perkantoran",44000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ANTAPANI",2015,"12 bulan","kecamatan antapani","Honorarium Panitia Pelaksana Kegiatan",APBD," 44000000",1.20.1.20.32.01.01.18,11-03-2015,31-12-2016
