ID PKL,LOKASI USAHA,KOMODITI
PKL01CBD,Jl. Cibaduyut,Tape/Singkong
PKL02CBD,Jl. Cibaduyut,Martabak
PKL03CBD,Jl. Cibaduyut,Tape/Singkong
PKL04CBD,Jl. Cibaduyut,Tape/Singkong
PKL05CBD,Jl. Cibaduyut,Tape/Singkong
PKL06CBD,Jl. Cibaduyut,Tape/Singkong
PKL07CBD,Jl. Cibaduyut,Tape/Singkong
PKL08CBD,Jl. Cibaduyut,Tape/Singkong
PKL09CBD,Jl. Cibaduyut,Tape/Singkong
PKL10CBD,Jl. Cibaduyut,Tape/Singkong
PKL11CBD,Jl. Cibaduyut,Tape/Singkong
PKL12CBD,Jl. Cibaduyut,Asesoris
PKL13CBD,Jl. Cibaduyut,Kaos
PKL14CBD,Jl. Cibaduyut,Asesoris
PKL15CBD,Jl. Cibaduyut,Minuman
PKL16CBD,Jl. Cibaduyut,Kaos
PKL17CBD,Jl. Cibaduyut,Sandal
PKL18CBD,Jl. Cibaduyut,Kaos
PKL19CBD,Jl. Cibaduyut,Kaos
PKL20CBD,Jl. Cibaduyut,Minunan
PKL21CBD,Jl. Cibaduyut,Batagor
PKL22CBD,Jl. Cibaduyut,Minuman
PKL23CBD,Jl. Cibaduyut,Kaos
PKL24CBD,Jl. Cibaduyut,Rokok
PKL25CBD,Jl. Cibaduyut,Kaos
PKL26CBD,Jl. Cibaduyut,Makanan
PKL27CBD,Jl. Cibaduyut,Soto Ayam
PKL28CBD,Jl. Cibaduyut,Asesoris
PKL29CBD,Jl. Cibaduyut,Minuman
PKL30CBD,Jl. Cibaduyut,Mie Rebus
PKL31CBD,Jl. Cibaduyut,Es Kelapa
PKL32CBD,Jl. Cibaduyut,
PKL33CBD,Jl. Cibaduyut,Kaos
PKL34CBD,Jl. Cibaduyut,Nasitimbel
PKL35CBD,Jl. Cibaduyut,Kaos
PKL36CBD,Jl. Cibaduyut,Nasitimbel
PKL37CBD,Jl. Cibaduyut,Baso
PKL38CBD,Jl. Cibaduyut,Sandal
PKL39CBD,Jl. Cibaduyut,Ubi Cilembu
PKL40CBD,Jl. Cibaduyut,Figura
PKL41CBD,Jl. Cibaduyut,Stempel
PKL42CBD,Jl. Cibaduyut,Kaset VCD
PKL43CBD,Jl. Cibaduyut,Kaos Kaki
PKL44CBD,Jl. Cibaduyut,Koran
PKL45CBD,Jl. Cibaduyut,Rokok
PKL46CBD,Jl. Cibaduyut,Asesoris
PKL47CBD,Jl. Cibaduyut,Nasi Padang
PKL48CBD,Jl. Cibaduyut,Tape/Singkong
PKL49CBD,Jl. Cibaduyut,Kaos
PKL50CBD,Jl. Cibaduyut,Tape/Singkong
PKL51CBD,Jl. Cibaduyut,Tape/Singkong
PKL52CBD,Jl. Cibaduyut,Siomay
PKL53CBD,Jl. Cibaduyut,Escendol
PKL54CBD,Jl. Cibaduyut,Minuman Segar
PKL55CBD,Jl. Cibaduyut,Kaos
PKL56CBD,Jl. Cibaduyut,Buburayam
PKL57CBD,Jl. Cibaduyut,Kaos
PKL58CBD,Jl. Cibaduyut,Asesoris
PKL59CBD,Jl. Cibaduyut,Asesoris
PKL60CBD,Jl. Cibaduyut,Ayam Goreng
PKL61CBD,Jl. Cibaduyut,Mie Ayam/Kupat
PKL62CBD,Jl. Cibaduyut,Batagor
PKL63CBD,Jl. Cibaduyut,Kaos
PKL64CBD,Jl. Cibaduyut,Klontongan
PKL65CBD,Jl. Cibaduyut,Kaos
PKL66CBD,Jl. Cibaduyut,Kacamata
PKL67CBD,Jl. Cibaduyut,Senapan Angin
PKL68CBD,Jl. Cibaduyut,Kaos
PKL69CBD,Jl. Cibaduyut,Tape/Singkong
PKL70CBD,Jl. Cibaduyut,Basotahu/Smay
PKL71CBD,Jl. Cibaduyut,Kaos
PKL72CBD,Jl. Cibaduyut,Samuray
PKL73CBD,Jl. Cibaduyut,Kaos
PKL74CBD,Jl. Cibaduyut,Buah2an
PKL75CBD,Jl. Cibaduyut,Tape/Singkong
PKL76CBD,Jl. Cibaduyut,Kaos
PKL77CBD,Jl. Cibaduyut,Kaos
PKL78CBD,Jl. Cibaduyut,Kaos
PKL79CBD,Jl. Cibaduyut,Kaos
PKL80CBD,Jl. Cibaduyut,Martabak
PKL81CBD,Jl. Cibaduyut,Mie Rebus
PKL82CBD,Jl. Cibaduyut,Es Kalapa
PKL83CBD,Jl. Cibaduyut,Nasi Padang
PKL84CBD,Jl. Cibaduyut,Rokok Dll
PKL85CBD,Jl. Cibaduyut,Sandal
PKL86CBD,Jl. Cibaduyut,Kaos
PKL87CBD,Jl. Cibaduyut,Kue Basah
PKL88CBD,Jl. Cibaduyut,Figura
PKL89CBD,Jl. Cibaduyut,Nasi Kuning
PKL90CBD,Jl. Cibaduyut,Tape/Singkong
PKL91CBD,Jl. Cibaduyut,Servis Sol
PKL92CBD,Jl. Cibaduyut,Tambal Ban
PKL93CBD,Jl. Cibaduyut,CD/DVD
PKL94CBD,Jl. Cibaduyut,V. Pulsa
PKL95CBD,Jl. Cibaduyut,Kupat Tahu
PKL96CBD,Jl. Cibaduyut,Mie Rebus
PKL97CBD,Jl. Cibaduyut,Chiken
PKL98CBD,Jl. Cibaduyut,Sandal
PKL99CBD,Jl. Cibaduyut,Gorengan
PKL100CBD,Jl. Cibaduyut,Peuyeum
PKL101CBD,Jl. Cibaduyut,Cireng
PKL102CBD,Jl. Cibaduyut,Cakue
PKL103CBD,Jl. Cibaduyut,Gorengan
PKL104CBD,Jl. Cibaduyut,Gorengan
PKL105CBD,Jl. Cibaduyut,Asesoris
PKL106CBD,Jl. Cibaduyut,Gorengan
PKL107CBD,Jl. Cibaduyut,Tape/Singkong
PKL108CBD,Jl. Cibaduyut,Baso
PKL109CBD,Jl. Cibaduyut,Gehu Pedas
PKL110CBD,Jl. Cibaduyut,Mie Ayam
PKL111CBD,Jl. Cibaduyut,Kopi
PKL112CBD,Jl. Cibaduyut,Gorengan Makroni
PKL113CBD,Jl. Cibaduyut,Rokok/Minuman
PKL114CBD,Jl. Cibaduyut,Chiken
PKL115CBD,Jl. Cibaduyut,Tape/Singkong
PKL116CBD,Jl. Cibaduyut,Tape/Singkong
