id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
7131837,"KECAMATAN GEDEBAGE","Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"10 Stel","Kelurahan Cisaranten Kidul","Belanja Pakaian LINMAS",APBD," 5000000",1.20.1.20.36.03.30.05.5.2.2.12.07,25-03-2016,25-03-2016
6864521,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup RW",1500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Kelurahan Rancanumpang","Belanja Alat Tulis Kantor RW 05",APBD," 1500000","Belanja Alat Tulis Kantor RW 05",02-03-2016,31-12-2016
6863728,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup RW",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Rancabolang","Belanja Makanan dan Minuman Kegiatan RW 09",APBD," 2500000",1.22.1.20.36.22.01.5.2.2.11.05,02-03-2016,31-12-2016
6903986,"KECAMATAN GEDEBAGE","Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan",1000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Cimincrang","Makanan dan Minuman Rapat",APBD," 1000000",1.20.1.20.36.30.01.5.2.2.11.02,04-03-2016,31-12-2016
6907610,"KECAMATAN GEDEBAGE","Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan",30000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Rancabolang","Insentif Kader Posyandu",APBD," 30000000",1.20.1.20.36.30.02.5.2.1.02.02,04-03-2016,31-12-2016
6861021,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup RW",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,paket,"Kelurahan Rancabolang","Belanja Bahan/ Bibit Tanaman RW 5",APBD," 5000000",1.22.1.20.36.22.01.5.2.2.02.02,02-03-2016,31-12-2016
7141545,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup RW",10000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 RW","Kelurahan Cimincrang","Belanja Makanan dan Minuman Kegiatan PHBN RW 06",APBD," 10000000","1.22.1.20.36.02.22.01.5.2.2.11.05 ",28-03-2016,31-12-2016
6969313,"KECAMATAN GEDEBAGE","Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",1250000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"50 dus","Kelurahan Cimincrang","Belanja Makanan dan Minuman Rapat Pengolahan Data IKM",APBD," 1250000",1.20.1.20.36.30.07.5.2.2.11.02,10-03-2016,31-12-2016
6909050,"KECAMATAN GEDEBAGE","Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",17803000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Cimincrang","Belanja Makanan dan Minuman Kegiatan ",APBD," 17803000",1.20.1.20.36.30.03.5.2.2.11.05,04-03-2016,31-12-2016
7371463,"KECAMATAN GEDEBAGE","Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan",1000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"2 Stel","Kelurahan Cisaranten Kidul","Belanja Pakaian Tenaga Penyiram Tanaman",APBD," 1000000",1.20.1.20.36.03.30.03.5.2.2.13.01,25-04-2016,30-04-2016
6863803,"KECAMATAN GEDEBAGE","Fasilitasi Peningkatan Pelayanan Kepada Masyarakat",200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Rancanumpang",Cetak,APBD," 200000",1.20.1.20.36.30.07.5.2.2.06.01,02-03-2016,31-12-2016
6879741,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup RW",13950000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Rancanumpang","Belanja Makanan dan Minuman Kegiatan Pelatihan RW.05",APBD," 13950000",1.22.1.20.36.22.01.5.2.2.11.05,03-03-2016,31-12-2016
6900488,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan Lingkup LPM",10000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Rancanumpang","Belanja Bahan Pembuatan Taman",APBD," 10000000",1.22.1.20.36.22.04.5.2.2.02.01,04-03-2016,31-12-2016
6909424,"KECAMATAN GEDEBAGE","Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional",3000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Rancabolang","Belanja Surat Tanda Nonor Kendaraan + Kirr",APBD," 3000000",1.20.1.20.36.01.06.5.2.2.05.07,04-03-2016,31-12-2016
6907852,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan Lingkup Karang Taruna 	
",2000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Rancabolang","Belanja Peralatan kebersihan",APBD," 2000000",1.22.1.20.36.22.03.5.2.2.01.05,04-03-2016,31-12-2016
7115900,"KECAMATAN GEDEBAGE","Fasilitasi Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan",1050000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 Kegiatan","Kelurahan Cisaranten Kidul","Belanja Mamin Evaluasi Musrenbang",APBD," 1050000",1.20.1.20.36.03.30.01.5.2.2.11.05,26-02-2016,31-05-2016
6906770,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup PKK",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,tahun,"Kelurahan Rancabolang","Belanja Spanduk",APBD," 2500000","1.22.1.20.36.22.02.5.2.2.01.10 ",04-03-2016,31-12-2016
6909065,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan Lingkup LPM",3000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,paket,"Kelurahan Rancabolang","Belanja Pakaian Kerja Lapangan Kader LPM",APBD," 3000000",1.22.1.20.36.22.04.5.2.2.13.01,04-03-2016,31-12-2016
6879789,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan lingkup RW",3300000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Rancanumpang","Belanja Makanan dan Minuman Kegiatan RW. 07",APBD," 3300000",1.22.1.20.36.22.01.5.2.2.11.05,03-03-2016,31-12-2016
6842260,"KECAMATAN GEDEBAGE","Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran",15000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Rancanumpang","honorarium operator IT",APBD," 15000000",1.20.1.20.36.01.19.5.2.1.02.02,01-03-2016,31-12-2016
7163218,"KECAMATAN GEDEBAGE","Fasilitasi Pemberdayaan Lingkup Karang Taruna",10000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2016,"1 tahun","Kelurahan Cimincrang","Belanja Souvenir KARANG TARUNA",APBD," 10000000",1.22.1.20.36.02.22.03.5.2.2.01.11,30-03-2016,31-12-2016
