id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
6687554,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup Karang Taruna/Belanja peralatan kebersihan dan bahan pembersih/Pengadaan alat kebersihan ",1000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukabungah",900/09/kep.skjd/2016,APBD," 1000000",1.20.12.22.03.5.2.2.01.05,01-02-2016,31-12-2016
6679250,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup LPM/Belanja makanan dan minuman",20000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukagalih",900/09/kep.skjd/2016,APBD," 20000000",1.20.12.22.04.5.2.2.11.05,01-02-2016,31-12-2016
6679934,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup PKK/Belanja alat tulis kantor",11400000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukabungah",900/09/kep.skjd/2016,APBD," 11400000",1.20.12.22.02.5.2.2.01.01,01-02-2016,31-12-2016
6677868,"KECAMATAN SUKAJADI","Penyediaan jasa komunikasi, sumber daya air dan listrik",42000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukawarna",900/09/kep.skjd/2016,APBD," 42000000",1.20.12.01.02,01-02-2016,31-12-2016
6678289,"KECAMATAN SUKAJADI","Peningkatan infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan",285000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukawarna",900/09/kep.skjd/2016,APBD," 285000000",1.20.12.30.03.5.2.2.28.01,01-02-2016,31-12-2016
6678921,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup PKK/Belanja spanduk, brosur, pamflet, umbul-umbul dan sarana informasi lainnya",1000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukagalih",900/09/kep.skjd/2016,APBD," 1000000",1.20.12.22.02.5.2.2.01.10,01-02-2016,31-12-2016
6679944,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup PKK/Belanja spanduk, brosur, pamflet, umbul-umbul dan sarana informasi lainnya",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukabungah",900/09/kep.skjd/2016,APBD," 5000000",1.20.12.22.02.5.2.2.01.10,01-02-2016,31-12-2016
6688396,"KECAMATAN SUKAJADI","Fasilitasi pemerintahan umum kecamatan dan kelurahan",420600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukabungah",900/09/kep.skjd/2016,APBD," 420600000",1.20.12.30.05,01-02-2016,31-12-2016
6679144,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup Karang Taruna/Belanja makanan dan minuman",51500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukagalih",900/09/kep.skjd/2016,APBD," 51500000",1.20.12.22.03.5.2.2.11.05,01-02-2016,31-12-2016
6678139,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup PKK/Belanja penggandaan",7100000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukawarna",900/09/kep.skjd/2016,APBD," 7100000",1.20.12.22.02.5.2.2.06.02,01-02-2016,31-12-2016
6675495,"KECAMATAN SUKAJADI","Penyediaan alat tulis kantor",9940000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","kelurahan Cipedes",900/09/kep.skjd/2016,APBD," 9940000",1.20.12.01.10,01-02-2016,31-12-2016
6678441,"KECAMATAN SUKAJADI","Penyediaan jasa komunikasi, sumber daya air dan listrik",31300000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukagalih",900/09/kep.skjd/2016,APBD," 31300000",1.20.12.01.02,01-02-2016,31-12-2016
6687741,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup Karang Taruna/Belanja makanan dan minuman",27000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukabungah",900/09/kep.skjd/2016,APBD," 27000000",1.20.12.22.03.5.2.2.11.05,01-02-2016,31-12-2016
6665587,"KECAMATAN SUKAJADI","Fasilitasi peningkatan perekonomian masyarakat kecamatan dan kelurahan",44500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kecamatan Sukajadi",900/09/kep.skjd/2016,APBD," 44500000",1.20.12.30.01,01-02-2016,31-12-2016
6675721,"KECAMATAN SUKAJADI","Fasilitasi pemberdayaan lingkup PKK/Honorarium pegawai honorer/Tidak tetap",20100000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Cipedes",900/09/kep.skjd/2016,APBD," 20100000",1.20.12.22.02.5.2.1.02.02,01-02-2016,31-12-2016
6666193,"KECAMATAN SUKAJADI","Peningkatan infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan/Belanja perangko, materai dan benda pos lainnya",1000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kecamatan Sukajadi",900/09/kep.skjd/2016,APBD," 1000000",1.20.12.30.03.5.2.2.01.04,01-02-2016,31-12-2016
6662714,"KECAMATAN SUKAJADI","Penyediaan jasa kebersihan kantor",82800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kecamatan Sukajadi",900/09/kep.skjd/2016,APBD," 82800000",1.20.12.01.08,01-02-2016,02-03-2016
6679972,"KECAMATAN SUKAJADI","Fasilitas pemberdayaan lingkup PKK/Belanja makanan dan minuman",21300000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kelurahan Sukabungah",900/09/kep.skjd/2016,APBD," 21300000",1.20.12.22.02.5.2.2.11.05,01-02-2016,31-12-2016
6664656,"KECAMATAN SUKAJADI","Penyediaan makanan dan minuman",24000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN SUKAJADI",2016,"1 Tahun","Kecamatan Sukajadi",900/09/kep.skjd/2016,APBD," 24000000",1.20.12.01.17,01-02-2016,31-12-2016
