id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6467062,"Belanja jasa penyelenggaraan acara seksi pemerintahan TA. 2016 ( pembinaan RT-RW)",15000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi peningkatan pemerintahan umum tingkat kecamatan dan kelurahan",Barang/jasa,"Jasa Lainnya","1 paket","Kecamatan Coblong","Belanja jasa penyelenggaraan acara bid pemerintahan TA. 2016",APBDP," 15000000",1.20.1.20.15.30.05.5.2.2.03.21,"Pengadaan Langsung",10-02-2016,30-12-2016,10-02-2016,30-12-2016,"Belanja jasa penyelenggaraan acara seksi pemerintahan TA. 2016 ( pembinaan RT-RW) (6467062) "
6705735,"Belanja pakaian kerja lapangan kaos gotong royong keg. PIPPK lingkup LPM kel.dago kec. Coblong TA. 2016",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi pemberdayaan lingkup LPM",Barang/jasa,Barang,"1 paket","kel.dago kec. Coblong ","Belanja pakaian kerja lapangan kaos gotong royong keg. PIPPK lingkup LPM kel.dago kec. Coblong TA. 2016",APBD," 10000000",1.22.1.20.15.22.04.5.2.2.13.01,"Pengadaan Langsung",22-02-2016,30-12-2016,22-02-2016,30-12-2016
7670941,"Belanja Bahan Baku Bangunan",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi Pemberdayaan Lingkup LPM",Barang/jasa,Barang,"1 paket","Kelurahan Cipaganti Kecamatan Coblong","Belanja Bahan Baku Bangunan LPM Kel. Cipaganti",APBD," 10000000",1.22.1.20.15.22.04.5.2.2.02.01,"Pengadaan Langsung",29-07-2016,31-07-2016,29-07-2016,31-08-2016
6464589,"Belanja dekorasi bid. kemasyarakatan TA. 2016",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi peningkatan kualitas kehidupan kemasyarakatan kecamatan dan kelurahan",Barang/jasa,Barang,"1 tahun","Kecamatan coblong","Belanja dekorasi bid. kemasyarakatan TA. 2016",APBD," 20000000",1.20.1.20.15.30.02.5.2.2.01.14,"Pengadaan Langsung",10-02-2016,30-12-2016,10-02-2016,30-12-2016
8422668,"Belanja jasa penyelenggaraan acara pembinaan aparatur Kec. Coblong TA. 2016",117053000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Pembinaan kinerja aparatur",Barang/jasa,"Jasa Lainnya","1 paket","Kecamatan Coblong","Belanja jasa penyelenggaraan acara pembinaan aparatur Kec. Coblong TA. 2016",APBDP," 117053000",1.20.1.20.15.01.05.04.5.2.2.03.21,"Pengadaan Langsung",28-11-2016,26-12-2016,28-11-2016,26-12-2016
6705401,"Belanja bahan bibit tanaman urban farming keg. PIPPK lingkup karang taruna kel. Dago TA. 2016",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi pemberdayaan lingkup karang taruna",Barang/jasa,Barang,"1 paket","Kel. Dago kec. Coblong","Belanja bahan bibit tanaman urban farming keg. PIPPK lingkup karang taruna kel. Dago TA. 2016",APBD," 10000000",1.22.1.20.15.22.03.5.2.2.02.02,"Pengadaan Langsung",22-02-2016,30-12-2016,22-02-2016,30-12-2016
6573499,"Belanja jasa penyelenggaraan acara keg. PIPPK lingkup LPM Kel. sadang Serang TA. 2016",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi pemberdayaan lingkup LPM ",Barang/jasa,"Jasa Lainnya","1 paket","Kelurahan Sadang Serang Kec. Coblong","Belanja jasa penyelenggaraan acara keg. PIPPK lingkup LPM Kel. sadang Serang TA. 2016",APBD," 20000000",1.22.1.20.15.22.04.5.2.2.03.21,"Pengadaan Langsung",15-02-2016,30-12-2016,15-02-2016,30-12-2016
8517978,"Urban Farming",800000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Fasilitasi Pemberdayaan lingkup PKK",Barang/jasa,Barang,"1 Paket","Kelurahan Dago","Belanja Bahan Bibit Tanaman",APBDP," 800000",1.22.1.20.15.05.22.02.5.2.2.02.02,"Pengadaan Langsung",13-12-2016,13-12-2016,13-12-2016,13-12-2016
6472321,"Belanja pemeliharaan kantor Kel. Cipaganti TA. 2016",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Pemeliharaan rutin/berkala gedung kantor",Barang/jasa,Barang,"1 paket","Kelurahan Cipaganti / Kec. Coblong","Belanja pemeliharaan kantor Kel. Cipaganti TA. 2016",APBD," 25000000",1.20.1.20.15.02.22.5.2.2.20.05,"Pengadaan Langsung",10-02-2016,30-12-2016,10-02-2016,30-12-2016
7302047,"Belanja peralatan kebersihan dan bahan pembersih",5000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN COBLONG",2016,"Penyediaan peralatan rumah tangga Kec. Coblong TA. 2016",Barang/jasa,Barang,"1 tahun","Kec. Coblong","Belanja peralatan kebersihan dan bahan pembersih Kec. Coblong TA. 2016",APBD," 5000000",1.20.1.20.15.01.14.5.2.2.01.05,"Pengadaan Langsung",05-01-2016,30-12-2016,05-01-2016,30-12-2016
