id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
7654222,"Belanja jasa konsultasi perencanaan untuk DED dan Manajemen Development",6900000000,"Seleksi Umum",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Program pengadaan, peningkatan sarana dan prasarana rumah sakit/ rumah sakit jiwa/ rumah sakit paru-paru/ rumah sakit mata",Barang/jasa,"Jasa Konsultansi","1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja jasa konsultasi perencanaan untuk DED dan Manajemen Development",APBD," 6900000000",1.02.1.02.03.26.01.5.2.2.21.02,"Seleksi Umum",08-12-2015,31-12-2016,01-01-2016,31-12-2016,"Belanja jasa konsultasi AMDAL, Ijin, DED, Master Plan (5027260) "
6696293,"Belanja Cetakan  barang cetakan dan penggandaan",600000000,"Lelang Sederhana",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Penyediaan barang cetakan dan penggandaan",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja Cetakan barang cetakan dan penggandaan",APBD," 600000000",1.02.1.02.03.01.11.5.2.2.06.02,"Lelang Sederhana",08-01-2016,31-12-2016,01-01-2016,31-12-2016
6697115,"Belanja Pakaian dinas harian",190000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Program peningkatan disiplin aparatur",Barang/jasa,"Jasa Lainnya","1 Paket","RS Khusus Ibu dan Anak Kota Bandung",pdh,APBD," 190000000",1.02.1.02.03.03.02.5.2.2.12.04,"Pengadaan Langsung",08-01-2016,31-12-2016,01-01-2016,31-12-2016
6697543,"Belanja obat-obatan Non E-Catalog",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Pengadaan Obat dan Perbekalan Kesehatan",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung",obat,APBD," 200000000",1.02.1.02.03.15.01.5.2.2.02.04,"Pengadaan Langsung",08-01-2016,31-12-2016,01-01-2016,31-12-2016
6698706,"Belanja Modal Alat Kedokteran UmumNon  E-Catalog",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Program pengadaan, peningkatan sarana dan prasarana rumah sakit/ rumah sakit jiwa/ rumah sakit paru-paru/ rumah sakit mata",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung",rskia,APBD," 200000000",1.02.1.02.03.26.18.5.2.3.34.01,"Pengadaan Langsung",08-01-2016,31-12-2016,01-01-2016,31-12-2016
7654227,"Belanja jasa konsultasi perencanaan untuk rehabilitasi",50000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Program pengadaan, peningkatan sarana dan prasarana rumah sakit/ rumah sakit jiwa/ rumah sakit paru-paru/ rumah sakit mata",Barang/jasa,"Jasa Konsultansi","1 Paket","RS Khusus Ibu dan Anak Kota Bandung",RSKIA,APBD," 50000000",1.02.1.02.03.26.01.5.2.2.21.02,"Penunjukan Langsung",01-01-2016,31-12-2016,01-01-2016,31-12-2016
6698675,"Belanja modal pengadaan alat kalibrasi",200000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Program pengadaan, peningkatan sarana dan prasarana rumah sakit/ rumah sakit jiwa/ rumah sakit paru-paru/ rumah sakit mata",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung",rskia,APBD," 200000000",1.02.1.02.03.26.18.5.2.3.24.05,"Pengadaan Langsung",08-01-2016,31-12-2016,01-01-2016,31-12-2016
8061208,"BELANJA PEMELIHARAAN GEDUNG DAN BANGUNAN",100000000,"Penunjukan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"PEMBANGUNAN RUMAH SAKIT",Barang/jasa,"Jasa Lainnya","1 Paket","RS KHUSUS IBU DAN ANAK KOTA BANDUNG","BELANJA PEMELIHARAAN GEDUNG DAN BANGUNAN",APBDP," 100000000",1.02.1.02.03.26.01.5.2.2.20.05,"Penunjukan Langsung",01-11-2016,15-11-2016,15-11-2016,05-12-2016
6696732,"Belanja modal pengadaan alat pendingin",51300000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","Belanja modal pengadaan alat pendingin",APBD," 51300000",1.02.1.02.03.01.13.5.2.3.28.04,"Pengadaan Langsung",08-01-2016,31-12-2016,01-01-2016,31-12-2016
8060824,"BELANJA CETAKAN KEBUTUHAN RUMAH SAKIT",200000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","RUMAH SAKIT KHUSUS IBU DAN ANAK",2016,"PENYEDIAAN BARANG CETAKAN DAN PENGGANDAAN",Barang/jasa,Barang,"1 Paket","RS Khusus Ibu dan Anak Kota Bandung","BELANJA CETAKAN KEBUTUHAN RUMAH SAKIT",APBDP," 200000000",1.02.1.02.03.26.01.5.2.2.06.02,"Pengadaan Langsung",01-11-2016,15-11-2016,15-11-2016,05-12-2016
