NO,KELURAHAN,LOKASI,NAMA POHON,JUMLAH,KET
1,CIMINCRANG,Jln. Soekarno Hatta,Pohon Ketapang,69,Selatan
2,CIMINCRANG,Jln. Cimincrang,Pohon Mahoni,127,Kanan
3,CIMINCRANG,Jln. Cimincrang,Pohon Mahoni,44,Kiri
4,CIMINCRANG,Jln. Cimincrang,Pohon Angsana,3,Kanan
5,CIMINCRANG,Jln. Cimincrang,Pohon Kupu-Kupu,92,kanan
6,CIMINCRANG,Jln. Cimincrang,Pohon Kupu-Kupu,11,Kiri
7,CIMINCRANG,Jln. Cimincrang,Pohon Lamtoro,14,Kanan
8,CIMINCRANG,Jln. Cimincrang,Pohon Jayanti,3,Kanan
9,CIMINCRANG,Jln. Cimincrang,Pohon Karet,3,Kanan
10,CIMINCRANG,Jln. Cimincrang,Pohon Jambu Batu,6,Kanan
11,CIMINCRANG,Jln. Cimincrang,Pohon Nangka,7,Kanan
12,CIMINCRANG,Jln. Cimincrang,Pohon Sukun,1,Kanan
13,CIMINCRANG,Kali Cinambo,Pohon Mahoni,23,Utara
14,CIMINCRANG,Kali Cinambo,Pohon Sukun,5,
15,CIMINCRANG,Kali Cinambo,Pohon Kelapa Sawit,41,
16,CIMINCRANG,Jln. Cimincrang,Pohon Rambutan,6,
17,CIMINCRANG,Jln. Cimincrang,Pohon Sukun,10,
18,CIMINCRANG,Jln. Cimincrang,Pohon Mangga,4,
19,CIMINCRANG,Jln. Cimincrang,Pohon Lengkeng,9,
20,CIMINCRANG,Jln. Cimincrang,Pohon Durian,10,
21,CIMINCRANG,Jln. Cimincrang,Pohon Jambu Batu,3,
22,CIMINCRANG,Jln. Cimincrang,Pohon Jambu Air,5,
23,CIMINCRANG,Jln. Cimincrang,Pohon Nangka,3,
24,CIMINCRANG,Jln. Cilameta,Pohon Sukun,15,
25,CIMINCRANG,Jln. Cilameta,Pohon Mangga,18,
26,CIMINCRANG,Jln. Cilameta,Pohon Lengkeng,3,
27,CIMINCRANG,Jln. Cilameta,Pohon Durian,2,
28,CIMINCRANG,Jln. Cilameta,Pohon Jambu Batu,4,
29,CIMINCRANG,Jln. Cilameta,Pohon Jambu Air,5,
30,CIMINCRANG,Jln. Cilameta,Pohon Nangka,3,
31,CIMINCRANG,Jln. Cilameta,Pohon Kelapa Sawit,4,
32,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Rambutan,25,
33,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Sukun,61,
34,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Mangga,73,
35,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Lengkeng,13,
36,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Durian,47,
37,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Jambu Batu,57,
38,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Jambu Air,30,
39,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Nangka,33,
40,CIMINCRANG,RW. 01 s/d RW. 06,Pohon Kelapa Sawit,46,
41,CIMINCRANG,GCA Blok D RW. 07,Pohon Rambutan,1,
42,CIMINCRANG,GCA Blok D RW. 07,Pohon Mangga,57,
43,RANCABOLANG,Jln. Gedebage Selatan,Pohon Mahoni Besar,130,
44,RANCABOLANG,Jln. Gedebage Selatan,Pohon Mahoni Kecil,107,
