nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,1877,29.19,176,2.74,12,0.19,174,2.71,82,1.28,2992,46.52,1118,17.38,6431
Coblong,4416,35.76,1202,9.73,23,0.19,690,5.59,268,2.17,4341,35.16,1408,11.4,12348
Babakan Ciparay,3458,20.12,245,1.43,32,0.19,106,0.62,254,1.48,10430,60.67,2666,15.51,17191
Bojongloa Kaler,5536,39.47,446,3.18,56,0.4,245,1.75,195,1.39,4659,33.21,2890,20.6,14027
Andir,2404,23.24,765,7.39,19,0.18,157,1.52,275,2.66,4257,41.15,2469,23.86,10346
Cicendo,2630,27.37,511,5.32,32,0.33,235,2.45,151,1.57,4147,43.15,1904,19.81,9610
Sukajadi,3238,27.94,1990,17.17,37,0.32,575,4.96,173,1.49,3487,30.09,2088,18.02,11588
Cidadap,1350,21.71,240,3.86,7,0.11,103,1.66,517,8.31,3051,49.07,950,15.28,6218
Bandung Wetan,1628,46.49,429,12.25,27,0.77,105,3,102,2.91,760,21.7,451,12.88,3502
Astana Anyar,2385,34.22,276,3.96,48,0.69,176,2.53,233,3.34,2921,41.91,931,13.36,6970
Regol,4482,52.34,379,4.43,279,3.26,34,0.4,135,1.58,2706,31.6,549,6.41,8564
Batununggal,3574,30.16,273,2.3,18,0.15,211,1.78,89,0.75,5742,48.45,1944,16.4,11851
Lengkong,2140,41.51,224,4.34,15,0.29,193,3.74,211,4.09,1796,34.83,577,11.19,5156
Cibeunying Kidul,3989,31.7,1134,9.01,53,0.42,281,2.23,189,1.5,5386,42.8,1552,12.33,12584
Bandung Kulon,6649,59.74,282,2.53,10,0.09,155,1.39,308,2.77,2056,18.47,1669,15,11129
Kiaracondong,3870,27.15,228,1.6,20,0.14,459,3.22,166,1.16,6754,47.38,2759,19.35,14256
Bojongloa Kidul,2235,23.35,125,1.31,32,0.33,28,0.29,234,2.44,6117,63.91,800,8.36,9571
Cibeunying Kaler,2874,39.45,259,3.56,27,0.37,210,2.88,119,1.63,2469,33.89,1327,18.22,7285
Sumur Bandung,848,33.72,99,3.94,2,0.08,154,6.12,78,3.1,929,36.94,405,16.1,2515
Antapani,2874,39,169,2.29,31,0.42,216,2.93,79,1.07,3062,41.55,939,12.74,7370
Bandung Kidul,692,22.7,60,1.97,7,0.23,85,2.79,24,0.79,1617,53.03,564,18.5,3049
Buahbatu,2788,31.74,128,1.46,26,0.3,155,1.76,138,1.57,4279,48.71,1271,14.47,8785
Rancasari,3759,38.8,376,3.88,25,0.26,242,2.5,80,0.83,4219,43.55,987,10.19,9688
Arcamanik,2341,33.96,236,3.42,24,0.35,111,1.61,395,5.73,2983,43.27,804,11.66,6894
Cibiru,1372,19.56,127,1.81,31,0.44,154,2.2,243,3.46,3718,53,1370,19.53,7015
Ujung Berung,8223,67.45,126,1.03,58,0.48,258,2.12,358,2.94,1536,12.6,1632,13.39,12191
Gedebage,2214,39.47,527,9.39,111,1.98,170,3.03,146,2.6,1861,33.17,581,10.36,5610
Panyileukan,1533,37.71,127,3.12,3,0.07,189,4.65,79,1.94,1524,37.49,610,15.01,4065
Cinambo,884,27.71,66,2.07,9,0.28,58,1.82,35,1.1,1582,49.59,556,17.43,3190
Mandalajati,1980,23.61,277,3.3,10,0.12,178,2.12,148,1.77,4113,49.05,1679,20.02,8385
